elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.611895,0,0,0,0,0,0,0,0
0.613467,0,0,0,0,0,0,0,0
0.615039,0,0,0,0,0,0,0,0
0.616612,0,0,0,0,0,0,0,0
0.618087,0,0,0,0,0,0,0,0
0.619519,0,0,0,0,0,0,0,0
0.620926,0,0,0,0,0,0,0,0
0.622329,0,0,0,0,0,0,0,0
0.623728,0,0,0,0,0,0,0,0
0.625128,0,0,0,0,0,0,0,0
0.626529,0,0,0,0,0,0,0,0
0.627928,0,0,0,0,0,0,0,0
0.629329,0,0,0,0,0,0,0,0
0.630740,0,0,0,0,0,0,0,0
0.632197,0,0,0,0,0,0,0,0
0.633572,0,0,0,0,0,0,0,0
0.634946,0,0,0,0,0,0,0,0
0.636318,0,0,0,0,0,0,0,0
0.637782,0,0,0,0,0,0,0,0
0.639155,0,0,0,0,0,0,0,0
0.640529,0,0,0,0,0,0,0,0
0.641933,0,0,0,0,0,0,0,0
0.643306,0,0,0,0,0,0,0,0
0.644679,0,0,0,0,0,0,0,0
0.646057,0,0,0,0,0,0,0,0
0.647429,0,0,0,0,0,0,0,0
0.648912,0,0,0,0,0,0,0,0
0.650355,0,0,0,0,0,0,0,0
0.651779,0,0,0,0,0,0,0,0
0.653157,0,0,0,0,0,0,0,0
0.654520,0,0,0,0,0,0,0,0
0.655881,0,0,0,0,0,0,0,0
0.657240,0,0,0,0,0,0,0,0
0.658600,0,0,0,0,0,0,0,0
0.659960,0,0,0,0,0,0,0,0
0.661318,0,0,0,0,0,0,0,0
0.662678,0,0,0,0,0,0,0,0
0.664073,0,0,0,0,0,0,0,0
0.665500,0,0,0,0,0,0,0,0
0.666927,0,0,0,0,0,0,0,0
0.668246,0,0,0,0,0,0,0,0
0.669698,0,0,0,0,0,0,0,0
0.671017,0,0,0,0,0,0,0,0
0.672443,0,0,0,0,0,0,0,0
0.673869,0,0,0,0,0,0,0,0
0.675271,0,0,0,0,0,0,0,0
0.676725,0,0,0,0,0,0,0,0
0.678112,0,0,0,0,0,0,0,0
0.679507,0,0,0,0,0,0,0,0
0.680940,0,0,0,0,0,0,0,0
0.682259,0,0,0,0,0,0,0,0
0.683684,0,0,0,0,0,0,0,0
0.685109,0,0,0,0,0,0,0,0
0.686541,0,0,0,0,0,0,0,0
0.687973,0,0,0,0,324,396,0,0
0.689399,0,0,0,0,0,0,0,0
0.690824,0,0,0,0,0,0,0,0
0.692249,0,0,0,0,0,0,0,0
0.693714,0,0,0,0,0,0,0,0
0.695140,0,0,0,0,0,0,0,0
0.696582,0,0,0,0,0,0,0,0
0.697986,0,0,0,0,0,0,0,0
0.699409,0,0,0,0,0,0,0,0
0.700852,0,0,0,0,0,0,0,0
0.702285,0,0,0,0,1623,2022,24,0
0.703663,0,0,0,0,0,0,0,0
0.705035,0,0,0,0,0,0,0,0
0.706404,0,0,0,0,0,0,0,0
0.707789,0,0,0,0,0,0,0,0
0.709157,0,0,0,0,0,0,0,0
0.710550,0,0,0,0,0,0,0,0
0.711934,0,0,0,0,0,0,0,0
0.713356,0,0,0,0,0,0,0,0
0.714763,0,0,0,0,0,0,0,0
0.716164,0,0,0,0,0,0,0,0
0.717980,0,0,0,0,0,0,0,0
0.719390,0,0,0,0,0,0,0,0
0.723996,0,0,0,0,0,0,0,0
0.726411,0,0,0,0,0,0,0,0
0.727814,0,0,0,0,0,0,0,0
0.729219,0,0,0,0,0,0,0,0
0.730643,0,0,0,0,0,0,0,0
0.732051,0,0,0,0,0,0,0,0
0.733460,0,0,0,0,0,0,0,0
0.734862,0,0,0,0,0,0,0,0
0.736262,0,0,0,0,0,0,0,0
0.737733,0,0,0,0,0,0,0,0
0.739287,0,0,0,0,0,0,0,0
0.740728,0,0,0,0,0,0,0,0
0.742097,0,0,0,0,0,0,0,0
0.743460,0,0,0,0,0,0,0,0
0.744888,0,0,0,0,0,0,0,0
0.746293,0,0,0,0,0,0,0,0
0.748815,0,0,0,0,0,0,0,0
0.750546,0,0,0,0,0,0,0,0
0.751970,0,0,0,0,0,0,0,0
0.753380,0,0,0,0,0,0,0,0
0.754786,0,0,0,0,0,0,0,0
0.756191,0,0,0,0,0,0,0,0
0.757597,0,0,0,0,0,0,0,0
0.758998,0,0,0,0,0,0,0,0
0.760399,0,0,0,0,0,0,0,0
0.761926,0,0,0,0,0,0,0,0
0.763385,0,0,0,0,0,0,0,0
0.764930,0,0,0,0,0,0,0,0
0.766500,0,0,0,0,0,0,0,0
0.768069,0,0,0,0,0,0,0,0
0.769640,0,0,0,0,0,0,0,0
0.771212,0,0,0,0,0,0,0,0
0.772783,0,0,0,0,0,0,0,0
0.774240,0,0,0,0,0,0,0,0
0.775825,0,0,0,0,0,0,0,0
