elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.496581,0,412401,3698,2428
0.498131,0,412734,3701,2563
0.499684,0,413002,3701,2461
0.501235,0,411160,3684,2471
0.502783,0,416587,3735,2431
0.504213,0,399501,3578,2470
0.505603,0,377246,3376,2462
0.507005,0,405217,3630,2463
0.508399,0,380141,3402,2464
0.509785,0,399734,3580,2424
0.511312,0,939048,8511,2506
0.514650,0,614218,5541,2459
0.517019,0,414251,3714,2468
0.518442,0,401693,3599,2467
0.519830,0,375897,3362,2474
0.521213,0,396965,3556,2430
0.522593,0,483789,4323,2470
0.524071,0,397992,3590,2531
0.525461,0,400238,3583,2432
0.526848,0,482891,4342,2503
0.528329,0,401631,3596,2512
0.529724,0,390785,3498,2505
0.531125,0,395140,3538,2483
0.532506,0,397572,3561,2467
0.533886,0,397687,3561,2476
0.535304,0,399090,3574,2460
0.536811,0,406653,3643,2432
0.538352,0,408364,3658,2423
0.539786,0,401145,3593,2423
0.541308,0,410109,3675,2475
0.542911,0,411989,3692,2481
0.544459,0,411409,3688,2470
0.546007,0,410845,3682,2423
0.547558,0,412129,3693,2427
0.549109,0,411627,3690,2467
0.550671,0,430843,3864,2465
0.552247,0,409072,3667,2481
0.553793,0,411953,3692,2480
0.555452,0,426766,3827,2428
0.556899,0,406546,3643,2466
0.558298,0,391570,3505,2511
0.559726,0,397589,3560,2454
0.561123,0,395689,3877,2547
0.562504,0,383076,3723,2388
0.563887,0,443698,4324,2434
0.565464,0,397396,3865,2433
0.567018,0,439139,4278,2386
0.568611,0,397963,3871,2511
0.570162,0,396946,3858,2427
0.571727,0,398220,3873,2432
0.573279,0,397348,3865,2388
0.574828,0,352746,3420,2430
0.576402,0,396321,3853,2429
0.577952,0,396790,3859,2429
0.579504,0,397148,3862,2388
0.581056,0,398552,3875,2503
0.582619,0,400902,3899,2430
0.584176,0,397161,3862,2386
0.585726,0,398328,3874,2389
0.587279,0,399395,3884,2430
0.588832,0,396161,3853,2427
0.590381,0,398038,3870,2431
0.591976,0,398230,3873,2430
0.593543,0,396690,3858,2475
0.595103,0,399153,3880,2396
0.596655,0,397615,3868,2430
0.598205,0,399468,3885,2392
0.599800,0,398356,3873,2428
0.601353,0,397140,3861,2433
0.602905,0,396588,3858,2432
0.604471,0,397454,3864,2500
0.606020,0,396023,3850,2425
0.607617,0,398998,3880,2388
0.609168,0,400043,3891,2393
0.610718,0,402018,3911,2428
0.612274,0,396913,3859,2432
0.613825,0,396784,3858,2365
0.615437,0,399924,3888,2561
0.616990,0,397918,3869,2431
0.618540,0,486777,4758,2427
0.620072,0,387036,3755,2395
0.621593,0,396206,3854,2432
0.623147,0,440403,4291,2435
0.624742,0,397110,3863,2430
0.626307,0,394551,3836,2429
0.627858,0,398013,3871,2434
0.629409,0,398815,3878,2396
0.630962,0,441031,4296,2391
0.632558,0,398033,3872,2497
0.634108,0,396372,3855,2554
0.635660,0,394826,3839,2515
0.637226,0,398818,3878,2427
0.638658,0,396372,3855,2383
0.640108,0,386971,3760,2435
0.641498,0,387602,3767,2432
0.642888,0,386238,3754,2397
0.644277,0,387036,3761,2435
0.645664,0,387039,3763,2390
0.647051,0,419807,4087,2432
0.648615,0,397679,3867,2381
0.650166,0,396229,3853,2435
0.651717,0,397579,3866,2432
0.653269,0,397479,3864,2392
0.654924,0,502868,4911,2427
0.656584,0,396619,3856,2388
0.658134,0,396225,3852,2428
0.659699,0,398214,3872,2434
0.661250,0,399081,3882,2471
0.662801,0,383283,3723,2358
0.664214,0,390614,3798,2426
0.665608,0,386340,3754,2513
0.667127,0,397846,3868,2433
0.668679,0,397140,3861,2389
0.670242,0,397400,3864,2423
0.671839,0,398300,3873,2389
0.673392,0,397817,3868,2562
0.674945,0,397027,3861,2428
0.676497,0,397158,3861,2426
0.678048,0,399957,3890,2397
0.679644,0,399419,3884,2428
0.681210,0,397644,3866,2566
0.682761,0,399828,3888,2388
0.684310,0,392655,3817,2436
0.685851,0,393847,3830,2435
0.687316,0,390102,3792,2433
0.688839,0,396170,3853,2391
0.690388,0,395738,3848,2399
0.691949,0,395603,3847,2427
0.693499,0,373341,3625,2427
0.695050,0,438782,4275,2433
0.696644,0,398814,3878,2430
0.698193,0,396193,3852,2394
0.699742,0,396438,3855,2544
0.701292,0,389037,3781,2396
0.702934,0,501554,4898,2386
0.704466,0,385393,3746,2430
0.705855,0,384119,3733,2433
0.707243,0,390684,3797,2540
0.708765,0,397084,3861,2433
0.710315,0,397253,3865,2437
0.711909,0,398203,3872,2430
0.713474,0,398035,3870,2400
0.715027,0,397776,3868,2541
0.716579,0,398102,3873,2396
0.718128,0,397532,3866,2426
0.719681,0,397919,3870,2430
0.721233,0,396528,3856,2394
0.722783,0,402129,3911,2398
0.724352,0,397053,3861,2429
0.725902,0,396138,3852,2395
0.727498,0,397279,3862,2427
0.729049,0,398655,3876,2430
0.730599,0,400855,3899,2433
0.732155,0,396375,3854,2432
0.733704,0,396377,3853,2431
0.735314,0,398095,3872,2393
0.736866,0,397298,3863,2369
0.738417,0,398060,3872,2428
0.739968,0,397198,3862,2431
0.741519,0,397703,3869,2428
0.743072,0,441235,4297,2533
0.744667,0,396636,3857,2394
0.746231,0,398232,3873,2438
0.747782,0,393075,3822,2437
0.749325,0,392152,3812,2530
0.750940,0,352715,3420,2430
0.752319,0,387037,3762,2438
0.753710,0,386416,3755,2436
0.755229,0,396893,3858,2429
0.756794,0,398142,3871,2432
0.758344,0,396168,3853,2538
0.759938,0,397755,3867,2436
0.761490,0,398225,3872,2432
0.763044,0,398158,3871,2396
0.764596,0,396937,3860,2431
0.766146,0,397377,3863,2426
0.767755,0,397875,3869,2437
0.769307,0,398312,3875,2570
0.770924,0,337081,3266,2429
0.772284,0,388377,3775,2430
0.773676,0,385825,3748,2389
0.775195,0,397967,3870,2430
0.776747,0,396196,3853,2428
0.778310,0,397395,3865,2386
0.779862,0,397623,3868,2431
0.781414,0,397801,3869,2392
0.782968,0,447975,4366,2431
0.784445,0,387742,3767,2433
0.785837,0,386720,3758,2432
0.787228,0,387573,3767,2435
0.788635,0,386190,3753,2388
0.790024,0,386847,3761,2393
0.791449,0,375614,3648,2428
0.792954,0,398398,3874,2427
0.794505,0,398475,3874,2428
0.796141,0,383816,3730,2436
0.797694,0,398866,3880,2357
0.799304,0,398220,3872,2432
0.800857,0,396707,3858,2510
0.802406,0,397805,3868,2432
0.803957,0,396831,3859,2433
0.805509,0,397405,3864,2427
0.807061,0,401301,3904,2471
0.808615,0,396379,3855,2431
0.810179,0,398460,3875,2426
0.811731,0,394606,3837,2431
0.813273,0,394428,3841,2390
0.814698,0,523093,5106,2429
0.816358,0,390520,3795,2397
0.817937,0,393222,3823,2436
0.819358,0,389040,3781,2426
0.820891,0,398327,3873,2391
0.822442,0,397432,3864,2435
0.824036,0,397924,3871,2393
0.825589,0,398334,3874,2437
0.827143,0,398692,3877,2431
0.828694,0,395714,3847,2395
0.830242,0,396155,3853,2395
0.831849,0,396730,3856,2428
0.833398,0,394189,3832,2395
0.834949,0,396581,3857,2552
0.836499,0,396783,3859,2427
0.838047,0,397416,3865,2436
0.839642,0,397657,3868,2424
0.841192,0,395334,3843,2393
0.842753,0,400329,3894,2560
0.844307,0,395571,3845,2426
0.845854,0,396447,3855,2390
0.847450,0,395949,3851,2391
0.849000,0,395708,3848,2432
0.850548,0,474169,4626,2428
0.852066,0,381908,3710,2386
0.853587,0,393842,3829,2549
0.855007,0,428467,4174,2617
0.856569,0,396819,3858,2431
0.858118,0,397824,3868,2539
0.859671,0,397660,3866,2390
0.861221,0,397571,3866,2428
0.862769,0,401657,3907,2426
0.864339,0,397860,3870,2428
0.865888,0,395464,3845,2426
0.867440,0,396295,3854,2426
0.868989,0,396199,3852,2387
0.870537,0,394883,3840,2476
0.872148,0,455202,4438,2417
0.873697,0,394452,3835,2432
0.875261,0,396066,3851,2398
0.876811,0,395478,3847,2431
0.878358,0,397318,3862,2389
0.879987,0,397762,3867,2401
0.881538,0,394786,3840,2430
0.883089,0,396699,3857,2433
0.884640,0,395317,3844,2431
