group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w256_mean,total_w256_std,total_w512_mean,total_w512_std,total_w1024_mean,total_w1024_std,total_w2048_mean,total_w2048_std,stable_strong_scaling,near_16x_scaling
SP,SP_WAVE_OUTPUT_CYCLES,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,56320.0,0.0,11264.0,0.0,11264.0,0.0,11264.0,0.0,11264.0,0.0,11264.0,0.0,False,False
SP,SP_TTU_BUSY_CYCLES,2,flat_or_saturated,2,1.0,1.3142085496742038,0.19439927570374313,0.14792117716167294,0.3106589743813903,0.6552275528633796,50059.0,24373.970747500294,6350.0,933.3809511662428,6274.0,1064.9028124669405,22809.5,24537.312413954387,6371.0,24.041630560342615,8254.5,7.7781745930520225,False,False
SP,SP_LB_READ_ALU_BLOCK_OTHER,2,flat_or_saturated,2,1.0,1.3116131427233668,0.13398627333109422,0.10215380508683523,0.41834357112135395,0.6182853241800217,44265.5,8224.358971980735,7322.5,743.1692270270614,7268.0,848.5281374238571,12541.5,8364.366114655671,7579.0,28.284271247461902,9554.5,6.363961030678928,False,False
HLSQ,HLSQ_VS_DATA_WAIT_PROGRAMMING,1,flat_or_saturated,1,1.0,1.1705685618729098,0.0,,0.42746895949478586,0.0,41094.0,0.0,7176.0,0.0,7854.0,0.0,9060.0,0.0,8604.0,0.0,8400.0,0.0,False,False
UCHE,UCHE_ARBITER_STALL_CYCLES_VBIF,1,active_mixed,1,1.0,1.8819855884707766,0.0,,0.7469620299461743,0.0,31743.0,0.0,6245.0,0.0,5325.0,0.0,4535.0,0.0,3885.0,0.0,11753.0,0.0,False,False
SP,SP_BRANCH_INS_DIVERGENCY_COUNT,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,30720.0,0.0,6144.0,0.0,6144.0,0.0,6144.0,0.0,6144.0,0.0,6144.0,0.0,False,False
SP,SP_LB_LDST_RW_LM_BLOCKED,2,flat_or_saturated,2,1.0,1.3142085496742038,0.19439927570374313,0.14792117716167294,0.5964489168690894,0.2510595402074488,29979.0,4023.4375849514554,6350.0,933.3809511662428,6274.0,1064.9028124669405,2729.5,3860.095918497363,6371.0,24.041630560342615,8254.5,7.7781745930520225,False,False
UCHE,UCHE_STALL_CYCLES_ARBITER,1,active_mixed,1,1.0,1.528137817883511,0.0,,0.6599632044983942,0.0,28739.0,0.0,6095.0,0.0,5177.0,0.0,4373.0,0.0,3780.0,0.0,9314.0,0.0,False,False
UCHE,UCHE_EVICTS,1,flat_or_saturated,1,1.0,0.0064697265625,0.0,,-0.6233611366964917,0.0,24768.0,0.0,8192.0,0.0,16384.0,0.0,75.0,0.0,64.0,0.0,53.0,0.0,False,False
SP,SP_VS_WAVE_REQ_PENDING,2,zero_all_widths,1,0.5,,0.0,,-0.2016397831543608,0.0,21275.5,30088.100646268784,0.0,0.0,0.0,0.0,21275.5,30088.100646268784,0.0,0.0,0.0,0.0,False,False
SP,SP_GPR_WRITE_CONFLICT,2,active_mixed,2,1.0,1.614444591839168,0.03200262308222075,0.019822682824787132,0.5645112848660272,0.029849109972729337,21013.5,28.991378028648448,2837.5,30.405591591021544,4248.5,34.64823227814083,4568.0,32.526911934581186,4779.0,26.870057685088806,4580.5,41.71930009000631,False,False
HLSQ,HLSQ_PRIMITIVE_COUNT,1,flat_or_saturated,1,1.0,0.5403525046382189,0.0,,-0.7353525050503862,0.0,12647.0,0.0,2156.0,0.0,3324.0,0.0,3486.0,0.0,2516.0,0.0,1165.0,0.0,False,False
HLSQ,HLSQ_FS_WAIT_SAME_VS_S2W,1,flat_or_saturated,1,1.0,1.340040241448692,0.0,,0.5728238255423058,0.0,11348.0,0.0,1988.0,0.0,2022.0,0.0,2664.0,0.0,2010.0,0.0,2664.0,0.0,False,False
SP,SP_FS_STAGE_WAVE_SAMPLES,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,10240.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,False,False
