run,group,chunk,csv_path,region_index,width,start_idx,end_idx_exclusive,start_s,end_s,samples
sweep_20260625_152944,HLSQ,13,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk013.csv,5,2048,571,592,0.847482,0.87586,21
sweep_20260625_152944,HLSQ,14,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk014.csv,1,128,41,62,0.061868,0.089557,21
sweep_20260625_152944,HLSQ,14,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk014.csv,2,256,177,198,0.259751,0.288967,21
sweep_20260625_152944,HLSQ,14,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk014.csv,3,512,298,319,0.439877,0.471855,21
sweep_20260625_152944,HLSQ,14,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk014.csv,4,1024,436,457,0.644102,0.672868,21
sweep_20260625_152944,HLSQ,14,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk014.csv,5,2048,577,598,0.851703,0.881009,21
sweep_20260625_152944,HLSQ,15,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk015.csv,1,128,55,76,0.084827,0.112929,21
sweep_20260625_152944,HLSQ,15,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk015.csv,2,256,185,206,0.268243,0.297776,21
sweep_20260625_152944,HLSQ,15,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk015.csv,3,512,314,335,0.459707,0.487803,21
sweep_20260625_152944,HLSQ,15,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk015.csv,4,1024,445,466,0.65517,0.683911,21
