run,group,chunk,csv_path,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
sweep_20260625_152944,SP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk004.csv,2402,24,5,5,True
sweep_20260625_152944,SP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk005.csv,2387,24,5,5,True
sweep_20260625_152944,SP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk006.csv,2398,24,0,5,False
sweep_20260625_152944,SP,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk007.csv,2392,24,5,5,True
sweep_20260625_152944,SP,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk008.csv,2372,24,5,5,True
sweep_20260625_152944,SP,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk009.csv,2483,13,5,5,True
sweep_20260625_174559,CP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/01_CP/CP_chunk001.csv,2471,14,5,5,True
sweep_20260625_174559,CP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/01_CP/CP_chunk002.csv,2470,14,5,5,True
sweep_20260625_174559,CP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/01_CP/CP_chunk003.csv,2474,14,5,5,True
sweep_20260625_174559,CP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/01_CP/CP_chunk004.csv,2465,14,5,5,True
sweep_20260625_174559,CP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/01_CP/CP_chunk005.csv,2463,14,5,5,True
sweep_20260625_174559,CP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/01_CP/CP_chunk006.csv,2461,14,5,5,True
sweep_20260625_174559,CP,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/01_CP/CP_chunk007.csv,2538,7,0,5,False
sweep_20260625_174559,RBBM,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/02_RBBM/RBBM_chunk001.csv,2567,4,5,5,True
sweep_20260625_174559,RBBM,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/02_RBBM/RBBM_chunk002.csv,2563,4,5,5,True
