elapsed_s,HLSQ_BV_INS_BUF_FULL_BLOCK_CPI,HLSQ_VS_DES_BUF_FULL_BLOCK_CPI,HLSQ_FS_DES_BUF_FULL_BLOCK_CPI,HLSQ_BV_DES_BUF_FULL_BLOCK_CPI,HLSQ_PRIMITIVE_COUNT,HLSQ_LPAC2BV_SWITCH_CNT
0.379441,0,0,0,0,0,0
0.380999,0,0,0,0,0,0
0.382559,0,0,0,0,0,0
0.384118,0,0,0,0,0,0
0.385679,0,0,0,0,0,0
0.387253,0,0,0,0,0,0
0.388811,0,0,0,0,0,0
0.390371,0,0,0,0,0,0
0.391931,0,0,0,0,0,0
0.393489,0,0,0,0,0,0
0.395054,0,0,0,0,0,0
0.396612,0,0,0,0,0,0
0.398186,0,0,0,0,0,0
0.399747,0,0,0,0,0,0
0.401304,0,0,0,0,0,0
0.402867,0,0,0,0,0,0
0.404425,0,0,0,0,0,0
0.405987,0,0,0,0,0,0
0.407546,0,0,0,0,0,0
0.409116,0,0,0,0,0,0
0.410719,0,0,0,0,0,0
0.412278,0,0,0,0,0,0
0.413841,0,0,0,0,0,0
0.415401,0,0,0,0,0,0
0.420357,0,0,0,0,0,0
0.421763,0,0,0,0,0,0
0.423178,0,0,0,0,0,0
0.424579,0,0,0,0,0,0
0.426020,0,0,0,0,0,0
0.427421,0,0,0,0,0,0
0.428817,0,0,0,0,0,0
0.430217,0,0,0,0,0,0
0.431613,0,0,0,0,0,0
0.433032,0,0,0,0,0,0
0.434432,0,0,0,0,0,0
0.435828,0,0,0,0,0,0
0.437274,0,0,0,0,0,0
0.438772,0,0,0,0,0,0
0.440126,0,0,0,0,0,0
0.441476,0,0,0,0,0,0
0.442849,0,0,0,0,0,0
0.444260,0,0,0,0,0,0
0.445660,0,0,0,0,0,0
0.447057,0,0,0,0,0,0
0.448581,0,0,0,0,0,0
0.450143,0,0,0,0,0,0
0.451705,0,0,0,0,0,0
0.453264,0,0,0,0,0,0
0.454923,0,0,0,0,0,0
0.456481,0,0,0,0,0,0
0.458088,0,0,0,0,0,0
0.459649,0,0,0,0,0,0
0.461208,0,0,0,0,0,0
0.462708,0,0,0,0,0,0
0.464240,0,0,0,0,0,0
0.465815,0,0,0,0,0,0
0.467376,0,0,0,0,0,0
0.468936,0,0,0,0,0,0
0.470496,0,0,0,0,0,0
0.472047,0,0,0,0,0,0
0.473663,0,0,0,0,0,0
0.475170,0,0,0,0,0,0
0.476627,0,0,0,0,0,0
0.478156,0,0,0,0,0,0
0.479715,0,0,0,0,0,0
0.481273,0,0,0,0,0,0
0.482835,0,0,0,0,0,0
0.484392,0,0,0,0,0,0
0.485951,0,0,0,0,0,0
0.487520,0,0,0,0,0,0
0.489080,0,0,0,0,0,0
0.490682,0,0,0,0,0,0
0.492242,0,0,0,0,0,0
0.493800,0,0,0,0,0,0
0.495356,0,0,0,0,0,0
0.496919,0,0,0,0,0,0
0.498492,0,0,0,0,0,0
0.500023,0,0,0,0,0,0
0.501710,0,0,0,0,0,0
0.503140,0,0,0,0,0,0
0.504557,0,0,0,0,0,0
0.506023,0,0,0,0,0,0
0.507559,0,0,0,0,0,0
0.509128,0,0,0,0,0,0
0.510689,0,0,0,0,0,0
0.512254,0,0,0,0,0,0
0.513815,0,0,0,0,0,0
0.515376,0,0,0,0,0,0
0.516935,0,0,0,0,0,0
0.518951,0,0,0,0,0,0
0.521071,0,0,0,0,0,0
0.522484,0,0,0,0,0,0
0.523890,0,0,0,0,0,0
