elapsed_s,HLSQ_SPTROC_STCHE_MISS_INC_VS,HLSQ_SPTROC_STCHE_MISS_INC_FS,HLSQ_SPTROC_STCHE_MISS_INC_BV,HLSQ_SPTROC_STCHE_MISS_INC_LPAC,HLSQ_VSBR_S2W_CYCLES_SP,HLSQ_FS_S2W_CYCLES_SP
0.253643,0,0,0,0,0,0
0.255084,0,0,0,0,0,0
0.256480,0,0,0,0,0,0
0.257878,0,0,0,0,0,0
0.259402,0,0,0,0,0,0
0.260961,0,0,0,0,0,0
0.262566,0,0,0,0,0,0
0.264141,0,0,0,0,0,0
0.265703,0,0,0,0,0,0
0.267265,0,0,0,0,0,0
0.268824,0,0,0,0,0,0
0.270281,0,0,0,0,0,0
0.271839,0,0,0,0,0,0
0.273397,0,0,0,0,0,0
0.274843,0,0,0,0,0,0
0.276373,0,0,0,0,0,0
0.277979,0,0,0,0,0,0
0.279540,0,0,0,0,0,0
0.281099,0,0,0,0,0,0
0.282722,0,0,0,0,0,0
0.284281,0,0,0,0,0,0
0.285900,0,0,0,0,0,0
0.287462,0,0,0,0,0,0
0.289021,0,0,0,0,0,0
0.290581,0,0,0,0,0,0
0.292142,0,0,0,0,0,0
0.293705,0,0,0,0,0,0
0.295360,0,0,0,0,0,0
0.296933,0,0,0,0,0,0
0.298494,0,0,0,0,0,0
0.299932,0,0,0,0,0,0
0.301472,0,0,0,0,0,0
0.303035,0,0,0,0,0,0
0.304597,0,0,0,0,0,0
0.306161,0,0,0,0,0,0
0.307738,0,0,0,0,0,0
0.309299,0,0,0,0,0,0
0.310866,0,0,0,0,0,0
0.312428,0,0,0,0,0,0
0.313991,0,0,0,0,0,0
0.315555,0,0,0,0,0,0
0.317116,0,0,0,0,0,0
0.318645,0,0,0,0,0,0
0.320176,0,0,0,0,0,0
0.321742,0,0,0,0,0,0
0.323305,0,0,0,0,0,0
0.324866,0,0,0,0,0,0
0.326472,0,0,0,0,0,0
0.328035,0,0,0,0,0,0
0.329614,0,0,0,0,0,0
0.331168,0,0,0,0,0,0
0.332721,0,0,0,0,0,0
0.334193,0,0,0,0,0,0
0.335725,0,0,0,0,0,0
0.337286,0,0,0,0,0,0
0.338854,0,0,0,0,0,0
0.340430,0,0,0,0,0,0
0.342039,0,0,0,0,0,0
0.343602,0,0,0,0,0,0
0.345163,0,0,0,0,0,0
0.346729,0,0,0,0,0,0
0.348290,0,0,0,0,0,0
0.349898,0,0,0,0,0,0
0.351475,0,0,0,0,0,0
0.353037,0,0,0,0,0,0
0.354600,0,0,0,0,0,0
0.356164,0,0,0,0,0,0
0.357727,0,0,0,0,0,0
0.359335,0,0,0,0,0,0
0.360896,0,0,0,0,0,0
0.362473,0,0,0,0,0,0
0.364036,0,0,0,0,0,0
0.365600,0,0,0,0,0,0
0.367206,0,0,0,0,0,0
0.368768,0,0,0,0,0,0
0.370331,0,0,0,0,0,0
0.371893,0,0,0,0,0,0
0.373471,0,0,0,0,0,0
0.375034,0,0,0,0,0,0
0.376595,0,0,0,0,0,0
0.378159,0,0,0,0,0,0
0.379721,0,0,0,0,0,0
0.381283,0,0,0,0,0,0
0.382852,0,0,0,0,0,0
0.384427,0,0,0,0,0,0
0.385991,0,0,0,0,0,0
0.387555,0,0,0,0,0,0
0.389116,0,0,0,0,0,0
0.390628,0,0,0,0,0,0
0.392158,0,0,0,0,0,0
0.393722,0,0,0,0,0,0
0.395298,0,0,0,0,0,0
0.396860,0,0,0,0,0,0
0.398465,0,0,0,0,0,0
0.400028,0,0,0,0,0,0
0.401592,0,0,0,0,0,0
0.403155,0,0,0,0,0,0
0.404717,0,0,0,0,0,0
0.406337,0,0,0,0,0,0
0.407900,0,0,0,0,0,0
0.409465,0,0,0,0,0,0
0.411029,0,0,0,0,0,0
0.412591,0,0,0,0,0,0
0.414199,0,0,0,0,0,0
0.415762,0,0,0,0,0,0
0.417337,0,0,0,0,0,0
0.418905,0,0,0,0,0,0
0.420467,0,0,0,0,0,0
0.422076,0,0,0,0,0,0
0.423639,0,0,0,0,0,0
0.425199,0,0,0,0,0,0
0.426763,0,0,0,0,0,0
0.428336,0,0,0,0,0,0
0.429942,0,0,0,0,0,0
0.431503,0,0,0,0,0,0
0.433063,0,0,0,0,0,0
0.434495,0,0,0,0,0,0
0.436025,0,0,0,0,0,0
0.437587,0,0,0,0,0,0
0.439207,0,0,0,0,0,0
0.440767,0,0,0,0,0,0
0.442329,0,0,0,0,0,0
0.443889,0,0,0,0,0,0
0.445515,0,0,0,0,0,0
0.447183,0,0,0,0,0,0
0.448743,0,0,0,0,0,0
0.450318,0,0,0,0,0,0
0.451879,0,0,0,0,0,0
0.453505,0,0,0,0,0,0
0.455172,0,0,0,0,0,0
0.456731,0,0,0,0,0,0
0.458293,0,0,0,0,0,0
0.459855,0,0,0,0,0,0
0.461494,0,0,0,0,0,0
0.463159,0,0,0,0,0,0
0.464718,0,0,0,0,0,0
0.466280,0,0,0,0,0,0
0.467842,0,0,0,0,0,0
0.469401,0,0,0,0,0,0
0.471008,0,0,0,0,0,0
0.472580,0,0,0,0,0,0
0.474144,0,0,0,0,0,0
0.475706,0,0,0,0,0,0
0.477264,0,0,0,0,0,0
0.478795,0,0,0,0,0,0
0.480195,0,0,0,0,0,0
0.481723,0,0,0,0,0,0
0.483172,0,0,0,0,0,0
0.484702,0,0,0,0,0,0
0.486309,0,0,0,0,0,0
0.487870,0,0,0,0,0,0
0.489496,0,0,0,0,0,0
0.491120,0,0,0,0,0,0
0.492680,0,0,0,0,0,0
0.494298,0,0,0,0,0,0
0.495858,0,0,0,0,0,0
0.497419,0,0,0,0,0,0
0.499000,0,0,0,0,0,0
0.500437,0,0,0,0,0,0
0.502017,0,0,0,0,0,0
0.503578,0,0,0,0,0,0
0.505152,0,0,0,0,0,0
0.506717,0,0,0,0,0,0
0.508276,0,0,0,0,0,0
0.509882,0,0,0,0,0,0
0.511445,0,0,0,0,0,0
0.513005,0,0,0,0,0,0
0.514565,0,0,0,0,0,0
0.516140,0,0,0,0,0,0
0.517715,0,0,0,0,0,0
0.519221,0,0,0,0,0,0
0.520630,0,0,0,0,0,0
0.522159,0,0,0,0,0,0
0.523721,0,0,0,0,0,0
0.525281,0,0,0,0,0,0
0.526862,0,0,0,0,0,0
0.528422,0,0,0,0,0,0
0.529986,0,0,0,0,0,0
0.531548,0,0,0,0,0,0
0.533107,0,0,0,0,0,0
0.534620,0,0,0,0,0,0
0.536150,0,0,0,0,0,0
0.537724,0,0,0,0,0,0
0.539286,0,0,0,0,0,0
0.540847,0,0,0,0,0,0
0.542453,0,0,0,0,0,0
0.544015,0,0,0,0,0,0
0.545578,0,0,0,0,0,0
0.547140,0,0,0,0,0,0
0.548714,0,0,0,0,0,0
0.550321,0,0,0,0,0,0
0.551883,0,0,0,0,0,0
0.553511,0,0,0,0,0,0
0.554883,0,0,0,0,0,0
0.556283,0,0,0,0,0,0
0.557812,0,0,0,0,0,0
0.559388,0,0,0,0,0,0
0.560949,0,0,0,0,0,0
0.562510,0,0,0,0,0,0
0.564072,0,0,0,0,0,0
0.565636,0,0,0,0,0,0
0.567242,0,0,0,0,0,0
0.568802,0,0,0,0,0,0
0.570377,0,0,0,0,0,0
0.572053,0,0,0,0,0,0
0.573620,0,0,0,0,0,0
0.575226,0,0,0,0,0,0
0.576787,0,0,0,0,0,0
0.578350,0,0,0,0,0,0
0.579913,0,0,0,0,0,0
0.581491,0,0,0,0,0,0
0.583054,0,0,0,0,0,0
0.584616,0,0,0,0,0,0
0.586180,0,0,0,0,0,0
0.587743,0,0,0,0,0,0
0.589304,0,0,0,0,0,0
0.590873,0,0,0,0,0,0
0.592449,0,0,0,0,0,0
0.594013,0,0,0,0,0,0
