elapsed_s,HLSQ_BV_SP_HCTX_ACTIVE_CNT,HLSQ_VS_SP_HCTX_ACTIVE_CYC,HLSQ_FS_SP_HCTX_ACTIVE_CYC,HLSQ_BV_SP_HCTX_ACTIVE_CYC,HLSQ_VS_SP_CCTX_ACTIVE_CNT,HLSQ_FS_SP_CCTX_ACTIVE_CNT
0.648181,0,0,0,0,0,0
0.649742,0,0,0,0,0,0
0.651305,0,0,0,0,0,0
0.652910,0,0,0,0,0,0
0.654484,0,0,0,0,0,0
0.656045,0,0,0,0,0,0
0.657607,0,0,0,0,0,0
0.659170,0,0,0,0,0,0
0.660732,0,0,0,0,0,0
0.662291,0,0,0,0,0,0
0.663854,0,0,0,0,0,0
0.665427,0,0,0,0,0,0
0.668330,0,0,0,0,0,0
0.669869,0,0,0,0,0,0
0.671432,0,0,0,0,0,0
0.672993,0,0,0,0,0,0
0.674553,0,0,0,0,0,0
0.676127,0,0,0,0,0,0
0.677687,0,0,0,0,0,0
0.679250,0,0,0,0,0,0
0.680812,0,0,0,0,0,0
0.682372,0,0,0,0,0,0
0.683978,0,0,0,0,0,0
0.685540,0,0,0,0,0,0
0.687112,0,0,0,0,0,0
0.688529,0,0,0,0,0,0
0.689933,0,0,0,0,0,0
0.691462,0,0,0,0,0,0
0.693025,0,0,0,0,0,0
0.694584,0,0,0,0,0,0
0.696144,0,0,0,0,0,0
0.697719,0,0,0,0,0,0
0.699281,0,0,0,0,0,0
0.700886,0,0,0,0,0,0
0.702446,0,0,0,0,0,0
0.704007,0,0,0,0,0,0
0.705567,0,0,0,0,0,0
0.707126,0,0,0,0,0,0
0.708722,0,0,0,0,0,0
0.710281,0,0,0,0,0,0
0.711844,0,0,0,0,0,0
0.713397,0,0,0,0,0,0
0.714947,0,0,0,0,0,0
0.716968,0,0,0,0,0,0
0.718528,0,0,0,0,0,0
0.720102,0,0,0,0,0,0
0.721664,0,0,0,0,0,0
0.723227,0,0,0,0,0,0
0.724787,0,0,0,0,0,0
0.726346,0,0,0,0,0,0
0.727908,0,0,0,0,0,0
0.729467,0,0,0,0,0,0
0.731040,0,0,0,0,0,0
0.732606,0,0,0,0,0,0
0.734165,0,0,0,0,0,0
0.735727,0,0,0,0,0,0
0.737288,0,0,0,0,0,0
0.738846,0,0,0,0,0,0
0.740370,0,0,0,0,0,0
0.741910,0,0,0,0,0,0
0.743472,0,0,0,0,0,0
0.745025,0,0,0,0,0,0
0.746577,0,0,0,0,0,0
0.748050,0,0,0,0,0,0
0.749582,0,0,0,0,0,0
0.751196,0,0,0,0,0,0
0.752768,0,0,0,0,0,0
0.754327,0,0,0,0,0,0
0.755889,0,0,0,0,0,0
0.757450,0,0,0,0,0,0
0.759010,0,0,0,0,0,0
0.760576,0,0,0,0,0,0
0.762135,0,0,0,0,0,0
0.763754,0,0,0,0,0,0
0.765317,0,0,0,0,0,0
0.766876,0,0,0,0,0,0
0.768441,0,0,0,0,0,0
0.770000,0,0,0,0,0,0
0.771562,0,0,0,0,0,0
0.773123,0,0,0,0,0,0
0.774696,0,0,0,0,0,0
0.776257,0,0,0,0,0,0
0.777810,0,0,0,0,0,0
0.779428,0,0,0,0,0,0
0.780867,0,0,0,0,0,0
0.782269,0,0,0,0,0,0
0.783796,0,0,0,0,0,0
0.785368,0,0,0,0,0,0
0.786927,0,0,0,0,0,0
0.788489,0,0,0,0,0,0
0.790047,0,0,0,0,0,0
0.791609,0,0,0,0,0,0
0.793169,0,0,0,0,0,0
0.794725,0,0,0,0,0,0
0.796213,0,0,0,0,0,0
0.797743,0,0,0,0,0,0
0.799304,0,0,0,0,0,0
0.800865,0,0,0,0,0,0
0.802421,0,0,0,0,0,0
0.803991,0,0,0,0,0,0
0.805516,0,0,0,0,0,0
0.806941,0,0,0,0,0,0
0.808473,0,0,0,0,0,0
0.810033,0,0,0,0,0,0
0.811639,0,0,0,0,0,0
0.813200,0,0,0,0,0,0
0.814761,0,0,0,0,0,0
0.816323,0,0,0,0,0,0
0.817898,0,0,0,0,0,0
0.819461,0,0,0,0,0,0
0.821023,0,0,0,0,0,0
0.822582,0,0,0,0,0,0
0.824143,0,0,0,0,0,0
0.825704,0,0,0,0,0,0
0.827267,0,0,0,0,0,0
0.828887,0,0,0,0,0,0
0.830447,0,0,0,0,0,0
0.832007,0,0,0,0,0,0
0.833569,0,0,0,0,0,0
0.835211,0,0,0,0,0,0
0.836620,0,0,0,0,0,0
0.838023,0,0,0,0,0,0
0.839559,0,0,0,0,0,0
0.841117,0,0,0,0,0,0
0.842675,0,0,0,0,0,0
0.844278,0,0,0,0,0,0
0.845840,0,0,0,0,0,0
0.847402,0,0,0,0,0,0
0.848955,0,0,0,0,0,0
0.850518,0,0,0,0,0,0
0.851945,0,0,0,0,0,0
0.853475,0,0,0,0,0,0
0.855033,0,0,0,0,0,0
0.856599,0,0,0,0,0,0
0.858156,0,0,0,0,0,0
0.859761,0,0,0,0,0,0
0.861336,0,0,0,0,0,0
0.862894,0,0,0,0,0,0
0.864457,0,0,0,0,0,0
0.866011,0,0,0,0,0,0
0.867444,0,0,0,0,0,0
0.868977,0,0,0,0,0,0
0.870393,0,0,0,0,0,0
0.871803,0,0,0,0,0,0
0.873321,0,0,0,0,0,0
0.874873,0,0,0,0,0,0
0.876418,0,0,0,0,0,0
0.877951,0,0,0,0,0,0
0.879515,0,0,0,0,0,0
0.881077,0,0,0,0,0,0
0.882525,0,0,0,0,0,0
0.884061,0,0,0,0,0,0
0.885624,0,0,0,0,0,0
0.887188,0,0,0,0,0,0
0.888752,0,0,0,0,0,0
0.890313,0,0,0,0,0,0
0.891920,0,0,0,0,0,0
0.893503,0,0,0,0,0,0
0.895064,0,0,0,0,0,0
0.896667,0,0,0,0,0,0
0.898228,0,0,0,0,0,0
0.899793,0,0,0,0,0,0
0.901355,0,0,0,0,0,0
0.902916,0,0,0,0,0,0
0.904490,0,0,0,0,0,0
0.906042,0,0,0,0,0,0
0.907477,0,0,0,0,0,0
0.909058,0,0,0,0,0,0
0.910619,0,0,0,0,0,0
0.912181,0,0,0,0,0,0
0.913743,0,0,0,0,0,0
0.915321,0,0,0,0,0,0
0.916883,0,0,0,0,0,0
0.918444,0,0,0,0,0,0
0.920005,0,0,0,0,0,0
0.921568,0,0,0,0,0,0
0.923128,0,0,0,0,0,0
0.924621,0,0,0,0,0,0
0.926033,0,0,0,0,0,0
0.927479,0,0,0,0,0,0
0.929048,0,0,0,0,0,0
0.930610,0,0,0,0,0,0
0.932171,0,0,0,0,0,0
0.933734,0,0,0,0,0,0
0.935197,0,0,0,0,0,0
0.936648,0,0,0,0,0,0
0.938182,0,0,0,0,0,0
0.939791,0,0,0,0,0,0
0.941354,0,0,0,0,0,0
0.943386,0,0,0,0,0,0
0.946122,0,0,0,0,0,0
0.947567,0,0,0,0,0,0
0.948975,0,0,0,0,0,0
0.950370,0,0,0,0,0,0
0.951763,0,0,0,0,0,0
0.953155,0,0,0,0,0,0
0.954547,0,0,0,0,0,0
0.957077,0,0,0,0,0,0
0.958486,0,0,0,0,0,0
0.959883,0,0,0,0,0,0
0.961277,0,0,0,0,0,0
0.962668,0,0,0,0,0,0
0.964059,0,0,0,0,0,0
0.965452,0,0,0,0,0,0
0.966843,0,0,0,0,0,0
0.968322,0,0,0,0,0,0
0.969722,0,0,0,0,0,0
0.971114,0,0,0,0,0,0
0.972551,0,0,0,0,0,0
0.973952,0,0,0,0,0,0
0.975354,0,0,0,0,0,0
0.976795,0,0,0,0,0,0
0.978331,0,0,0,0,0,0
0.979908,0,0,0,0,0,0
0.981472,0,0,0,0,0,0
0.983033,0,0,0,0,0,0
0.984601,0,0,0,0,0,0
0.986161,0,0,0,0,0,0
0.987770,0,0,0,0,0,0
0.989323,0,0,0,0,0,0
0.990768,0,0,0,0,0,0
0.992170,0,0,0,0,0,0
0.993702,0,0,0,0,0,0
0.995268,0,0,0,0,0,0
0.996834,0,0,0,0,0,0
0.998399,0,0,0,0,0,0
0.999964,0,0,0,0,0,0
1.001544,0,0,0,0,0,0
1.003108,0,0,0,0,0,0
1.004549,0,0,0,0,0,0
1.006046,0,0,0,0,0,0
1.007459,0,0,0,0,0,0
1.008988,0,0,0,0,0,0
1.010551,0,0,0,0,0,0
1.012127,0,0,0,0,0,0
1.013692,0,0,0,0,0,0
1.015257,0,0,0,0,0,0
1.016822,0,0,0,0,0,0
1.018400,0,0,0,0,0,0
1.020014,0,0,0,0,0,0
1.021579,0,0,0,0,0,0
1.023158,0,0,0,0,0,0
1.024724,0,0,0,0,0,0
1.026287,0,0,0,0,0,0
1.027852,0,0,0,0,0,0
1.029416,0,0,0,0,0,0
1.030978,0,0,0,0,0,0
1.032567,0,0,0,0,0,0
1.034256,0,0,0,0,0,0
1.035870,0,0,0,0,0,0
1.037436,0,0,0,0,0,0
1.039000,0,0,0,0,0,0
1.040571,0,0,0,0,0,0
1.042135,0,0,0,0,0,0
1.043702,0,0,0,0,0,0
1.045159,0,0,0,0,0,0
1.046694,0,0,0,0,0,0
1.048259,0,0,0,0,0,0
1.049817,0,0,0,0,0,0
1.051517,0,0,0,0,0,0
1.052929,0,0,0,0,0,0
1.054337,0,0,0,0,0,0
1.055880,0,0,0,0,0,0
1.057446,0,0,0,0,0,0
1.059011,0,0,0,0,0,0
1.060581,0,0,0,0,0,0
1.062146,0,0,0,0,0,0
1.063714,0,0,0,0,0,0
1.065280,0,0,0,0,0,0
1.066857,0,0,0,0,0,0
1.068428,0,0,0,0,0,0
1.069992,0,0,0,0,0,0
1.071561,0,0,0,0,0,0
1.073126,0,0,0,0,0,0
1.074691,0,0,0,0,0,0
1.076257,0,0,0,0,0,0
1.077838,0,0,0,0,0,0
1.079406,0,0,0,0,0,0
1.080973,0,0,0,0,0,0
1.082538,0,0,0,0,0,0
1.084147,0,0,0,0,0,0
1.085713,0,0,0,0,0,0
1.087281,0,0,0,0,0,0
1.088861,0,0,0,0,0,0
1.090426,0,0,0,0,0,0
1.091993,0,0,0,0,0,0
1.093559,0,0,0,0,0,0
1.095124,0,0,0,0,0,0
1.096763,0,0,0,0,0,0
1.098169,0,0,0,0,0,0
1.099756,0,0,0,0,0,0
1.101323,0,0,0,0,0,0
1.102887,0,0,0,0,0,0
1.104457,0,0,0,0,0,0
1.106022,0,0,0,0,0,0
1.107590,0,0,0,0,0,0
1.109155,0,0,0,0,0,0
1.110734,0,0,0,0,0,0
1.112299,0,0,0,0,0,0
1.113865,0,0,0,0,0,0
1.115432,0,0,0,0,0,0
1.117045,0,0,0,0,0,0
1.118611,0,0,0,0,0,0
1.120177,0,0,0,0,0,0
1.121757,0,0,0,0,0,0
1.123325,0,0,0,0,0,0
1.124892,0,0,0,0,0,0
1.126456,0,0,0,0,0,0
1.127891,0,0,0,0,0,0
1.129574,0,0,0,0,0,0
1.131267,0,0,0,0,0,0
1.133689,0,0,0,0,0,0
1.136727,0,0,0,0,0,0
1.138653,0,0,0,0,0,0
1.140164,0,0,0,0,0,0
1.141617,0,0,0,0,0,0
1.143423,0,0,0,0,0,0
1.144829,0,0,0,0,0,0
1.146225,0,0,0,0,0,0
1.147662,0,0,0,0,0,0
1.149193,0,0,0,0,0,0
1.150589,0,0,0,0,0,0
1.151962,0,0,0,0,0,0
1.153208,0,0,0,0,0,0
1.154591,0,0,0,0,0,0
1.155891,0,0,0,0,0,0
1.157197,0,0,0,0,0,0
1.158501,0,0,0,0,0,0
1.159964,0,0,0,0,0,0
1.161281,0,0,0,0,0,0
1.162589,0,0,0,0,0,0
1.163950,0,0,0,0,0,0
1.165303,0,0,0,0,0,0
1.166655,0,0,0,0,0,0
1.168008,0,0,0,0,0,0
1.169357,0,0,0,0,0,0
1.170705,0,0,0,0,0,0
1.172092,0,0,0,0,0,0
1.173442,0,0,0,0,0,0
1.174804,0,0,0,0,0,0
1.176157,0,0,0,0,0,0
1.177507,0,0,0,0,0,0
1.178851,0,0,0,0,0,0
1.180278,0,0,0,0,0,0
1.181695,0,0,0,0,0,0
1.183094,0,0,0,0,0,0
1.184499,0,0,0,0,0,0
1.186150,0,0,0,0,0,0
1.187590,0,0,0,0,0,0
1.188990,0,0,0,0,0,0
1.190385,0,0,0,0,0,0
1.191823,0,0,0,0,0,0
1.193220,0,0,0,0,0,0
1.194617,0,0,0,0,0,0
1.196237,0,0,0,0,0,0
