elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.107530,0,324,324,0,0,0
0.108805,0,228,228,0,0,0
0.110055,0,216,216,0,0,0
0.111308,0,228,228,0,0,0
0.112563,0,216,228,0,0,0
0.113981,0,264,252,0,0,0
0.115240,0,216,216,0,0,0
0.116493,0,228,228,0,0,0
0.117746,0,216,216,0,0,0
0.118996,0,140,144,0,0,0
0.120426,0,0,0,0,0,0
0.121796,0,0,0,0,0,0
0.123233,0,0,0,0,0,0
0.124575,0,0,0,0,0,0
0.125919,0,0,0,0,0,0
0.127261,0,0,0,0,0,0
0.128602,0,0,0,0,0,0
0.129952,0,0,0,0,0,0
0.131293,0,0,0,0,0,0
0.132634,0,0,0,0,0,0
0.134090,0,0,0,0,0,0
0.135499,0,0,0,0,0,0
0.136840,0,0,0,0,0,0
0.138181,0,0,0,0,0,0
0.139650,0,0,0,0,0,0
0.141098,0,0,0,0,0,0
0.143743,0,0,0,0,0,0
0.145074,0,0,0,0,0,0
0.147239,0,0,0,0,0,0
0.148568,0,0,0,0,0,0
0.149898,0,0,0,0,0,0
0.151231,0,0,0,0,0,0
0.152673,0,0,0,0,0,0
0.154117,0,0,0,0,0,0
0.155630,0,0,0,0,0,0
0.157026,0,0,0,0,0,0
0.158423,0,0,0,0,0,0
0.159848,0,0,0,0,0,0
0.161228,0,0,0,0,0,0
0.162583,0,0,0,0,0,0
0.163934,0,0,0,0,0,0
0.165284,0,0,0,0,0,0
0.166633,0,0,0,0,0,0
0.167982,0,0,0,0,0,0
0.169330,0,0,0,0,0,0
0.170682,0,0,0,0,0,0
0.172251,0,0,0,0,0,0
0.173683,0,0,0,0,0,0
0.175213,0,0,0,0,0,0
0.176774,0,0,0,0,0,0
0.178333,0,0,0,0,0,0
0.179938,0,0,0,0,0,0
0.181496,0,0,0,0,0,0
0.183084,0,0,0,0,0,0
0.184672,0,0,0,0,0,0
0.186080,0,0,0,0,0,0
0.187577,0,0,0,0,0,0
0.188977,0,0,0,0,0,0
0.190377,0,0,0,0,0,0
0.191775,0,0,0,0,0,0
0.193294,0,0,0,0,0,0
0.194858,0,0,0,0,0,0
0.196421,0,0,0,0,0,0
0.197981,0,0,0,0,0,0
0.199542,0,0,0,0,0,0
0.201104,0,0,0,0,0,0
0.202669,0,0,0,0,0,0
0.204291,0,0,0,0,0,0
0.206519,0,0,0,0,0,0
0.208024,0,0,0,0,0,0
0.209420,0,0,0,0,0,0
0.210816,0,0,0,0,0,0
0.212251,0,0,0,0,0,0
0.213649,0,0,0,0,0,0
0.215058,0,0,0,0,0,0
0.216456,0,0,0,0,0,0
0.217853,0,0,0,0,0,0
0.219294,0,0,0,0,0,0
0.220906,0,0,0,0,0,0
0.222470,0,0,0,0,0,0
0.224032,0,0,0,0,0,0
0.225606,0,0,0,0,0,0
0.227169,0,0,0,0,0,0
0.228731,0,0,0,0,0,0
0.230291,0,0,0,0,0,0
0.231858,0,0,0,0,0,0
0.233419,0,0,0,0,0,0
0.235028,0,0,0,0,0,0
0.236605,0,0,0,0,0,0
0.238165,0,0,0,0,0,0
0.239731,0,0,0,0,0,0
0.241291,0,0,0,0,0,0
0.242855,0,0,0,0,0,0
0.244417,0,0,0,0,0,0
0.245978,0,0,0,0,0,0
0.247426,0,0,0,0,0,0
0.248961,0,0,0,0,0,0
0.250525,0,0,0,0,0,0
0.252131,0,0,0,0,0,0
0.253692,0,0,0,0,0,0
0.255253,0,0,0,0,0,0
0.256815,0,0,0,0,0,0
0.258393,0,0,0,0,0,0
0.259955,0,0,0,0,0,0
0.261515,0,0,0,0,0,0
0.263078,0,0,0,0,0,0
0.264641,0,0,0,0,0,0
0.266201,0,0,0,0,0,0
0.267791,0,0,0,0,0,0
0.269363,0,0,0,0,0,0
0.270927,0,0,0,0,0,0
0.272489,0,0,0,0,0,0
0.274050,0,0,0,0,0,0
0.275664,0,0,0,0,0,0
0.277224,0,0,0,0,0,0
0.278787,0,0,0,0,0,0
0.280361,0,0,0,0,0,0
0.281921,0,0,0,0,0,0
0.283569,0,0,0,0,0,0
0.285130,0,0,0,0,0,0
0.286692,0,0,0,0,0,0
0.288253,0,0,0,0,0,0
0.289813,0,0,0,0,0,0
0.291387,0,0,0,0,0,0
0.292949,0,0,0,0,0,0
0.294510,0,0,0,0,0,0
0.296070,0,0,0,0,0,0
0.297629,0,0,0,0,0,0
0.299235,0,0,0,0,0,0
0.300796,0,0,0,0,0,0
0.302451,0,0,0,0,0,0
0.303952,0,0,0,0,0,0
0.305356,0,0,0,0,0,0
0.306883,0,0,0,0,0,0
0.308443,0,0,0,0,0,0
0.310002,0,0,0,0,0,0
0.311562,0,0,0,0,0,0
0.313135,0,0,0,0,0,0
0.314697,0,0,0,0,0,0
0.316304,0,0,0,0,0,0
0.317863,0,0,0,0,0,0
0.319423,0,0,0,0,0,0
0.320985,0,0,0,0,0,0
0.322547,0,0,0,0,0,0
0.324123,0,0,0,0,0,0
0.325682,0,0,0,0,0,0
0.327243,0,0,0,0,0,0
0.328804,0,0,0,0,0,0
0.330430,0,0,0,0,0,0
0.332099,0,0,0,0,0,0
