elapsed_s,TP_RESERVED_120,TP_RESERVED_121,TP_RESERVED_122,TP_RESERVED_123,TP_RESERVED_124,TP_RESERVED_125,TP_RESERVED_126,TP_RESERVED_127,TP_FORMAT_DECOMP_BILINEAR,TP_PACKED_POINT_BOTH_VALID_FP16,TP_PACKED_POINT_SINGLE_VALID_FP16,TP_PACKED_POINT_BOTH_VALID_FP32
0.151023,0,0,0,0,0,0,0,0,0,0,0,0
0.152626,0,0,0,0,0,0,0,0,0,0,0,0
0.154246,0,0,0,0,0,0,0,0,0,0,0,0
0.155684,0,0,0,0,0,0,0,0,0,0,0,0
0.157113,0,0,0,0,0,0,0,0,0,0,0,0
0.158540,0,0,0,0,0,0,0,0,0,0,0,0
0.159963,0,0,0,0,0,0,0,0,0,0,0,0
0.161468,0,0,0,0,0,0,0,0,0,0,0,0
0.162904,0,0,0,0,0,0,0,0,0,0,0,0
0.164348,0,0,0,0,0,0,0,0,0,0,0,0
0.165783,0,0,0,0,0,0,0,0,0,0,0,0
0.167206,0,0,0,0,0,0,0,0,0,0,0,0
0.168631,0,0,0,0,0,0,0,0,0,0,0,0
0.170088,0,0,0,0,0,0,0,0,0,0,0,0
0.171485,0,0,0,0,0,0,0,0,0,0,0,0
0.172881,0,0,0,0,0,0,0,0,0,0,0,0
0.174286,0,0,0,0,0,0,0,0,0,0,0,0
0.175682,0,0,0,0,0,0,0,0,0,0,0,0
0.177078,0,0,0,0,0,0,0,0,0,0,0,0
0.178511,0,0,0,0,0,0,0,0,0,0,0,0
0.179907,0,0,0,0,0,0,0,0,0,0,0,0
0.181303,0,0,0,0,0,0,0,0,0,0,0,0
0.182699,0,0,0,0,0,0,0,0,0,0,0,0
0.184094,0,0,0,0,0,0,0,0,0,0,0,0
0.185491,0,0,0,0,0,0,0,0,0,0,0,0
0.186851,0,0,0,0,0,0,0,0,0,0,0,0
0.188221,0,0,0,0,0,0,0,0,0,0,0,0
0.190086,0,0,0,0,0,0,0,0,0,0,0,0
0.191445,0,0,0,0,0,0,0,0,0,0,0,0
0.192815,0,0,0,0,0,0,0,0,0,0,0,0
0.194156,0,0,0,0,0,0,0,0,0,0,0,0
0.195523,0,0,0,0,0,0,0,0,0,0,0,0
0.196883,0,0,0,0,0,0,0,0,0,0,0,0
0.198243,0,0,0,0,0,0,0,0,0,0,0,0
0.199603,0,0,0,0,0,0,0,0,0,0,0,0
0.200990,0,0,0,0,0,0,0,0,0,0,0,0
0.202367,0,0,0,0,0,0,0,0,0,0,0,0
0.203745,0,0,0,0,0,0,0,0,0,0,0,0
0.205123,0,0,0,0,0,0,0,0,0,0,0,0
0.206512,0,0,0,0,0,0,0,0,0,0,0,0
0.207890,0,0,0,0,0,0,0,0,0,0,0,0
0.209269,0,0,0,0,0,0,0,0,0,0,0,0
0.210733,0,0,0,0,0,0,0,0,0,0,0,0
0.212100,0,0,0,0,0,0,0,0,0,0,0,0
0.213443,0,0,0,0,0,0,0,0,0,0,0,0
0.214777,0,0,0,0,0,0,0,0,0,0,0,0
0.216110,0,0,0,0,0,0,0,0,0,0,0,0
0.217477,0,0,0,0,0,0,0,0,0,0,0,0
0.218905,0,0,0,0,0,0,0,0,0,0,0,0
0.220358,0,0,0,0,0,0,0,0,0,0,0,0
0.221790,0,0,0,0,0,0,0,0,0,0,0,0
0.223220,0,0,0,0,0,0,0,0,0,0,0,0
0.224653,0,0,0,0,0,0,0,0,0,0,0,0
0.226213,0,0,0,0,0,0,0,0,0,0,0,0
0.227820,0,0,0,0,0,0,0,0,0,0,0,0
0.229414,0,0,0,0,0,0,0,0,0,0,0,0
0.231007,0,0,0,0,0,0,0,0,0,0,0,0
0.232600,0,0,0,0,0,0,0,0,0,0,0,0
0.234240,0,0,0,0,0,0,0,0,0,0,0,0
0.235832,0,0,0,0,0,0,0,0,0,0,0,0
0.237426,0,0,0,0,0,0,0,0,0,0,0,0
0.239035,0,0,0,0,0,0,0,0,0,0,0,0
0.240630,0,0,0,0,0,0,0,0,0,0,0,0
0.242224,0,0,0,0,0,0,0,0,0,0,0,0
0.243816,0,0,0,0,0,0,0,0,0,0,0,0
0.245411,0,0,0,0,0,0,0,0,0,0,0,0
0.246997,0,0,0,0,0,0,0,0,0,0,0,0
0.248508,0,0,0,0,0,0,0,0,0,0,0,0
0.250039,0,0,0,0,0,0,0,0,0,0,0,0
0.251472,0,0,0,0,0,0,0,0,0,0,0,0
0.253032,0,0,0,0,0,0,0,0,0,0,0,0
0.254626,0,0,0,0,0,0,0,0,0,0,0,0
0.256220,0,0,0,0,0,0,0,0,0,0,0,0
0.257816,0,0,0,0,0,0,0,0,0,0,0,0
0.259411,0,0,0,0,0,0,0,0,0,0,0,0
0.260897,0,0,0,0,0,0,0,0,0,0,0,0
0.262463,0,0,0,0,0,0,0,0,0,0,0,0
0.264057,0,0,0,0,0,0,0,0,0,0,0,0
0.265657,0,0,0,0,0,0,0,0,0,0,0,0
0.267251,0,0,0,0,0,0,0,0,0,0,0,0
0.268848,0,0,0,0,0,0,0,0,0,0,0,0
0.270443,0,0,0,0,0,0,0,0,0,0,0,0
0.272050,0,0,0,0,0,0,0,0,0,0,0,0
0.273654,0,0,0,0,0,0,0,0,0,0,0,0
0.275248,0,0,0,0,0,0,0,0,0,0,0,0
0.276844,0,0,0,0,0,0,0,0,0,0,0,0
0.278440,0,0,0,0,0,0,0,0,0,0,0,0
0.280034,0,0,0,0,0,0,0,0,0,0,0,0
0.281552,0,0,0,0,0,0,0,0,0,0,0,0
0.283003,0,0,0,0,0,0,0,0,0,0,0,0
0.284438,0,0,0,0,0,0,0,0,0,0,0,0
0.285870,0,0,0,0,0,0,0,0,0,0,0,0
0.287300,0,0,0,0,0,0,0,0,0,0,0,0
0.288732,0,0,0,0,0,0,0,0,0,0,0,0
0.290381,0,0,0,0,0,0,0,0,0,0,0,0
0.291974,0,0,0,0,0,0,0,0,0,0,0,0
0.293536,0,0,0,0,0,0,0,0,0,0,0,0
0.295100,0,0,0,0,0,0,0,0,0,0,0,0
0.296742,0,0,0,0,0,0,0,0,0,0,0,0
0.298338,0,0,0,0,0,0,0,0,0,0,0,0
0.299932,0,0,0,0,0,0,0,0,0,0,0,0
0.301580,0,0,0,0,0,0,0,0,0,0,0,0
0.303174,0,0,0,0,0,0,0,0,0,0,0,0
0.304784,0,0,0,0,0,0,0,0,0,0,0,0
0.306379,0,0,0,0,0,0,0,0,0,0,0,0
0.307973,0,0,0,0,0,0,0,0,0,0,0,0
0.309663,0,0,0,0,0,0,0,0,0,0,0,0
0.311257,0,0,0,0,0,0,0,0,0,0,0,0
0.312897,0,0,0,0,0,0,0,0,0,0,0,0
0.314491,0,0,0,0,0,0,0,0,0,0,0,0
0.316098,0,0,0,0,0,0,0,0,0,0,0,0
0.317695,0,0,0,0,0,0,0,0,0,0,0,0
0.319289,0,0,0,0,0,0,0,0,0,0,0,0
0.320886,0,0,0,0,0,0,0,0,0,0,0,0
0.322482,0,0,0,0,0,0,0,0,0,0,0,0
0.324076,0,0,0,0,0,0,0,0,0,0,0,0
0.325675,0,0,0,0,0,0,0,0,0,0,0,0
0.327281,0,0,0,0,0,0,0,0,0,0,0,0
0.328922,0,0,0,0,0,0,0,0,0,0,0,0
0.330517,0,0,0,0,0,0,0,0,0,0,0,0
0.332110,0,0,0,0,0,0,0,0,0,0,0,0
0.333640,0,0,0,0,0,0,0,0,0,0,0,0
0.335072,0,0,0,0,0,0,0,0,0,0,0,0
0.336633,0,0,0,0,0,0,0,0,0,0,0,0
0.338238,0,0,0,0,0,0,0,0,0,0,0,0
0.339829,0,0,0,0,0,0,0,0,0,0,0,0
0.341422,0,0,0,0,0,0,0,0,0,0,0,0
0.343015,0,0,0,0,0,0,0,0,0,0,0,0
0.344610,0,0,0,0,0,0,0,0,0,0,0,0
0.346706,0,0,0,0,0,0,0,0,0,0,0,0
0.348304,0,0,0,0,0,0,0,0,0,0,0,0
0.349899,0,0,0,0,0,0,0,0,0,0,0,0
0.351492,0,0,0,0,0,0,0,0,0,0,0,0
0.353087,0,0,0,0,0,0,0,0,0,0,0,0
0.354681,0,0,0,0,0,0,0,0,0,0,0,0
0.356341,0,0,0,0,0,0,0,0,0,0,0,0
0.358000,0,0,0,0,0,0,0,0,0,0,0,0
0.359604,0,0,0,0,0,0,0,0,0,0,0,0
0.361242,0,0,0,0,0,0,0,0,0,0,0,0
0.362837,0,0,0,0,0,0,0,0,0,0,0,0
0.364431,0,0,0,0,0,0,0,0,0,0,0,0
0.366022,0,0,0,0,0,0,0,0,0,0,0,0
0.367613,0,0,0,0,0,0,0,0,0,0,0,0
0.369246,0,0,0,0,0,0,0,0,0,0,0,0
0.370855,0,0,0,0,0,0,0,0,0,0,0,0
0.372452,0,0,0,0,0,0,0,0,0,0,0,0
0.374046,0,0,0,0,0,0,0,0,0,0,0,0
0.375639,0,0,0,0,0,0,0,0,0,0,0,0
0.377277,0,0,0,0,0,0,0,0,0,0,0,0
0.378872,0,0,0,0,0,0,0,0,0,0,0,0
0.380468,0,0,0,0,0,0,0,0,0,0,0,0
0.382076,0,0,0,0,0,0,0,0,0,0,0,0
0.383668,0,0,0,0,0,0,0,0,0,0,0,0
0.385262,0,0,0,0,0,0,0,0,0,0,0,0
0.386857,0,0,0,0,0,0,0,0,0,0,0,0
0.388452,0,0,0,0,0,0,0,0,0,0,0,0
0.390046,0,0,0,0,0,0,0,0,0,0,0,0
0.391637,0,0,0,0,0,0,0,0,0,0,0,0
0.393288,0,0,0,0,0,0,0,0,0,0,0,0
0.394882,0,0,0,0,0,0,0,0,0,0,0,0
0.396479,0,0,0,0,0,0,0,0,0,0,0,0
0.398073,0,0,0,0,0,0,0,0,0,0,0,0
0.399666,0,0,0,0,0,0,0,0,0,0,0,0
0.401260,0,0,0,0,0,0,0,0,0,0,0,0
0.402856,0,0,0,0,0,0,0,0,0,0,0,0
0.404466,0,0,0,0,0,0,0,0,0,0,0,0
0.406060,0,0,0,0,0,0,0,0,0,0,0,0
0.407653,0,0,0,0,0,0,0,0,0,0,0,0
