elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.122738,0,0,0,0,0,0,0,0,0,0,0
0.124122,0,0,0,0,0,0,0,0,0,0,0
0.125504,0,0,0,0,0,0,0,0,0,0,0
0.126894,0,0,0,0,0,0,0,0,0,0,0
0.128275,0,0,0,0,0,0,0,0,0,0,0
0.129726,0,0,0,0,0,0,0,0,0,0,0
0.131197,0,0,0,0,0,0,0,0,0,0,0
0.132749,0,0,0,0,0,0,0,0,0,0,0
0.134172,0,0,0,0,0,0,0,0,0,0,0
0.135594,0,0,0,0,0,0,0,0,0,0,0
0.137013,0,0,0,0,0,0,0,0,0,0,0
0.141366,0,0,0,0,0,0,0,0,0,0,0
0.142813,0,0,0,0,0,0,0,0,0,0,0
0.144235,0,0,0,0,0,0,0,0,0,0,0
0.145801,0,0,0,0,0,0,0,0,0,0,0
0.147233,0,0,0,0,0,0,0,0,0,0,0
0.148615,0,0,0,0,0,0,0,0,0,0,0
0.150065,0,0,0,0,0,0,0,0,0,0,0
0.151482,0,0,0,0,0,0,0,0,0,0,0
0.152874,0,0,0,0,0,0,0,0,0,0,0
0.154251,0,0,0,0,0,0,0,0,0,0,0
0.155626,0,0,0,0,0,0,0,0,0,0,0
0.157000,0,0,0,0,0,0,0,0,0,0,0
0.158383,0,0,0,0,0,0,0,0,0,0,0
0.159754,0,0,0,0,0,0,0,0,0,0,0
0.161126,0,0,0,0,0,0,0,0,0,0,0
0.162520,0,0,0,0,0,0,0,0,0,0,0
0.163956,0,0,0,0,0,0,0,0,0,0,0
0.165518,0,0,0,0,0,0,0,0,0,0,0
0.166973,0,0,0,0,0,0,0,0,0,0,0
0.168389,0,0,0,0,0,0,0,0,0,0,0
0.169805,0,0,0,0,0,0,0,0,0,0,0
0.171348,0,0,0,0,0,0,0,0,0,0,0
0.172926,0,0,0,0,0,0,0,0,0,0,0
0.174943,0,0,0,0,0,0,0,0,0,0,0
0.176380,0,0,0,0,0,0,0,0,0,0,0
0.177847,0,0,0,0,0,0,0,0,0,0,0
0.179274,0,0,0,0,0,0,0,0,0,0,0
