elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.227388,0,0,0,0,0,0,0,0,0,0,0,0
0.228821,0,0,0,0,0,0,0,0,0,0,0,0
0.230254,0,0,0,0,0,0,0,0,0,0,0,0
0.231683,0,0,0,0,0,0,0,0,0,0,0,0
0.233113,0,0,0,0,0,0,0,0,0,0,0,0
0.234541,0,0,0,0,0,0,0,0,0,0,0,0
0.236595,0,0,0,0,0,0,0,0,0,0,0,0
0.238308,0,0,0,0,0,0,0,0,0,0,0,0
0.239776,0,0,0,0,0,0,0,0,0,0,0,0
0.241273,0,0,0,0,0,0,0,0,0,0,0,0
0.242700,0,0,0,0,0,0,0,0,0,0,0,0
0.244124,0,0,0,0,0,0,0,0,0,0,0,0
0.245555,0,0,0,0,0,0,0,0,0,0,0,0
0.246989,0,0,0,0,0,0,0,0,0,0,0,0
0.248416,0,0,0,0,0,0,0,0,0,0,0,0
0.249865,0,0,0,0,0,0,0,0,0,0,0,0
0.251289,0,0,0,0,0,0,0,0,0,0,0,0
0.252789,0,0,0,0,0,0,0,0,0,0,0,0
0.254218,0,0,0,0,0,0,0,0,0,0,0,0
0.255648,0,0,0,0,0,0,0,0,0,0,0,0
0.257120,0,0,0,0,0,0,0,0,0,0,0,0
0.258545,0,0,0,0,0,0,0,0,0,0,0,0
0.259968,0,0,0,0,0,0,0,0,0,0,0,0
0.261392,0,0,0,0,0,0,0,0,0,0,0,0
0.262833,0,0,0,0,0,0,0,0,0,0,0,0
0.264256,0,0,0,0,0,0,0,0,0,0,0,0
0.265809,0,0,0,0,0,0,0,0,0,0,0,0
0.267439,0,0,0,0,0,0,0,0,0,0,0,0
0.269037,0,0,0,0,0,0,0,0,0,0,0,0
0.270631,0,0,0,0,0,0,0,0,0,0,0,0
0.272223,0,0,0,0,0,0,0,0,0,0,0,0
0.273691,0,0,0,0,0,0,0,0,0,0,0,0
0.275254,0,0,0,0,0,0,0,0,0,0,0,0
0.276849,0,0,0,0,0,0,0,0,0,0,0,0
0.278457,0,0,0,0,0,0,0,0,0,0,0,0
0.280049,0,0,0,0,0,0,0,0,0,0,0,0
0.281644,0,0,0,0,0,0,0,0,0,0,0,0
0.283230,0,0,0,0,0,0,0,0,0,0,0,0
0.284914,0,0,0,0,0,0,0,0,0,0,0,0
0.286341,0,0,0,0,0,0,0,0,0,0,0,0
0.287776,0,0,0,0,0,0,0,0,0,0,0,0
0.289390,0,0,0,0,0,0,0,0,0,0,0,0
0.290985,0,0,0,0,0,0,0,0,0,0,0,0
0.292577,0,0,0,0,0,0,0,0,0,0,0,0
0.294217,0,0,0,0,0,0,0,0,0,0,0,0
0.295810,0,0,0,0,0,0,0,0,0,0,0,0
0.297406,0,0,0,0,0,0,0,0,0,0,0,0
0.298999,0,0,0,0,0,0,0,0,0,0,0,0
0.300603,0,0,0,0,0,0,0,0,0,0,0,0
0.302253,0,0,0,0,0,0,0,0,0,0,0,0
0.303846,0,0,0,0,0,0,0,0,0,0,0,0
0.305486,0,0,0,0,0,0,0,0,0,0,0,0
0.307081,0,0,0,0,0,0,0,0,0,0,0,0
0.308677,0,0,0,0,0,0,0,0,0,0,0,0
0.310273,0,0,0,0,0,0,0,0,0,0,0,0
0.311878,0,0,0,0,0,0,0,0,0,0,0,0
0.313532,0,0,0,0,0,0,0,0,0,0,0,0
