elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.093360,0,0,0,0,0,0,0,0
0.094621,0,0,0,0,0,0,0,0
0.095909,0,0,0,0,0,0,0,0
0.097222,0,0,0,0,0,0,0,0
0.098482,0,0,0,0,0,0,0,0
0.099749,0,0,0,0,0,0,0,0
0.101008,0,0,0,0,0,0,0,0
0.102277,0,0,0,0,0,0,0,0
0.103541,0,0,0,0,0,0,0,0
0.104806,0,0,0,0,0,0,0,0
0.106070,0,0,0,0,0,0,0,0
0.107335,0,0,0,0,0,0,0,0
0.108601,0,0,0,0,0,0,0,0
0.109863,0,0,0,0,0,0,0,0
0.111125,0,0,0,0,0,0,0,0
0.112434,0,0,0,0,0,0,0,0
0.113696,0,0,0,0,0,0,0,0
0.114959,0,0,0,0,0,0,0,0
0.116619,0,0,0,0,0,0,0,0
0.117882,0,0,0,0,0,0,0,0
0.119144,0,0,0,0,0,0,0,0
0.120408,0,0,0,0,0,0,0,0
0.121672,0,0,0,0,0,0,0,0
0.122934,0,0,0,0,0,0,0,0
0.124199,0,0,0,0,0,0,0,0
0.125462,0,0,0,0,0,0,0,0
0.126724,0,0,0,0,0,0,0,0
0.127989,0,0,0,0,0,0,0,0
0.129251,0,0,0,0,0,0,0,0
0.130652,0,0,0,0,0,0,0,0
0.132207,0,0,0,0,0,0,0,0
0.133661,0,0,0,0,0,0,0,0
0.135063,0,0,0,0,0,0,0,0
0.136463,0,0,0,0,0,0,0,0
0.137869,0,0,0,0,0,0,0,0
0.139274,0,0,0,0,0,0,0,0
0.140687,0,0,0,0,0,0,0,0
0.142088,0,0,0,0,0,0,0,0
0.143491,0,0,0,0,0,0,0,0
0.145020,0,0,0,0,0,0,0,0
0.146395,0,0,0,0,0,0,0,0
0.147771,0,0,0,0,0,0,0,0
0.149389,0,0,0,0,0,0,0,0
0.150771,0,0,0,0,0,0,0,0
0.152147,0,0,0,0,0,0,0,0
0.153522,0,0,0,0,0,0,0,0
0.154897,0,0,0,0,0,0,0,0
0.156293,0,0,0,0,0,0,0,0
0.157727,0,0,0,0,0,0,0,0
0.159071,0,0,0,0,0,0,0,0
0.160467,0,0,0,0,0,0,0,0
0.161914,0,0,0,0,0,0,0,0
0.163225,0,0,0,0,0,0,0,0
0.164685,0,0,0,0,0,0,0,0
0.166116,0,0,0,0,0,0,0,0
0.167520,0,0,0,0,0,0,0,0
0.168894,0,0,0,0,0,0,0,0
0.170208,0,0,0,0,0,0,0,0
0.171519,0,0,0,0,0,0,0,0
0.172921,0,0,0,0,0,0,0,0
0.174229,0,0,0,0,0,0,0,0
0.175553,0,0,0,0,0,0,0,0
0.176973,0,0,0,0,0,0,0,0
0.178317,0,0,0,0,0,0,0,0
0.179660,0,0,0,0,0,0,0,0
0.181069,0,0,0,0,0,0,0,0
0.182410,0,0,0,0,0,0,0,0
0.183757,0,0,0,0,0,0,0,0
0.185430,0,0,0,0,0,0,0,0
0.186774,0,0,0,0,0,0,0,0
0.188116,0,0,0,0,0,0,0,0
0.189574,0,0,0,0,0,0,0,0
0.190916,0,0,0,0,0,0,0,0
0.192291,0,0,0,0,0,0,0,0
0.193693,0,0,0,0,0,0,0,0
0.195104,0,0,0,0,0,0,0,0
0.196505,0,0,0,0,0,0,0,0
0.197906,0,0,0,0,0,0,0,0
0.199307,0,0,0,0,0,0,0,0
0.200711,0,0,0,0,0,0,0,0
0.202124,0,0,0,0,0,0,0,0
0.203529,0,0,0,0,0,0,0,0
0.204938,0,0,0,0,0,0,0,0
0.206351,0,0,0,0,0,0,0,0
0.207757,0,0,0,0,0,0,0,0
0.209197,0,0,0,0,0,0,0,0
0.210604,0,0,0,0,0,0,0,0
0.212012,0,0,0,0,0,0,0,0
0.213419,0,0,0,0,0,0,0,0
0.214954,0,0,0,0,0,0,0,0
0.216434,0,0,0,0,0,0,0,0
0.218001,0,0,0,0,0,0,0,0
0.219570,0,0,0,0,0,0,0,0
0.221144,0,0,0,0,0,0,0,0
0.222712,0,0,0,0,0,0,0,0
0.224327,0,0,0,0,0,0,0,0
0.225898,0,0,0,0,0,0,0,0
0.227481,0,0,0,0,0,0,0,0
0.229158,0,0,0,0,0,0,0,0
0.230727,0,0,0,0,0,0,0,0
0.232298,0,0,0,0,0,0,0,0
0.233869,0,0,0,0,0,0,0,0
0.235438,0,0,0,0,0,0,0,0
0.236957,0,0,0,0,0,0,0,0
0.238380,0,0,0,0,0,0,0,0
0.239922,0,0,0,0,0,0,0,0
0.241536,0,0,0,0,0,0,0,0
0.243105,0,0,0,0,0,0,0,0
0.244676,0,0,0,0,0,0,0,0
0.246246,0,0,0,0,0,0,0,0
0.247817,0,0,0,0,0,0,0,0
0.249399,0,0,0,0,0,0,0,0
0.250985,0,0,0,0,0,0,0,0
0.252563,0,0,0,0,0,0,0,0
0.254136,0,0,0,0,0,0,0,0
0.255705,0,0,0,0,0,0,0,0
0.257282,0,0,0,0,0,0,0,0
0.258853,0,0,0,0,0,0,0,0
0.263928,0,0,0,0,0,0,0,0
0.265377,0,0,0,0,0,0,0,0
0.266789,0,0,0,0,0,0,0,0
0.268202,0,0,0,0,0,0,0,0
0.269606,0,0,0,0,0,0,0,0
0.271026,0,0,0,0,0,0,0,0
0.272470,0,0,0,0,0,0,0,0
0.273873,0,0,0,0,0,0,0,0
0.275275,0,0,0,0,0,0,0,0
0.276680,0,0,0,0,0,0,0,0
0.278088,0,0,0,0,0,0,0,0
0.279494,0,0,0,0,0,0,0,0
0.280950,0,0,0,0,0,0,0,0
0.282374,0,0,0,0,0,0,0,0
0.283782,0,0,0,0,0,0,0,0
