elapsed_s,RB_2D_ALIVE_CYCLES,RB_2D_STARVE_CYCLES_SP,RB_2D_VALID_PIXELS,RB_3D_PIXELS,RB_BLENDER_WORKING_CYCLES,RB_ZPROC_WORKING_CYCLES,RB_CPROC_WORKING_CYCLES,RB_SAMPLER_WORKING_CYCLES
0.070787,0,0,0,0,0,0,0,0
0.072171,0,0,0,0,0,0,0,0
0.073544,0,0,0,0,0,0,0,0
0.075005,0,0,0,0,0,0,0,0
0.076450,0,0,0,0,0,0,0,0
0.077821,0,0,0,0,0,0,0,0
0.079188,0,0,0,0,0,0,0,0
0.080559,0,0,0,0,0,0,0,0
0.081927,0,0,0,0,0,0,0,0
0.083293,0,0,0,0,0,1386,2982,660
0.084683,0,0,0,0,0,0,0,0
0.086250,0,0,0,0,0,0,0,0
0.087745,0,0,0,0,0,0,0,0
0.089164,0,0,0,0,0,0,0,0
0.090575,0,0,0,0,0,0,0,0
0.091989,0,0,0,0,0,0,0,0
0.093395,0,0,0,0,0,0,0,0
0.094805,0,0,0,0,0,1758,204226,846
0.096068,0,0,0,0,0,4026,1675569,2160
0.097329,0,0,0,0,0,3744,1720186,2022
0.098590,0,0,0,0,0,3672,1600489,1968
0.099905,0,0,0,0,0,4158,1800963,2214
0.101165,0,0,0,0,0,3744,1603993,1968
0.102426,0,0,0,0,0,3726,1593948,1968
0.103690,0,0,0,0,0,4056,1782600,2214
0.104958,0,0,0,0,0,3816,1585066,1968
0.106224,0,0,0,0,0,3690,1591929,2160
0.107493,0,0,0,0,0,4176,1756568,2022
0.108758,0,0,0,0,0,3708,1568171,1968
0.110024,0,0,0,0,0,4074,1763167,2214
0.111288,0,0,0,0,0,3864,1558517,1968
0.112555,0,0,0,0,0,4080,1625347,2160
0.113819,0,0,0,0,0,3828,1720439,2022
0.115083,0,0,0,0,0,3690,1576613,1968
0.116394,0,0,0,0,0,4176,1774582,2214
0.117658,0,0,0,0,0,5112,2185836,2706
0.119339,0,0,0,0,0,4560,1832707,2406
0.120865,0,0,0,0,0,4260,1911046,2268
0.122163,0,0,0,0,0,3672,1584462,1968
0.123413,0,0,0,0,0,4080,1750167,2214
0.124683,0,0,0,0,0,3852,1558615,1968
0.125947,0,0,0,0,0,4020,1654751,2160
0.127210,0,0,0,0,0,3828,1695821,2022
0.128520,0,0,0,0,0,4020,1759272,2160
0.129784,0,0,0,0,0,3846,1593027,2022
0.131047,0,0,0,0,0,3708,1567027,2160
0.132355,0,0,0,0,0,4212,1771635,2022
0.133713,0,0,0,0,0,3312,1163735,1728
0.135428,0,0,0,0,0,0,0,0
0.136897,0,0,0,0,0,0,0,0
0.138298,0,0,0,0,0,0,0,0
0.139700,0,0,0,0,0,0,0,0
0.141439,0,0,0,0,0,0,0,0
0.142918,0,0,0,0,0,0,0,0
0.144325,0,0,0,0,0,0,0,0
0.145740,0,0,0,0,0,0,0,0
0.147141,0,0,0,0,0,0,0,0
0.148578,0,0,0,0,0,0,0,0
0.149955,0,0,0,0,0,0,0,0
0.151330,0,0,0,0,0,0,0,0
0.152704,0,0,0,0,0,0,0,0
0.154079,0,0,0,0,0,0,0,0
0.155458,0,0,0,0,0,0,0,0
0.156839,0,0,0,0,0,0,0,0
0.158213,0,0,0,0,0,0,0,0
0.159609,0,0,0,0,0,0,0,0
0.160985,0,0,0,0,0,0,0,0
0.162360,0,0,0,0,0,0,0,0
0.163960,0,0,0,0,0,0,0,0
0.165304,0,0,0,0,0,0,0,0
0.166646,0,0,0,0,0,0,0,0
0.167997,0,0,0,0,0,0,0,0
0.169342,0,0,0,0,0,0,0,0
0.170684,0,0,0,0,0,0,0,0
0.172026,0,0,0,0,0,0,0,0
0.173367,0,0,0,0,0,0,0,0
0.174708,0,0,0,0,0,0,0,0
0.176049,0,0,0,0,0,0,0,0
0.177392,0,0,0,0,0,0,0,0
0.178739,0,0,0,0,0,0,0,0
0.181015,0,0,0,0,0,0,0,0
0.182365,0,0,0,0,0,0,0,0
0.183804,0,0,0,0,0,0,0,0
0.185154,0,0,0,0,0,0,0,0
0.186504,0,0,0,0,0,0,0,0
0.187855,0,0,0,0,0,0,0,0
0.189210,0,0,0,0,0,0,0,0
0.190560,0,0,0,0,0,0,0,0
0.191911,0,0,0,0,0,0,0,0
0.193332,0,0,0,0,0,0,0,0
0.194770,0,0,0,0,0,0,0,0
0.196259,0,0,0,0,0,0,0,0
0.197707,0,0,0,0,0,0,0,0
0.199120,0,0,0,0,0,0,0,0
0.200556,0,0,0,0,0,0,0,0
