elapsed_s,RB_EARLY_Z_ARB3_GRANT,RB_LATE_Z_ARB3_GRANT,RB_EARLY_Z_SKIP_GRANT,RB_VRS_1X1_QUADS,RB_VRS_2X1_QUADS,RB_VRS_1X2_QUADS,RB_VRS_2X2_QUADS,RB_VRS_2X4_QUADS
0.458212,0,0,0,0,0,0,0,0
0.459883,0,0,0,0,0,0,0,0
0.461343,0,0,0,0,0,0,0,0
0.462886,0,0,0,0,0,0,0,0
0.464350,0,0,0,0,0,0,0,0
0.465898,0,0,0,0,0,0,0,0
0.467472,0,0,0,0,0,0,0,0
0.469100,0,0,0,0,0,0,0,0
0.470675,0,0,0,0,0,0,0,0
0.472295,0,0,0,0,0,0,0,0
0.473871,0,0,0,0,0,0,0,0
0.475460,0,0,0,0,0,0,0,0
0.477120,0,0,0,0,0,0,0,0
0.478695,0,0,0,0,0,0,0,0
0.480272,0,0,0,0,0,0,0,0
0.481848,0,0,0,0,0,0,0,0
0.483422,0,0,0,0,0,0,0,0
0.485048,0,0,0,0,0,0,0,0
0.486637,0,0,0,0,0,0,0,0
0.488258,0,0,0,0,0,0,0,0
0.489834,0,0,0,0,0,0,0,0
0.491446,0,0,0,0,0,0,0,0
0.493117,0,0,0,0,0,0,0,0
0.494683,0,0,0,0,0,0,0,0
0.496127,0,0,0,0,0,0,0,0
0.497721,0,0,0,0,0,0,0,0
0.499296,0,0,0,0,0,0,0,0
0.500873,0,0,0,0,0,0,0,0
0.502449,0,0,0,0,0,0,0,0
0.504028,0,0,0,0,0,0,0,0
0.505648,0,0,0,0,0,0,0,0
0.507222,0,0,0,0,0,0,0,0
0.508812,0,0,0,0,0,0,0,0
0.510389,0,0,0,0,0,0,0,0
0.511967,0,0,0,0,0,0,0,0
0.513543,0,0,0,0,0,0,0,0
0.515117,0,0,0,0,0,0,0,0
0.516691,0,0,0,0,0,0,0,0
0.518266,0,0,0,0,0,0,0,0
0.519854,0,0,0,0,0,0,0,0
0.521429,0,0,0,0,0,0,0,0
0.523003,0,0,0,0,0,0,0,0
0.524579,0,0,0,0,0,0,0,0
0.526154,0,0,0,0,0,0,0,0
0.527727,0,0,0,0,0,0,0,0
0.529303,0,0,0,0,0,0,0,0
0.530889,0,0,0,0,0,0,0,0
0.532465,0,0,0,0,0,0,0,0
0.534041,0,0,0,0,0,0,0,0
0.535613,0,0,0,0,0,0,0,0
0.537158,0,0,0,0,0,0,0,0
0.538570,0,0,0,0,0,0,0,0
0.540111,0,0,0,0,0,0,0,0
0.541700,0,0,0,0,0,0,0,0
0.543272,0,0,0,0,0,0,0,0
0.544848,0,0,0,0,0,0,0,0
0.546423,0,0,0,0,0,0,0,0
