elapsed_s,RB_STALL_CYCLES_CCU_COLOR_READ,RB_STALL_CYCLES_CCU_COLOR_WRITE,RB_STALL_CYCLES_CCU_DEPTH_READ,RB_STALL_CYCLES_CCU_DEPTH_WRITE,RB_STALL_CYCLES_VPC_BE,RB_BLENDED_FP32_COMPONENTS,RB_COLOR_PIX_TILES,RB_STALL_CYCLES_CCU
0.460293,0,0,0,0,0,0,0,0
0.461867,0,0,0,0,0,0,0,0
0.463439,0,0,0,0,0,0,0,0
0.465007,0,0,0,0,0,0,0,0
0.466593,0,0,0,0,0,0,0,0
0.468165,0,0,0,0,0,0,0,0
0.469735,0,0,0,0,0,0,0,0
0.471311,0,0,0,0,0,0,0,0
0.472882,0,0,0,0,0,0,0,0
0.474456,0,0,0,0,0,0,0,0
0.476028,0,0,0,0,0,0,0,0
0.477612,0,0,0,0,0,0,0,0
0.479190,0,0,0,0,0,0,0,0
0.480761,0,0,0,0,0,0,0,0
0.482335,0,0,0,0,0,0,0,0
0.483907,0,0,0,0,0,0,0,0
0.485478,0,0,0,0,0,0,0,0
0.487001,0,0,0,0,0,0,0,0
0.488550,0,0,0,0,0,0,0,0
0.490124,0,0,0,0,0,0,0,0
0.491698,0,0,0,0,0,0,0,0
0.493268,0,0,0,0,0,0,0,0
0.494884,0,0,0,0,0,0,0,0
0.496458,0,0,0,0,0,0,0,0
0.498032,0,0,0,0,0,0,0,0
0.499609,0,0,0,0,0,0,0,0
0.501213,0,0,0,0,0,0,0,0
0.502653,0,0,0,0,0,0,0,0
0.504230,0,0,0,0,0,0,0,0
0.505800,0,0,0,0,0,0,0,0
0.507425,0,0,0,0,0,0,0,0
0.508997,0,0,0,0,0,0,0,0
0.510532,0,0,0,0,0,0,0,0
0.512080,0,0,0,0,0,0,0,0
0.513650,0,0,0,0,0,0,0,0
0.515271,0,0,0,0,0,0,0,0
0.516841,0,0,0,0,0,0,0,0
0.518416,0,0,0,0,0,0,0,0
0.519988,0,0,0,0,0,0,0,0
0.521571,0,0,0,0,0,0,0,0
0.523147,0,0,0,0,0,0,0,0
0.524718,0,0,0,0,0,0,0,0
0.526335,0,0,0,0,0,0,0,0
0.527908,0,0,0,0,0,0,0,0
0.529478,0,0,0,0,0,0,0,0
0.531005,0,0,0,0,0,0,0,0
0.532556,0,0,0,0,0,0,0,0
0.534129,0,0,0,0,0,0,0,0
0.535702,0,0,0,0,0,0,0,0
0.537273,0,0,0,0,0,0,0,0
0.538846,0,0,0,0,0,0,0,0
0.540419,0,0,0,0,0,0,0,0
0.541993,0,0,0,0,0,0,0,0
0.543625,0,0,0,0,0,0,0,0
0.545198,0,0,0,0,0,0,0,0
0.546769,0,0,0,0,0,0,0,0
0.548343,0,0,0,0,0,0,0,0
0.549917,0,0,0,0,0,0,0,0
0.551488,0,0,0,0,0,0,0,0
0.553055,0,0,0,0,0,0,0,0
0.554640,0,0,0,0,0,0,0,0
0.556212,0,0,0,0,0,0,0,0
0.557782,0,0,0,0,0,0,0,0
0.559296,0,0,0,0,0,0,0,0
0.560708,0,0,0,0,0,0,0,0
0.562247,0,0,0,0,0,0,0,0
0.563811,0,0,0,0,0,0,0,0
0.565385,0,0,0,0,0,0,0,0
0.566952,0,0,0,0,0,0,0,0
0.568523,0,0,0,0,0,0,0,0
0.570097,0,0,0,0,0,0,0,0
0.571670,0,0,0,0,0,0,0,0
0.573241,0,0,0,0,0,0,0,0
0.574857,0,0,0,0,0,0,0,0
0.576443,0,0,0,0,0,0,0,0
0.578016,0,0,0,0,0,0,0,0
0.579588,0,0,0,0,0,0,0,0
0.581158,0,0,0,0,0,0,0,0
0.582731,0,0,0,0,0,0,0,0
0.584302,0,0,0,0,0,0,0,0
0.585875,0,0,0,0,0,0,0,0
0.587460,0,0,0,0,0,0,0,0
0.589030,0,0,0,0,0,0,0,0
0.590649,0,0,0,0,0,0,0,0
0.592222,0,0,0,0,0,0,0,0
0.593793,0,0,0,0,0,0,0,0
0.595298,0,0,0,0,0,0,0,0
0.596711,0,0,0,0,0,0,0,0
0.598260,0,0,0,0,0,0,0,0
0.599834,0,0,0,0,0,0,0,0
0.601405,0,0,0,0,0,0,0,0
0.602977,0,0,0,0,0,0,0,0
0.604550,0,0,0,0,0,0,0,0
0.606124,0,0,0,0,0,0,0,0
0.607741,0,0,0,0,0,0,0,0
0.609325,0,0,0,0,0,0,0,0
0.610896,0,0,0,0,0,0,0,0
0.612469,0,0,0,0,0,0,0,0
0.614043,0,0,0,0,0,0,0,0
0.615616,0,0,0,0,0,0,0,0
0.617187,0,0,0,0,0,0,0,0
0.618760,0,0,0,0,0,0,0,0
0.620345,0,0,0,0,0,0,0,0
0.621920,0,0,0,0,0,0,0,0
0.623536,0,0,0,0,0,0,0,0
0.625107,0,0,0,0,0,0,0,0
0.626679,0,0,0,0,0,0,0,0
0.628243,0,0,0,0,0,0,0,0
0.629891,0,0,0,0,0,0,0,0
0.631283,0,0,0,0,0,0,0,0
0.632696,0,0,0,0,0,0,0,0
0.634235,0,0,0,0,0,0,0,0
0.635806,0,0,0,0,0,0,0,0
0.637376,0,0,0,0,0,0,0,0
0.639015,0,0,0,0,0,0,0,0
0.640532,0,0,0,0,0,0,0,0
0.641970,0,0,0,0,0,0,0,0
0.643510,0,0,0,0,0,0,0,0
0.645081,0,0,0,0,0,0,0,0
0.646655,0,0,0,0,0,0,0,0
0.648228,0,0,0,0,0,0,0,0
0.649799,0,0,0,0,0,0,0,0
