elapsed_s,TSE_EDGE_SETUP_IMUL_WORKING_CYCLE_L2,TSE_RAS_INTF_WORKING_CYCLE_L1,TSE_LRZ_Z_INTF_WORKING_CYCLE_L1,TSE_LRZ_BARY_INTF_WORKING_CYCLE_L1
0.735614,0,0,0,0
0.737275,0,0,0,0
0.738990,0,0,0,0
0.740700,0,0,0,0
0.742409,0,0,0,0
0.744117,0,0,0,0
0.745654,0,0,0,0
0.747270,0,0,0,0
0.749015,0,0,0,0
0.750809,0,0,0,0
0.752584,0,0,0,0
0.754433,0,0,0,0
0.756206,0,0,0,0
0.757879,0,0,0,0
0.759722,0,0,0,0
0.761553,0,0,0,0
0.763226,0,0,0,0
0.764971,0,0,0,0
0.766574,0,0,0,0
0.768393,0,0,0,0
0.770255,0,0,0,0
0.772187,0,0,0,0
0.773972,0,0,0,0
0.775756,0,0,0,0
0.777559,0,0,0,0
0.779276,0,0,0,0
0.781029,0,0,0,0
0.782822,0,0,0,0
0.784613,0,0,0,0
0.786535,0,0,0,0
0.788153,0,0,0,0
0.789902,0,0,0,0
0.791692,0,0,0,0
0.793482,0,0,0,0
0.795274,0,0,0,0
0.797066,0,0,0,0
0.798674,0,0,0,0
0.800503,0,0,0,0
0.802368,0,0,0,0
0.804242,0,0,0,0
0.806029,0,0,0,0
0.807820,0,0,0,0
0.809632,0,0,0,0
0.811453,0,0,0,0
0.813229,0,0,0,0
0.815077,0,0,0,0
0.816728,0,0,0,0
0.818341,0,0,0,0
0.819974,0,0,0,0
0.821716,0,0,0,0
0.823507,0,0,0,0
0.825299,0,0,0,0
0.827093,0,0,0,0
0.828882,0,0,0,0
0.830688,0,0,0,0
0.832626,0,0,0,0
0.834491,0,0,0,0
0.836016,0,0,0,0
0.837760,0,0,0,0
0.839553,0,0,0,0
0.841364,0,0,0,0
0.843156,0,0,0,0
0.844944,0,0,0,0
0.846886,0,0,0,0
0.848402,0,0,0,0
0.850025,0,0,0,0
0.851584,0,0,0,0
0.853326,0,0,0,0
0.855120,0,0,0,0
0.856911,0,0,0,0
0.858781,0,0,0,0
0.860574,0,0,0,0
0.862395,0,0,0,0
0.864191,0,0,0,0
0.866057,0,0,0,0
0.867849,0,0,0,0
0.869639,0,0,0,0
0.871431,0,0,0,0
0.873227,0,0,0,0
0.875077,0,0,0,0
0.876725,0,0,0,0
0.878260,0,0,0,0
0.879920,0,0,0,0
0.881738,0,0,0,0
0.883280,0,0,0,0
0.884827,0,0,0,0
0.886567,0,0,0,0
0.888364,0,0,0,0
0.890227,0,0,0,0
0.891953,0,0,0,0
0.893712,0,0,0,0
0.895504,0,0,0,0
0.897294,0,0,0,0
0.899085,0,0,0,0
0.900871,0,0,0,0
0.902457,0,0,0,0
0.904033,0,0,0,0
0.905775,0,0,0,0
0.907491,0,0,0,0
0.909075,0,0,0,0
0.910822,0,0,0,0
0.912609,0,0,0,0
0.914293,0,0,0,0
0.916185,0,0,0,0
0.917971,0,0,0,0
0.919757,0,0,0,0
0.921543,0,0,0,0
0.923342,0,0,0,0
0.925180,0,0,0,0
0.926972,0,0,0,0
0.928766,0,0,0,0
0.930632,0,0,0,0
0.932413,0,0,0,0
0.934186,0,0,0,0
0.935783,0,0,0,0
0.937302,0,0,0,0
0.938850,0,0,0,0
0.940407,0,0,0,0
0.942180,0,0,0,0
0.943972,0,0,0,0
0.945764,0,0,0,0
0.947306,0,0,0,0
0.948855,0,0,0,0
0.950599,0,0,0,0
0.952399,0,0,0,0
0.954267,0,0,0,0
0.956184,0,0,0,0
0.957906,0,0,0,0
0.959581,0,0,0,0
0.961252,0,0,0,0
0.962926,0,0,0,0
0.964597,0,0,0,0
0.966266,0,0,0,0
0.967988,0,0,0,0
0.969737,0,0,0,0
0.971253,0,0,0,0
0.972793,0,0,0,0
0.974531,0,0,0,0
0.976113,0,0,0,0
0.977657,0,0,0,0
0.979439,0,0,0,0
0.981232,0,0,0,0
0.983025,0,0,0,0
0.984802,0,0,0,0
0.986650,0,0,0,0
0.988313,0,0,0,0
0.990073,0,0,0,0
0.991702,0,0,0,0
0.993238,0,0,0,0
0.995211,0,0,0,0
0.996948,0,0,0,0
0.998686,0,0,0,0
1.000470,0,0,0,0
1.002298,0,0,0,0
1.004228,0,0,0,0
1.006016,0,0,0,0
1.007807,0,0,0,0
1.009598,0,0,0,0
1.011285,0,0,0,0
1.013036,0,0,0,0
1.014830,0,0,0,0
1.016621,0,0,0,0
1.018487,0,0,0,0
1.020279,0,0,0,0
1.021885,0,0,0,0
1.023639,0,0,0,0
1.025432,0,0,0,0
1.027226,0,0,0,0
1.029018,0,0,0,0
1.030811,0,0,0,0
1.032643,0,0,0,0
1.034501,0,0,0,0
1.036101,0,0,0,0
1.037643,0,0,0,0
1.039390,0,0,0,0
1.041182,0,0,0,0
1.042799,0,0,0,0
1.044554,0,0,0,0
1.046343,0,0,0,0
1.048304,0,0,0,0
1.050171,0,0,0,0
1.051962,0,0,0,0
1.053754,0,0,0,0
1.055333,0,0,0,0
1.056869,0,0,0,0
1.058686,0,0,0,0
1.060496,0,0,0,0
1.062051,0,0,0,0
1.063622,0,0,0,0
1.065160,0,0,0,0
1.066764,0,0,0,0
1.068294,0,0,0,0
1.069834,0,0,0,0
1.071577,0,0,0,0
1.073427,0,0,0,0
1.075115,0,0,0,0
1.076865,0,0,0,0
1.078648,0,0,0,0
1.081972,0,0,0,0
1.085975,0,0,0,0
1.088175,0,0,0,0
1.089738,0,0,0,0
1.091355,0,0,0,0
1.093083,0,0,0,0
1.094757,0,0,0,0
1.096412,0,0,0,0
1.097956,0,0,0,0
1.099516,0,0,0,0
1.101044,0,0,0,0
1.102569,0,0,0,0
1.104175,0,0,0,0
1.105709,0,0,0,0
1.107308,0,0,0,0
1.108834,0,0,0,0
1.110373,0,0,0,0
1.112135,0,0,0,0
1.113668,0,0,0,0
1.115230,0,0,0,0
1.116895,0,0,0,0
1.118430,0,0,0,0
1.119965,0,0,0,0
1.121518,0,0,0,0
1.123053,0,0,0,0
1.124582,0,0,0,0
1.126122,0,0,0,0
1.127670,0,0,0,0
1.129195,0,0,0,0
1.131056,0,0,0,0
1.132614,0,0,0,0
1.134369,0,0,0,0
1.136249,0,0,0,0
1.138116,0,0,0,0
1.139907,0,0,0,0
1.141699,0,0,0,0
1.143514,0,0,0,0
1.145305,0,0,0,0
1.147099,0,0,0,0
1.148889,0,0,0,0
1.150678,0,0,0,0
1.152273,0,0,0,0
1.154113,0,0,0,0
1.155904,0,0,0,0
1.157696,0,0,0,0
1.159490,0,0,0,0
1.161282,0,0,0,0
1.163076,0,0,0,0
1.164689,0,0,0,0
1.166439,0,0,0,0
1.168238,0,0,0,0
1.170104,0,0,0,0
1.171896,0,0,0,0
1.173672,0,0,0,0
1.175391,0,0,0,0
1.177078,0,0,0,0
1.178984,0,0,0,0
1.180740,0,0,0,0
1.182231,0,0,0,0
1.183709,0,0,0,0
1.185268,0,0,0,0
1.186819,0,0,0,0
1.188296,0,0,0,0
1.189824,0,0,0,0
1.191486,0,0,0,0
1.193212,0,0,0,0
1.194935,0,0,0,0
1.196671,0,0,0,0
1.198396,0,0,0,0
1.200122,0,0,0,0
1.201842,0,0,0,0
1.203434,0,0,0,0
1.206064,0,0,0,0
1.207624,0,0,0,0
1.209147,0,0,0,0
1.210686,0,0,0,0
1.212249,0,0,0,0
1.214132,0,0,0,0
1.215793,0,0,0,0
1.217788,0,0,0,0
1.219346,0,0,0,0
1.220832,0,0,0,0
1.222284,0,0,0,0
1.223740,0,0,0,0
1.225194,0,0,0,0
1.226882,0,0,0,0
1.228309,0,0,0,0
1.229751,0,0,0,0
