elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
0.571400,0,0,0
0.573165,0,0,0
0.574851,0,0,0
0.576382,0,0,0
0.577844,0,0,0
0.579492,0,0,0
0.581104,0,0,0
0.582795,0,0,0
0.584490,0,0,0
0.585996,0,0,0
0.587483,0,0,0
0.589136,0,0,0
0.591617,0,0,0
0.593323,0,0,0
0.594959,0,0,0
0.596665,0,0,0
0.598258,0,0,0
0.600046,0,0,0
0.601628,0,0,0
0.604257,0,0,0
0.605968,0,0,0
0.607478,0,0,0
0.609021,0,0,0
0.610542,0,0,0
0.612131,0,0,0
0.613917,0,0,0
0.615691,0,0,0
0.617465,0,0,0
0.620958,0,0,0
0.622619,0,0,0
0.624095,0,0,0
0.625615,0,0,0
0.627077,0,0,0
0.628610,0,0,0
0.630129,0,0,0
0.631850,0,0,0
0.633643,0,0,0
0.635402,0,0,0
0.637356,0,0,0
0.639019,0,0,0
0.640748,0,0,0
0.642626,0,0,0
0.644217,0,0,0
0.645907,0,0,0
0.647429,0,0,0
0.648950,0,0,0
0.650471,0,0,0
0.652062,0,0,0
0.653577,0,0,0
0.655312,0,0,0
0.657088,0,0,0
0.658859,0,0,0
0.660636,0,0,0
0.662408,0,0,0
0.664180,0,0,0
0.665906,0,0,0
0.667633,0,0,0
0.669220,0,0,0
0.670745,0,0,0
0.672466,0,0,0
0.674053,0,0,0
0.675571,0,0,0
0.677221,0,0,0
0.678945,0,0,0
0.680719,0,0,0
0.682491,0,0,0
0.684340,0,0,0
0.685915,0,0,0
0.687451,0,0,0
0.689039,0,0,0
0.690570,0,0,0
0.692371,0,0,0
0.694142,0,0,0
0.695901,0,0,0
0.697540,0,0,0
0.699151,0,0,0
0.701123,0,0,0
0.702894,0,0,0
0.704672,0,0,0
0.706448,0,0,0
0.708412,0,0,0
0.710082,0,0,0
0.711782,0,0,0
0.713484,0,0,0
0.715187,0,0,0
0.716892,0,0,0
0.718613,0,0,0
0.720311,0,0,0
0.722018,0,0,0
0.723783,0,0,0
0.725486,0,0,0
0.727187,0,0,0
0.728910,0,0,0
0.730611,0,0,0
0.732374,0,0,0
0.734084,0,0,0
0.735784,0,0,0
0.737487,0,0,0
0.739209,0,0,0
0.740917,0,0,0
0.742620,0,0,0
0.744319,0,0,0
0.745837,0,0,0
0.747304,0,0,0
0.748958,0,0,0
0.750501,0,0,0
0.752231,0,0,0
0.754001,0,0,0
0.755831,0,0,0
0.757552,0,0,0
0.759011,0,0,0
0.760762,0,0,0
0.762588,0,0,0
0.764238,0,0,0
0.765975,0,0,0
0.767749,0,0,0
0.769526,0,0,0
0.771323,0,0,0
0.773183,0,0,0
0.774958,0,0,0
0.776737,0,0,0
0.778500,0,0,0
0.780335,0,0,0
0.782113,0,0,0
0.783845,0,0,0
0.785620,0,0,0
0.787397,0,0,0
0.789256,0,0,0
0.791032,0,0,0
0.792831,0,0,0
0.794608,0,0,0
0.796462,0,0,0
0.798126,0,0,0
0.799651,0,0,0
0.801380,0,0,0
0.802975,0,0,0
0.804714,0,0,0
0.806492,0,0,0
0.808265,0,0,0
0.810048,0,0,0
0.811901,0,0,0
0.813491,0,0,0
0.815211,0,0,0
0.816775,0,0,0
0.818438,0,0,0
0.820133,0,0,0
0.821853,0,0,0
0.823585,0,0,0
0.825383,0,0,0
0.827160,0,0,0
0.828942,0,0,0
0.830718,0,0,0
0.832492,0,0,0
0.834073,0,0,0
0.835897,0,0,0
0.837674,0,0,0
0.839451,0,0,0
0.841228,0,0,0
0.842990,0,0,0
0.844890,0,0,0
0.847493,0,0,0
0.849042,0,0,0
0.850568,0,0,0
0.852371,0,0,0
0.854152,0,0,0
0.855927,0,0,0
0.857723,0,0,0
0.859498,0,0,0
0.861000,0,0,0
0.862732,0,0,0
0.864505,0,0,0
0.866428,0,0,0
0.868297,0,0,0
0.870079,0,0,0
0.871852,0,0,0
0.873628,0,0,0
0.875389,0,0,0
0.877035,0,0,0
0.878812,0,0,0
0.880700,0,0,0
0.882537,0,0,0
0.884390,0,0,0
0.886169,0,0,0
0.887935,0,0,0
0.889584,0,0,0
0.891127,0,0,0
0.892733,0,0,0
0.894254,0,0,0
0.895774,0,0,0
0.897293,0,0,0
0.899014,0,0,0
0.900674,0,0,0
0.902407,0,0,0
0.904182,0,0,0
0.906121,0,0,0
0.907973,0,0,0
0.909751,0,0,0
0.911348,0,0,0
0.913087,0,0,0
0.914864,0,0,0
0.916643,0,0,0
0.918420,0,0,0
0.920192,0,0,0
0.921993,0,0,0
0.923848,0,0,0
0.925625,0,0,0
0.927400,0,0,0
0.929178,0,0,0
0.930954,0,0,0
0.932554,0,0,0
0.934274,0,0,0
0.936032,0,0,0
0.937668,0,0,0
0.939322,0,0,0
0.941147,0,0,0
0.942767,0,0,0
0.944291,0,0,0
0.946017,0,0,0
0.947863,0,0,0
0.949638,0,0,0
0.951410,0,0,0
0.953205,0,0,0
0.954977,0,0,0
0.956753,0,0,0
