elapsed_s,TSE_SETUP_FDP3_2_WORKING_CYCLE_L3,TSE_SETUP_FDP3_3_WORKING_CYCLE_L3,TSE_SETUP_FDP3_4_WORKING_CYCLE_L3,TSE_SETUP_FDP3_5_WORKING_CYCLE_L3
1.382397,0,0,0,0
1.384012,0,0,0,0
1.385561,0,0,0,0
1.387314,0,0,0,0
1.389104,0,0,0,0
1.390891,0,0,0,0
1.392686,0,0,0,0
1.394984,0,0,0,0
1.396615,0,0,0,0
1.398234,0,0,0,0
1.399926,0,0,0,0
1.401449,0,0,0,0
1.402981,0,0,0,0
1.404548,0,0,0,0
1.406153,0,0,0,0
1.407808,0,0,0,0
1.409549,0,0,0,0
1.411342,0,0,0,0
1.413120,0,0,0,0
1.414868,0,0,0,0
1.416552,0,0,0,0
1.418097,0,0,0,0
1.419628,0,0,0,0
1.421354,0,0,0,0
1.423018,0,0,0,0
1.424765,0,0,0,0
1.426371,0,0,0,0
1.428212,0,0,0,0
1.430079,0,0,0,0
1.432020,0,0,0,0
1.433812,0,0,0,0
1.435603,0,0,0,0
1.437413,0,0,0,0
1.439287,0,0,0,0
1.441076,0,0,0,0
1.442871,0,0,0,0
1.444661,0,0,0,0
1.446527,0,0,0,0
1.448287,0,0,0,0
1.450023,0,0,0,0
1.451648,0,0,0,0
1.453387,0,0,0,0
1.455047,0,0,0,0
1.456791,0,0,0,0
1.458602,0,0,0,0
1.460383,0,0,0,0
1.462208,0,0,0,0
1.464049,0,0,0,0
1.465828,0,0,0,0
1.467472,0,0,0,0
1.469045,0,0,0,0
1.470867,0,0,0,0
1.472641,0,0,0,0
1.474415,0,0,0,0
1.476033,0,0,0,0
1.477575,0,0,0,0
1.479501,0,0,0,0
1.481324,0,0,0,0
1.483118,0,0,0,0
1.484909,0,0,0,0
1.486706,0,0,0,0
1.488498,0,0,0,0
1.490103,0,0,0,0
1.491646,0,0,0,0
1.493389,0,0,0,0
1.495264,0,0,0,0
1.497056,0,0,0,0
1.498849,0,0,0,0
1.500661,0,0,0,0
1.502528,0,0,0,0
1.504130,0,0,0,0
1.505876,0,0,0,0
1.507667,0,0,0,0
1.509458,0,0,0,0
1.511154,0,0,0,0
1.512706,0,0,0,0
1.514445,0,0,0,0
1.516267,0,0,0,0
1.517933,0,0,0,0
1.519683,0,0,0,0
1.521296,0,0,0,0
1.523047,0,0,0,0
1.524841,0,0,0,0
1.526639,0,0,0,0
1.528432,0,0,0,0
1.530223,0,0,0,0
1.531842,0,0,0,0
1.533577,0,0,0,0
1.535239,0,0,0,0
1.537221,0,0,0,0
1.539034,0,0,0,0
1.540961,0,0,0,0
1.542648,0,0,0,0
1.544397,0,0,0,0
1.546181,0,0,0,0
1.548127,0,0,0,0
1.549991,0,0,0,0
1.551868,0,0,0,0
1.553481,0,0,0,0
1.555233,0,0,0,0
1.557024,0,0,0,0
1.558819,0,0,0,0
1.560612,0,0,0,0
1.562396,0,0,0,0
1.564211,0,0,0,0
1.566046,0,0,0,0
1.567638,0,0,0,0
1.569382,0,0,0,0
1.571175,0,0,0,0
1.572964,0,0,0,0
1.574657,0,0,0,0
1.576405,0,0,0,0
1.578191,0,0,0,0
1.579918,0,0,0,0
1.581659,0,0,0,0
1.583261,0,0,0,0
1.584821,0,0,0,0
1.586367,0,0,0,0
1.588114,0,0,0,0
1.589984,0,0,0,0
1.591776,0,0,0,0
1.593554,0,0,0,0
1.595157,0,0,0,0
1.596693,0,0,0,0
1.598510,0,0,0,0
1.600185,0,0,0,0
1.601726,0,0,0,0
1.603469,0,0,0,0
1.605324,0,0,0,0
1.607209,0,0,0,0
1.609001,0,0,0,0
1.610791,0,0,0,0
1.612580,0,0,0,0
1.614447,0,0,0,0
1.616246,0,0,0,0
1.617855,0,0,0,0
1.619605,0,0,0,0
1.621394,0,0,0,0
1.623268,0,0,0,0
1.625059,0,0,0,0
1.626851,0,0,0,0
1.628662,0,0,0,0
1.630840,0,0,0,0
1.632512,0,0,0,0
1.634258,0,0,0,0
1.636053,0,0,0,0
1.637918,0,0,0,0
1.639523,0,0,0,0
1.641271,0,0,0,0
1.643066,0,0,0,0
1.644858,0,0,0,0
1.646653,0,0,0,0
1.648444,0,0,0,0
1.650252,0,0,0,0
1.651847,0,0,0,0
1.653584,0,0,0,0
1.655248,0,0,0,0
1.657068,0,0,0,0
1.658919,0,0,0,0
1.660619,0,0,0,0
1.662481,0,0,0,0
1.664085,0,0,0,0
1.665969,0,0,0,0
1.667513,0,0,0,0
1.669048,0,0,0,0
1.670585,0,0,0,0
1.672335,0,0,0,0
1.674121,0,0,0,0
1.675849,0,0,0,0
1.677593,0,0,0,0
1.679472,0,0,0,0
1.681261,0,0,0,0
1.682875,0,0,0,0
1.684623,0,0,0,0
1.686489,0,0,0,0
1.688090,0,0,0,0
1.689832,0,0,0,0
1.691440,0,0,0,0
1.693013,0,0,0,0
1.694550,0,0,0,0
1.696113,0,0,0,0
1.697645,0,0,0,0
1.699187,0,0,0,0
1.700726,0,0,0,0
1.702343,0,0,0,0
1.703893,0,0,0,0
1.705432,0,0,0,0
1.707179,0,0,0,0
1.709000,0,0,0,0
1.710830,0,0,0,0
1.712370,0,0,0,0
1.713962,0,0,0,0
1.715492,0,0,0,0
1.717217,0,0,0,0
1.718885,0,0,0,0
1.720495,0,0,0,0
1.722031,0,0,0,0
1.723772,0,0,0,0
1.725384,0,0,0,0
1.727219,0,0,0,0
1.729012,0,0,0,0
1.730806,0,0,0,0
1.732596,0,0,0,0
