elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.494646,0,0,0,0,0,0,0,0
0.496603,0,0,0,0,0,0,0,0
0.499419,0,0,0,0,0,0,0,0
0.500989,0,0,0,0,0,0,0,0
0.502605,0,0,0,0,0,0,0,0
0.504174,0,0,0,0,0,0,0,0
0.505912,0,0,0,0,0,0,0,0
0.507533,0,0,0,0,0,0,0,0
0.509205,0,0,0,0,0,0,0,0
0.510868,0,0,0,0,0,0,0,0
0.512467,0,0,0,0,0,0,0,0
0.514195,0,0,0,0,0,0,0,0
0.515897,0,0,0,0,0,0,0,0
0.518218,0,0,0,0,0,0,0,0
0.520291,0,0,0,0,0,0,0,0
0.523516,0,0,0,0,0,0,0,0
0.525472,0,0,0,0,0,0,0,0
0.529247,0,0,0,0,0,0,0,0
0.530905,0,0,0,0,0,0,0,0
0.532691,0,0,0,0,0,0,0,0
0.534152,0,0,0,0,0,0,0,0
0.535588,0,0,0,0,0,0,0,0
0.537028,0,0,0,0,0,0,0,0
0.538426,0,0,0,0,0,0,0,0
0.539850,0,0,0,0,0,0,0,0
0.541224,0,0,0,0,0,0,0,0
0.542652,0,0,0,0,0,0,0,0
0.544057,0,0,0,0,0,0,0,0
0.545486,0,0,0,0,0,0,0,0
0.548081,0,0,0,0,0,0,0,0
0.550504,0,0,0,0,0,0,0,0
0.554423,0,0,0,0,0,0,0,0
0.555897,0,0,0,0,0,0,0,0
0.558114,0,0,0,0,0,0,0,0
0.559778,0,0,0,0,0,0,0,0
0.561271,0,0,0,0,0,0,0,0
0.562690,0,0,0,0,0,0,0,0
0.564141,0,0,0,0,0,0,0,0
0.565624,0,0,0,0,0,0,0,0
0.567117,0,0,0,0,0,0,0,0
0.568653,0,0,0,0,0,0,0,0
0.570157,0,0,0,0,0,0,0,0
0.572083,0,0,0,0,0,0,0,0
0.573574,0,0,0,0,0,0,0,0
0.576084,0,0,0,0,0,0,0,0
0.578867,0,0,0,0,0,0,0,0
0.580462,0,0,0,0,0,0,0,0
0.582568,0,0,0,0,0,0,0,0
0.584136,0,0,0,0,0,0,0,0
0.585599,0,0,0,0,0,0,0,0
0.586980,0,0,0,0,0,0,0,0
0.588396,0,0,0,0,0,0,0,0
0.589830,0,0,0,0,0,0,0,0
0.591236,0,0,0,0,0,0,0,0
0.592671,0,0,0,0,0,0,0,0
0.594102,0,0,0,0,0,0,0,0
0.595607,0,0,0,0,0,0,0,0
0.597087,0,0,0,0,0,0,0,0
0.598616,0,0,0,0,0,0,0,0
0.600274,0,0,0,0,0,0,0,0
0.604207,0,0,0,0,0,0,0,0
0.605822,0,0,0,0,0,0,0,0
0.608392,0,0,0,0,0,0,0,0
0.609970,0,0,0,0,0,0,0,0
0.611367,0,0,0,0,0,0,0,0
0.612997,0,0,0,0,0,0,0,0
0.614441,0,0,0,0,0,0,0,0
0.615867,0,0,0,0,0,0,0,0
0.617353,0,0,0,0,0,0,0,0
0.618872,0,0,0,0,0,0,0,0
0.620433,0,0,0,0,0,0,0,0
0.622034,0,0,0,0,0,0,0,0
0.623483,0,0,0,0,0,0,0,0
0.624967,0,0,0,0,0,0,0,0
0.626456,0,0,0,0,0,0,0,0
0.627946,0,0,0,0,0,0,0,0
0.633088,0,0,0,0,0,0,0,0
0.634686,0,0,0,0,0,0,0,0
0.638342,0,0,0,0,0,0,0,0
0.644639,0,0,0,0,0,0,0,0
0.646120,0,0,0,0,0,0,0,0
0.647583,0,0,0,0,0,0,0,0
0.649086,0,0,0,0,0,0,0,0
0.650533,0,0,0,0,0,0,0,0
