elapsed_s,HLSQ_STALL_CYCLES_UCHE,HLSQ_RESERVED_7,HLSQ_RESERVED_8,HLSQ_RESERVED_9,HLSQ_COMPUTE_DRAWCALLS,HLSQ_FS_DATA_WAIT_PROGRAMMING
0.681967,0,0,0,0,0,0
0.683288,0,0,0,0,0,0
0.684819,0,0,0,0,0,0
0.686439,0,0,0,0,0,0
0.687764,0,0,0,0,0,0
0.689196,0,0,0,0,0,0
0.690550,0,0,0,0,0,0
0.691908,0,0,0,0,0,0
0.693334,0,0,0,0,0,0
0.695006,0,0,0,0,0,0
0.696448,0,0,0,0,0,0
0.697840,0,0,0,0,0,0
0.699300,0,0,0,0,0,0
0.700687,0,0,0,0,0,0
0.702039,0,0,0,0,0,0
0.703469,0,0,0,0,0,0
0.704794,0,0,0,0,0,0
0.706461,0,0,0,0,0,0
0.707933,0,0,0,0,0,0
0.709393,0,0,0,0,0,0
0.710716,0,0,0,0,0,0
0.712369,0,0,0,0,0,0
0.713693,0,0,0,0,0,0
0.715050,0,0,0,0,0,0
0.716484,0,0,0,0,0,0
0.717806,0,0,0,0,0,0
0.719387,0,0,0,0,0,0
0.720792,0,0,0,0,0,0
0.722276,0,0,0,0,0,0
0.723625,0,0,0,0,0,0
0.724948,0,0,0,0,0,0
0.726436,0,0,0,0,0,0
0.728111,0,0,0,0,0,0
0.729476,0,0,0,0,0,0
0.730911,0,0,0,0,0,0
0.732237,0,0,0,0,0,0
0.733980,0,0,0,0,0,0
0.735306,0,0,0,0,0,0
0.736707,0,0,0,0,0,0
0.738066,0,0,0,0,0,0
0.739833,0,0,0,0,0,0
0.741157,0,0,0,0,0,0
0.742499,0,0,0,0,0,0
0.743822,0,0,0,0,0,0
0.745151,0,0,0,0,0,0
0.746982,0,0,0,0,0,0
0.748415,0,0,0,0,0,0
0.749854,0,0,0,0,0,0
0.751204,0,0,0,0,0,0
0.752688,0,0,0,0,0,0
0.754209,0,0,0,0,0,0
0.755642,0,0,0,0,0,0
0.756971,0,0,0,0,0,0
0.758448,0,0,0,0,0,0
0.759900,0,0,0,0,0,0
0.761351,0,0,0,0,0,0
0.762863,0,0,0,0,0,0
0.764447,0,0,0,0,0,0
0.765770,0,0,0,0,0,0
0.767286,0,0,0,0,0,0
0.768807,0,0,0,0,0,0
0.770217,0,0,0,0,0,0
0.771584,0,0,0,0,0,0
0.772910,0,0,0,0,0,0
0.774455,0,0,0,0,0,0
0.779824,0,0,0,0,0,0
0.781158,0,0,0,0,0,0
0.782627,0,0,0,0,0,0
0.783967,0,0,0,0,0,0
0.785291,0,0,0,0,0,0
0.786811,0,0,0,0,0,0
0.788162,0,0,0,0,0,0
0.789596,0,0,0,0,0,0
0.790919,0,0,0,0,0,0
0.792288,0,0,0,0,0,0
0.793722,0,0,0,0,0,0
0.795058,0,0,0,0,0,0
0.796492,0,0,0,0,0,0
0.797814,0,0,0,0,0,0
0.799158,0,0,0,0,0,0
0.800568,0,0,0,0,0,0
0.801912,0,0,0,0,0,0
0.803390,0,0,0,0,0,0
0.804806,0,0,0,0,0,0
0.806152,0,0,0,0,0,0
0.807614,0,0,0,0,0,0
0.808937,0,0,0,0,0,0
0.810370,0,0,0,0,0,0
0.812310,0,0,0,0,0,0
0.813694,0,0,0,0,0,0
0.815128,0,0,0,0,0,0
0.816568,0,0,0,0,0,0
0.817914,0,0,0,0,0,0
0.819272,0,0,0,0,0,0
0.820722,0,0,0,0,0,0
0.822057,0,0,0,0,0,0
0.823398,0,0,0,0,0,0
0.824808,0,0,0,0,0,0
0.826268,0,0,0,0,0,0
0.827721,0,0,0,0,0,0
0.829070,0,0,0,0,0,0
0.830421,0,0,0,0,0,0
0.831745,0,0,0,0,0,0
0.833073,0,0,0,0,0,0
0.834427,0,0,0,0,0,0
0.835796,0,0,0,0,0,0
0.837118,0,0,0,0,0,0
0.838473,0,0,0,0,0,0
0.839795,0,0,0,0,0,0
0.841146,0,0,0,0,0,0
0.842602,0,0,0,0,0,0
0.844035,0,0,0,0,0,0
0.845361,0,0,0,0,0,0
0.846842,0,0,0,0,0,0
0.848165,0,0,0,0,0,0
0.849496,0,0,0,0,0,0
0.850818,0,0,0,0,0,0
0.852292,0,0,0,0,0,0
0.853756,0,0,0,0,0,0
0.855103,0,0,0,0,0,0
0.856448,0,0,0,0,0,0
0.857779,0,0,0,0,0,0
0.859106,0,0,0,0,0,0
0.860434,0,0,0,0,0,0
0.861758,0,0,0,0,0,0
0.863081,0,0,0,0,0,0
0.864403,0,0,0,0,0,0
0.865760,0,0,0,0,0,0
0.867082,0,0,0,0,0,0
