elapsed_s,VFD_NEVER_COUNT,VFD_BUSY_CYCLES,VFD_STALL_CYCLES_UCHE,VFD_STALL_CYCLES_VPC_ALLOC,VFD_STALL_CYCLES_SP_INFO,VFD_STALL_CYCLES_SP_ATTR,VFD_STARVE_CYCLES_UCHE,VFD_RBUFFER_FULL
0.083595,0,2004,0,0,0,0,0,0
0.084826,0,0,0,0,0,0,0,0
0.086239,0,0,0,0,0,0,0,0
0.087618,0,0,0,0,0,0,0,0
0.089058,0,0,0,0,0,0,0,0
0.090470,0,0,0,0,0,0,0,0
0.091883,0,0,0,0,0,0,0,0
0.093291,0,0,0,0,0,0,0,0
0.094708,0,0,0,0,0,0,0,0
0.096384,0,0,0,0,0,0,0,0
0.097873,0,0,0,0,0,0,0,0
0.100094,0,0,0,0,0,0,0,0
0.101496,0,0,0,0,0,0,0,0
0.106001,0,0,0,0,0,0,0,0
0.107427,0,0,0,0,0,0,0,0
0.108831,0,0,0,0,0,0,0,0
0.110237,0,0,0,0,0,0,0,0
0.111642,0,0,0,0,0,0,0,0
0.113045,0,0,0,0,0,0,0,0
0.114672,0,0,0,0,0,0,0,0
0.116075,0,0,0,0,0,0,0,0
0.117485,0,0,0,0,0,0,0,0
0.118887,0,0,0,0,0,0,0,0
0.120340,0,0,0,0,0,0,0,0
0.121744,0,0,0,0,0,0,0,0
0.123240,0,0,0,0,0,0,0,0
0.124617,0,0,0,0,0,0,0,0
0.125984,0,0,0,0,0,0,0,0
0.127345,0,0,0,0,0,0,0,0
0.128719,0,0,0,0,0,0,0,0
0.130079,0,0,0,0,0,0,0,0
0.131438,0,0,0,0,0,0,0,0
0.132796,0,0,0,0,0,0,0,0
0.134155,0,0,0,0,0,0,0,0
0.135646,0,0,0,0,0,0,0,0
0.137230,0,0,0,0,0,0,0,0
0.138803,0,0,0,0,0,0,0,0
0.140264,0,0,0,0,0,0,0,0
0.141808,0,0,0,0,0,0,0,0
0.143384,0,0,0,0,0,0,0,0
0.144832,0,0,0,0,0,0,0,0
0.146378,0,0,0,0,0,0,0,0
0.147951,0,0,0,0,0,0,0,0
0.149522,0,0,0,0,0,0,0,0
0.150977,0,0,0,0,0,0,0,0
0.152521,0,0,0,0,0,0,0,0
0.154100,0,0,0,0,0,0,0,0
0.155721,0,0,0,0,0,0,0,0
0.157291,0,0,0,0,0,0,0,0
0.158862,0,0,0,0,0,0,0,0
0.160435,0,0,0,0,0,0,0,0
0.162023,0,0,0,0,0,0,0,0
0.163596,0,0,0,0,0,0,0,0
0.165165,0,0,0,0,0,0,0,0
0.166739,0,0,0,0,0,0,0,0
0.168313,0,0,0,0,0,0,0,0
0.169884,0,0,0,0,0,0,0,0
0.171458,0,0,0,0,0,0,0,0
0.173042,0,0,0,0,0,0,0,0
0.174616,0,0,0,0,0,0,0,0
0.176189,0,0,0,0,0,0,0,0
0.177760,0,0,0,0,0,0,0,0
0.179296,0,0,0,0,0,0,0,0
0.180708,0,0,0,0,0,0,0,0
0.182249,0,0,0,0,0,0,0,0
0.183878,0,0,0,0,0,0,0,0
0.185448,0,0,0,0,0,0,0,0
0.187021,0,0,0,0,0,0,0,0
0.188593,0,0,0,0,0,0,0,0
0.190167,0,0,0,0,0,0,0,0
0.191740,0,0,0,0,0,0,0,0
0.193311,0,0,0,0,0,0,0,0
0.194896,0,0,0,0,0,0,0,0
0.196346,0,0,0,0,0,0,0,0
0.197809,0,0,0,0,0,0,0,0
0.199221,0,0,0,0,0,0,0,0
0.200630,0,0,0,0,0,0,0,0
0.201988,0,0,0,0,0,0,0,0
0.203441,0,0,0,0,0,0,0,0
0.204845,0,0,0,0,0,0,0,0
0.206208,0,0,0,0,0,0,0,0
0.207570,0,0,0,0,0,0,0,0
0.208929,0,0,0,0,0,0,0,0
0.210287,0,0,0,0,0,0,0,0
0.211699,0,0,0,0,0,0,0,0
0.213062,0,0,0,0,0,0,0,0
0.214421,0,0,0,0,0,0,0,0
0.215846,0,0,0,0,0,0,0,0
