elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.280325,0,0,0,0,0,0,0,0
0.281665,0,0,0,0,0,0,0,0
0.283048,0,0,0,0,0,0,0,0
0.284434,0,0,0,0,0,0,0,0
0.285701,0,0,0,0,0,0,0,0
0.287084,0,0,0,0,0,0,0,0
0.288407,0,0,0,0,0,0,0,0
0.289784,0,0,0,0,0,0,0,0
0.291161,0,0,0,0,0,0,0,0
0.292549,0,0,0,54,54,0,1560,0
0.293925,0,0,0,0,0,0,0,0
0.295301,0,0,0,0,0,0,0,0
0.296678,0,0,0,0,0,0,0,0
0.297949,0,0,0,0,0,0,0,0
0.299325,0,0,0,0,0,0,0,0
0.300700,0,0,0,0,0,0,0,0
0.302076,0,0,0,0,0,0,0,0
0.303362,0,0,0,0,0,0,0,0
0.304718,0,0,0,0,0,0,0,0
0.306093,0,0,0,120,120,0,197334,0
0.307391,0,0,0,0,0,0,0,0
0.308940,0,0,0,0,0,0,0,0
0.310339,0,0,0,0,0,0,0,0
0.311713,0,0,0,0,0,0,0,0
0.313085,0,0,0,0,0,0,0,0
0.314456,0,0,0,0,0,0,0,0
0.315823,0,0,0,0,0,0,0,0
0.317186,0,0,0,0,0,0,0,0
0.318571,0,0,0,0,0,0,0,0
0.320014,0,0,0,0,0,0,0,0
0.321420,0,0,0,0,0,0,0,0
0.322825,0,0,0,0,0,0,0,0
0.324226,0,0,0,0,0,0,0,0
0.325626,0,0,0,0,0,0,0,0
0.327023,0,0,0,0,0,0,0,0
0.329573,0,0,0,0,0,0,0,0
0.330995,0,0,0,0,0,0,0,0
0.332399,0,0,0,0,0,0,0,0
0.333802,0,0,0,0,0,0,0,0
0.335256,0,0,0,0,0,0,0,0
0.336816,0,0,0,0,0,0,0,0
0.338224,0,0,0,0,0,0,0,0
0.339627,0,0,0,0,0,0,0,0
0.341038,0,0,0,0,0,0,0,0
0.342439,0,0,0,0,0,0,0,0
0.343841,0,0,0,0,0,0,0,0
0.345593,0,0,0,0,0,0,0,0
0.347162,0,0,0,0,0,0,0,0
0.348733,0,0,0,0,0,0,0,0
0.350344,0,0,0,0,0,0,0,0
0.351929,0,0,0,0,0,0,0,0
0.353498,0,0,0,0,0,0,0,0
0.355067,0,0,0,0,0,0,0,0
0.356642,0,0,0,0,0,0,0,0
0.358210,0,0,0,0,0,0,0,0
0.359781,0,0,0,0,0,0,0,0
0.361383,0,0,0,0,0,0,0,0
0.362966,0,0,0,0,0,0,0,0
0.364409,0,0,0,0,0,0,0,0
0.365951,0,0,0,0,0,0,0,0
0.367524,0,0,0,0,0,0,0,0
0.369097,0,0,0,0,0,0,0,0
0.370668,0,0,0,0,0,0,0,0
0.372240,0,0,0,0,0,0,0,0
0.373825,0,0,0,0,0,0,0,0
0.375399,0,0,0,0,0,0,0,0
0.376938,0,0,0,0,0,0,0,0
0.378352,0,0,0,0,0,0,0,0
0.379893,0,0,0,0,0,0,0,0
0.381465,0,0,0,0,0,0,0,0
0.383078,0,0,0,0,0,0,0,0
0.384668,0,0,0,0,0,0,0,0
0.386239,0,0,0,0,0,0,0,0
0.387812,0,0,0,0,0,0,0,0
0.389384,0,0,0,0,0,0,0,0
0.390954,0,0,0,0,0,0,0,0
0.392527,0,0,0,0,0,0,0,0
0.394100,0,0,0,0,0,0,0,0
0.395871,0,0,0,0,0,0,0,0
0.397439,0,0,0,0,0,0,0,0
0.399052,0,0,0,0,0,0,0,0
0.400682,0,0,0,0,0,0,0,0
