elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.157759,0,0,0,0
0.159156,0,0,0,0
0.160544,0,0,0,0
0.161926,0,0,0,0
0.163411,0,0,0,0
0.164794,0,0,0,0
0.166210,0,0,0,0
0.167595,0,0,0,0
0.168980,0,0,0,0
0.170366,0,0,0,0
0.171766,0,0,0,0
0.173155,0,0,0,0
0.174577,0,0,0,0
0.175964,0,0,0,0
0.177349,0,0,0,0
0.178737,0,0,0,0
0.180122,0,0,0,0
0.181640,0,0,0,0
0.183248,0,0,0,0
0.184798,0,0,0,0
0.186348,0,0,0,0
0.187889,0,0,0,0
0.189543,0,0,0,0
0.191133,0,0,0,0
0.192682,0,0,0,0
0.194245,0,0,0,0
0.195796,0,0,0,0
0.197345,0,0,0,0
0.198940,0,0,0,0
0.200488,0,0,0,0
0.202040,0,0,0,0
0.203590,0,0,0,0
0.205152,0,0,0,0
0.206707,0,0,0,0
0.208256,0,0,0,0
0.209807,0,0,0,0
0.211357,0,0,0,0
0.212905,0,0,0,0
0.214498,0,0,0,0
0.216061,0,0,0,0
0.217613,0,0,0,0
0.219163,0,0,0,0
0.220712,0,0,0,0
0.222305,0,0,0,0
0.223857,0,0,0,0
0.225495,0,0,0,0
0.227054,0,0,0,0
0.228448,0,0,0,0
0.230010,0,0,0,0
0.231561,0,0,0,0
0.233109,0,0,0,0
0.234658,0,0,0,0
0.236197,0,0,0,0
0.237631,0,0,0,0
0.239157,0,0,0,0
0.240706,0,0,0,0
0.242257,0,0,0,0
0.243807,0,0,0,0
0.245356,0,0,0,0
0.246951,0,0,0,0
0.248512,0,0,0,0
0.250064,0,0,0,0
0.251614,0,0,0,0
0.253163,0,0,0,0
0.254719,0,0,0,0
0.256266,0,0,0,0
0.257820,0,0,0,0
0.259384,0,0,0,0
0.260932,0,0,0,0
0.262526,0,0,0,0
0.264077,0,0,0,0
0.265629,0,0,0,0
0.267179,0,0,0,0
0.268728,0,0,0,0
0.270335,0,0,0,0
0.271887,0,0,0,0
0.273439,0,0,0,0
0.274990,0,0,0,0
0.276537,0,0,0,0
0.278133,0,0,0,0
0.279684,0,0,0,0
0.281246,0,0,0,0
0.282802,0,0,0,0
0.284350,0,0,0,0
0.285945,0,0,0,0
0.287496,0,0,0,0
0.289044,0,0,0,0
0.290465,0,0,0,0
0.291987,0,0,0,0
0.293593,0,0,0,0
0.295188,0,0,0,0
0.296736,0,0,0,0
0.298286,0,0,0,0
0.299836,0,0,0,0
0.301385,0,0,0,0
0.303139,0,0,0,0
0.304686,0,0,0,0
0.306237,0,0,0,0
0.307786,0,0,0,0
0.309333,0,0,0,0
0.310888,0,0,0,0
0.312436,0,0,0,0
0.313999,0,0,0,0
0.315549,0,0,0,0
0.317096,0,0,0,0
0.318732,0,0,0,0
0.320279,0,0,0,0
0.321830,0,0,0,0
0.323378,0,0,0,0
0.324939,0,0,0,0
0.326531,0,0,0,0
0.329076,0,0,0,0
0.330810,0,0,0,0
0.332234,0,0,0,0
0.333628,0,0,0,0
0.335032,0,0,0,0
0.336415,0,0,0,0
0.337847,0,0,0,0
0.339399,0,0,0,0
0.340784,0,0,0,0
0.342140,0,0,0,0
0.343534,0,0,0,0
0.344918,0,0,0,0
0.346317,0,0,0,0
0.348608,0,0,0,0
0.350093,0,0,0,0
0.351539,0,0,0,0
0.353044,0,0,0,0
0.354570,0,0,0,0
0.356005,0,0,0,0
0.357536,0,0,0,0
0.358998,0,0,0,0
0.360387,0,0,0,0
0.361983,0,0,0,0
0.363342,0,0,0,0
0.364708,0,0,0,0
0.366100,0,0,0,0
0.367458,0,0,0,0
0.368821,0,0,0,0
0.370178,0,0,0,0
0.371534,0,0,0,0
0.372986,0,0,0,0
0.374419,0,0,0,0
0.375941,0,0,0,0
0.377493,0,0,0,0
0.378949,0,0,0,0
0.380468,0,0,0,0
0.381931,0,0,0,0
0.383452,0,0,0,0
0.385001,0,0,0,0
0.386550,0,0,0,0
0.388101,0,0,0,0
0.389667,0,0,0,0
0.391262,0,0,0,0
0.392811,0,0,0,0
0.394362,0,0,0,0
0.395903,0,0,0,0
0.397558,0,0,0,0
0.399148,0,0,0,0
0.400710,0,0,0,0
0.402721,0,0,0,0
0.404115,0,0,0,0
0.405690,0,0,0,0
0.407282,0,0,0,0
0.408830,0,0,0,0
0.410379,0,0,0,0
0.411943,0,0,0,0
0.413495,0,0,0,0
0.415087,0,0,0,0
0.416634,0,0,0,0
0.418186,0,0,0,0
0.419734,0,0,0,0
0.421283,0,0,0,0
0.422852,0,0,0,0
0.424400,0,0,0,0
0.425951,0,0,0,0
0.427502,0,0,0,0
0.429049,0,0,0,0
0.430552,0,0,0,0
0.432072,0,0,0,0
0.433636,0,0,0,0
0.435187,0,0,0,0
0.436735,0,0,0,0
0.438329,0,0,0,0
0.439879,0,0,0,0
0.441431,0,0,0,0
0.442982,0,0,0,0
0.444420,0,0,0,0
0.445987,0,0,0,0
0.447537,0,0,0,0
0.449085,0,0,0,0
0.450697,0,0,0,0
0.452245,0,0,0,0
0.453840,0,0,0,0
0.455403,0,0,0,0
0.456953,0,0,0,0
0.458503,0,0,0,0
0.460053,0,0,0,0
0.461604,0,0,0,0
0.463156,0,0,0,0
0.464705,0,0,0,0
0.466268,0,0,0,0
0.467818,0,0,0,0
0.469367,0,0,0,0
0.470781,0,0,0,0
0.472175,0,0,0,0
0.473693,0,0,0,0
0.475243,0,0,0,0
0.476803,0,0,0,0
0.478397,0,0,0,0
0.479947,0,0,0,0
0.481499,0,0,0,0
0.483048,0,0,0,0
0.484596,0,0,0,0
0.486192,0,0,0,0
0.487755,0,0,0,0
0.489303,0,0,0,0
0.490857,0,0,0,0
0.492405,0,0,0,0
0.494000,0,0,0,0
0.495550,0,0,0,0
0.497098,0,0,0,0
0.498751,0,0,0,0
0.500292,0,0,0,0
0.501711,0,0,0,0
0.503272,0,0,0,0
0.504819,0,0,0,0
0.506367,0,0,0,0
0.507915,0,0,0,0
0.509478,0,0,0,0
0.511026,0,0,0,0
0.512572,0,0,0,0
0.514121,0,0,0,0
0.515551,0,0,0,0
0.517100,0,0,0,0
0.518613,0,0,0,0
0.520142,0,0,0,0
0.521694,0,0,0,0
0.523234,0,0,0,0
0.524988,0,0,0,0
0.526448,0,0,0,0
0.528003,0,0,0,0
0.529554,0,0,0,0
0.531117,0,0,0,0
0.532665,0,0,0,0
0.534259,0,0,0,0
0.535808,0,0,0,0
0.537357,0,0,0,0
0.538950,0,0,0,0
0.540496,0,0,0,0
0.542100,0,0,0,0
0.543648,0,0,0,0
0.545195,0,0,0,0
0.546747,0,0,0,0
0.548295,0,0,0,0
0.549889,0,0,0,0
0.551437,0,0,0,0
0.553020,0,0,0,0
0.554570,0,0,0,0
0.556117,0,0,0,0
0.557681,0,0,0,0
0.559272,0,0,0,0
0.560787,0,0,0,0
0.562334,0,0,0,0
0.563777,0,0,0,0
0.565173,0,0,0,0
0.566615,0,0,0,0
0.568003,0,0,0,0
0.569450,0,0,0,0
0.571059,0,0,0,0
0.573310,0,0,0,0
0.574789,0,0,0,0
0.576173,0,0,0,0
0.577573,0,0,0,0
0.578956,0,0,0,0
0.580336,0,0,0,0
0.581717,0,0,0,0
0.583131,0,0,0,0
0.584530,0,0,0,0
0.585919,0,0,0,0
0.587300,0,0,0,0
0.588679,0,0,0,0
0.590093,0,0,0,0
0.591475,0,0,0,0
0.592854,0,0,0,0
0.594238,0,0,0,0
0.595626,0,0,0,0
0.597021,0,0,0,0
0.598409,0,0,0,0
0.599924,0,0,0,0
0.601477,0,0,0,0
0.603019,0,0,0,0
0.604560,0,0,0,0
0.605982,0,0,0,0
0.607512,0,0,0,0
0.609062,0,0,0,0
0.610663,0,0,0,0
0.612214,0,0,0,0
0.613767,0,0,0,0
0.615317,0,0,0,0
0.616867,0,0,0,0
0.618432,0,0,0,0
0.619974,0,0,0,0
0.621620,0,0,0,0
0.623213,0,0,0,0
0.624762,0,0,0,0
0.626313,0,0,0,0
0.627863,0,0,0,0
0.629427,0,0,0,0
0.630977,0,0,0,0
0.632525,0,0,0,0
0.634077,0,0,0,0
0.635628,0,0,0,0
0.637176,0,0,0,0
0.638731,0,0,0,0
0.640293,0,0,0,0
0.641844,0,0,0,0
0.643394,0,0,0,0
0.644942,0,0,0,0
0.646535,0,0,0,0
0.648084,0,0,0,0
0.649636,0,0,0,0
0.651200,0,0,0,0
0.652748,0,0,0,0
0.654354,0,0,0,0
0.655798,0,0,0,0
0.657190,0,0,0,0
0.658709,0,0,0,0
0.660259,0,0,0,0
0.661869,0,0,0,0
0.663420,0,0,0,0
0.664969,0,0,0,0
0.666520,0,0,0,0
0.668070,0,0,0,0
0.669623,0,0,0,0
0.671219,0,0,0,0
0.672782,0,0,0,0
0.674334,0,0,0,0
0.675885,0,0,0,0
0.677437,0,0,0,0
0.678989,0,0,0,0
0.680538,0,0,0,0
0.682091,0,0,0,0
0.683656,0,0,0,0
0.685206,0,0,0,0
0.686761,0,0,0,0
0.688310,0,0,0,0
0.689863,0,0,0,0
