elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.303555,0,0,0,0
0.305107,0,0,0,0
0.306659,0,0,0,0
0.308208,0,0,0,0
0.309758,0,0,0,0
0.311308,0,0,0,0
0.312861,0,0,0,0
0.314424,0,0,0,0
0.315973,0,0,0,0
0.317568,0,0,0,0
0.319119,0,0,0,0
0.320671,0,0,0,0
0.322221,0,0,0,0
0.323771,0,0,0,0
0.325213,0,0,0,0
0.326735,0,0,0,0
0.328283,0,0,0,0
0.329706,0,0,0,0
0.331226,0,0,0,0
0.332778,0,0,0,0
0.334373,0,0,0,0
0.335935,0,0,0,0
0.337487,0,0,0,0
0.339037,0,0,0,0
0.340584,0,0,0,0
0.342134,0,0,0,0
0.343729,0,0,0,0
0.345279,0,0,0,0
0.346840,0,0,0,0
0.348387,0,0,0,0
0.349941,0,0,0,0
0.351489,0,0,0,0
0.353039,0,0,0,0
0.354588,0,0,0,0
0.356135,0,0,0,0
0.357697,0,0,0,0
0.359245,0,0,0,0
0.360795,0,0,0,0
0.362345,0,0,0,0
0.363892,0,0,0,0
0.365485,0,0,0,0
0.367034,0,0,0,0
0.368594,0,0,0,0
0.370074,0,0,0,0
0.371590,0,0,0,0
0.373140,0,0,0,0
0.374688,0,0,0,0
0.376235,0,0,0,0
0.377784,0,0,0,0
0.379345,0,0,0,0
0.380896,0,0,0,0
0.382489,0,0,0,0
0.384036,0,0,0,0
0.385585,0,0,0,0
0.387135,0,0,0,0
0.388685,0,0,0,0
0.390249,0,0,0,0
0.391797,0,0,0,0
0.393348,0,0,0,0
0.394896,0,0,0,0
0.396443,0,0,0,0
0.397996,0,0,0,0
0.399544,0,0,0,0
0.401109,0,0,0,0
0.402658,0,0,0,0
0.404205,0,0,0,0
0.405754,0,0,0,0
0.407302,0,0,0,0
0.408853,0,0,0,0
0.410402,0,0,0,0
0.411961,0,0,0,0
0.413553,0,0,0,0
0.414980,0,0,0,0
0.416503,0,0,0,0
0.418056,0,0,0,0
0.419603,0,0,0,0
0.421153,0,0,0,0
0.422716,0,0,0,0
0.424263,0,0,0,0
0.425812,0,0,0,0
0.427361,0,0,0,0
0.428912,0,0,0,0
0.430505,0,0,0,0
0.432052,0,0,0,0
0.433614,0,0,0,0
0.435163,0,0,0,0
0.436713,0,0,0,0
0.438261,0,0,0,0
0.439808,0,0,0,0
0.441359,0,0,0,0
0.442908,0,0,0,0
0.444468,0,0,0,0
0.445967,0,0,0,0
0.447356,0,0,0,0
0.448871,0,0,0,0
0.450418,0,0,0,0
0.451968,0,0,0,0
0.453517,0,0,0,0
0.455049,0,0,0,0
0.456590,0,0,0,0
0.458031,0,0,0,0
0.459420,0,0,0,0
0.460936,0,0,0,0
0.462806,0,0,0,0
0.464357,0,0,0,0
0.465922,0,0,0,0
0.467470,0,0,0,0
0.469019,0,0,0,0
0.470565,0,0,0,0
0.471993,0,0,0,0
0.473517,0,0,0,0
0.475069,0,0,0,0
0.476697,0,0,0,0
0.478374,0,0,0,0
0.479924,0,0,0,0
0.481475,0,0,0,0
0.483025,0,0,0,0
0.484574,0,0,0,0
0.486130,0,0,0,0
0.487694,0,0,0,0
0.489247,0,0,0,0
0.490798,0,0,0,0
0.492348,0,0,0,0
0.493989,0,0,0,0
0.495538,0,0,0,0
0.497091,0,0,0,0
0.498655,0,0,0,0
0.500205,0,0,0,0
0.501756,0,0,0,0
0.503308,0,0,0,0
0.504860,0,0,0,0
0.506402,0,0,0,0
0.507943,0,0,0,0
0.509416,0,0,0,0
0.510974,0,0,0,0
0.512525,0,0,0,0
0.514081,0,0,0,0
0.515630,0,0,0,0
0.517182,0,0,0,0
0.518734,0,0,0,0
0.520297,0,0,0,0
0.521899,0,0,0,0
0.523449,0,0,0,0
0.525001,0,0,0,0
0.526553,0,0,0,0
0.528102,0,0,0,0
0.529652,0,0,0,0
0.531218,0,0,0,0
0.532770,0,0,0,0
0.534322,0,0,0,0
0.535871,0,0,0,0
0.537423,0,0,0,0
0.538965,0,0,0,0
0.540505,0,0,0,0
0.542022,0,0,0,0
0.543438,0,0,0,0
0.544831,0,0,0,0
0.546347,0,0,0,0
0.547895,0,0,0,0
0.549446,0,0,0,0
0.550997,0,0,0,0
0.552560,0,0,0,0
0.554115,0,0,0,0
0.555663,0,0,0,0
0.557257,0,0,0,0
0.558807,0,0,0,0
0.560356,0,0,0,0
0.561910,0,0,0,0
0.563472,0,0,0,0
0.565024,0,0,0,0
0.566574,0,0,0,0
0.568123,0,0,0,0
0.569673,0,0,0,0
0.571216,0,0,0,0
0.572821,0,0,0,0
0.574410,0,0,0,0
0.575957,0,0,0,0
0.577505,0,0,0,0
0.579169,0,0,0,0
0.580721,0,0,0,0
0.582271,0,0,0,0
0.583818,0,0,0,0
0.585406,0,0,0,0
0.586957,0,0,0,0
0.588504,0,0,0,0
0.590058,0,0,0,0
0.591604,0,0,0,0
0.593154,0,0,0,0
0.594701,0,0,0,0
0.596262,0,0,0,0
0.597810,0,0,0,0
0.599358,0,0,0,0
0.600908,0,0,0,0
0.602456,0,0,0,0
0.604003,0,0,0,0
0.605595,0,0,0,0
0.607158,0,0,0,0
0.608707,0,0,0,0
0.610255,0,0,0,0
0.611802,0,0,0,0
0.613350,0,0,0,0
0.615007,0,0,0,0
0.616476,0,0,0,0
0.618012,0,0,0,0
0.619561,0,0,0,0
0.621156,0,0,0,0
0.622708,0,0,0,0
0.624256,0,0,0,0
0.625806,0,0,0,0
0.627356,0,0,0,0
0.628921,0,0,0,0
0.630472,0,0,0,0
0.632021,0,0,0,0
0.633572,0,0,0,0
0.635123,0,0,0,0
0.636675,0,0,0,0
0.638227,0,0,0,0
0.639791,0,0,0,0
0.641342,0,0,0,0
0.642893,0,0,0,0
0.644442,0,0,0,0
0.645996,0,0,0,0
0.647545,0,0,0,0
0.649096,0,0,0,0
0.650536,0,0,0,0
0.652057,0,0,0,0
0.653650,0,0,0,0
0.655202,0,0,0,0
0.656754,0,0,0,0
0.658303,0,0,0,0
0.659852,0,0,0,0
0.661418,0,0,0,0
0.662969,0,0,0,0
0.664518,0,0,0,0
0.666074,0,0,0,0
0.667624,0,0,0,0
0.669218,0,0,0,0
0.670769,0,0,0,0
0.672331,0,0,0,0
0.673830,0,0,0,0
0.675350,0,0,0,0
0.676904,0,0,0,0
0.678454,0,0,0,0
0.680004,0,0,0,0
0.681554,0,0,0,0
0.683117,0,0,0,0
0.684670,0,0,0,0
0.686222,0,0,0,0
0.687771,0,0,0,0
0.689324,0,0,0,0
0.690873,0,0,0,0
0.692421,0,0,0,0
0.693989,0,0,0,0
0.695539,0,0,0,0
0.697091,0,0,0,0
0.698641,0,0,0,0
0.700189,0,0,0,0
0.701783,0,0,0,0
0.703334,0,0,0,0
0.704898,0,0,0,0
0.706449,0,0,0,0
0.707997,0,0,0,0
0.709548,0,0,0,0
0.711099,0,0,0,0
0.712736,0,0,0,0
0.714259,0,0,0,0
0.715660,0,0,0,0
0.717259,0,0,0,0
0.718810,0,0,0,0
0.720359,0,0,0,0
0.721913,0,0,0,0
0.723462,0,0,0,0
0.725014,0,0,0,0
0.726579,0,0,0,0
0.728128,0,0,0,0
0.729678,0,0,0,0
0.731286,0,0,0,0
0.732807,0,0,0,0
0.734274,0,0,0,0
0.735665,0,0,0,0
0.737080,0,0,0,0
0.738468,0,0,0,0
0.739855,0,0,0,0
