elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
0.268893,0,0,0,0
0.270445,0,0,0,0
0.271994,0,0,0,0
0.273542,0,0,0,0
0.275151,0,0,0,0
0.276701,0,0,0,0
0.278249,0,0,0,0
0.279803,0,0,0,0
0.281351,0,0,0,0
0.282945,0,0,0,0
0.284494,0,0,0,0
0.286056,0,0,0,0
0.287667,0,0,0,0
0.289216,0,0,0,0
0.290811,0,0,0,0
0.292360,0,0,0,0
0.293908,0,0,0,0
0.295458,0,0,0,0
0.297021,0,0,0,0
0.298573,0,0,0,0
0.300166,0,0,0,0
0.301714,0,0,0,0
0.303264,0,0,0,0
0.304814,0,0,0,0
0.306444,0,0,0,0
0.308031,0,0,0,0
0.309552,0,0,0,0
0.311102,0,0,0,0
0.312651,0,0,0,0
0.314199,0,0,0,0
0.315774,0,0,0,0
0.317321,0,0,0,0
0.318764,0,0,0,0
0.320291,0,0,0,0
0.321841,0,0,0,0
0.323436,0,0,0,0
0.324986,0,0,0,0
0.326540,0,0,0,0
0.328090,0,0,0,0
0.329653,0,0,0,0
0.331250,0,0,0,0
0.332802,0,0,0,0
0.334351,0,0,0,0
0.336095,0,0,0,0
0.337645,0,0,0,0
0.339242,0,0,0,0
0.340807,0,0,0,0
0.342358,0,0,0,0
0.343930,0,0,0,0
0.345480,0,0,0,0
0.347076,0,0,0,0
0.348629,0,0,0,0
0.350179,0,0,0,0
0.351748,0,0,0,0
0.353299,0,0,0,0
0.354895,0,0,0,0
0.356447,0,0,0,0
0.357997,0,0,0,0
0.359548,0,0,0,0
0.361099,0,0,0,0
0.362666,0,0,0,0
0.364264,0,0,0,0
0.365814,0,0,0,0
0.367365,0,0,0,0
0.368916,0,0,0,0
0.370469,0,0,0,0
0.372066,0,0,0,0
0.373630,0,0,0,0
0.375184,0,0,0,0
0.376734,0,0,0,0
0.378284,0,0,0,0
0.379842,0,0,0,0
0.381392,0,0,0,0
0.382945,0,0,0,0
0.384510,0,0,0,0
0.386060,0,0,0,0
0.387686,0,0,0,0
0.389236,0,0,0,0
0.390789,0,0,0,0
0.392341,0,0,0,0
0.393891,0,0,0,0
0.395500,0,0,0,0
0.397051,0,0,0,0
0.398605,0,0,0,0
0.400157,0,0,0,0
0.401707,0,0,0,0
0.403302,0,0,0,0
0.404854,0,0,0,0
0.406420,0,0,0,0
0.407971,0,0,0,0
0.409522,0,0,0,0
0.411119,0,0,0,0
0.412670,0,0,0,0
0.414220,0,0,0,0
0.415776,0,0,0,0
0.417340,0,0,0,0
0.418937,0,0,0,0
0.420489,0,0,0,0
0.422039,0,0,0,0
0.423660,0,0,0,0
0.425211,0,0,0,0
0.426763,0,0,0,0
0.428328,0,0,0,0
0.429878,0,0,0,0
0.431428,0,0,0,0
0.432981,0,0,0,0
0.434534,0,0,0,0
0.436129,0,0,0,0
0.437680,0,0,0,0
0.439244,0,0,0,0
0.440797,0,0,0,0
0.442346,0,0,0,0
0.443823,0,0,0,0
0.445214,0,0,0,0
0.446732,0,0,0,0
0.448282,0,0,0,0
0.449845,0,0,0,0
0.451438,0,0,0,0
0.452989,0,0,0,0
0.454541,0,0,0,0
0.456093,0,0,0,0
0.457643,0,0,0,0
0.459238,0,0,0,0
0.460804,0,0,0,0
0.462355,0,0,0,0
0.463929,0,0,0,0
0.465478,0,0,0,0
0.467075,0,0,0,0
0.468627,0,0,0,0
0.470177,0,0,0,0
0.471746,0,0,0,0
0.473296,0,0,0,0
0.474893,0,0,0,0
0.476445,0,0,0,0
0.477995,0,0,0,0
