elapsed_s,TSE_SETUP_CTRL_WORKING_CYCLE_L2,TSE_SETUP_FDP3_WORKING_CYCLE_L2,TSE_SETUP_FDP3_0_WORKING_CYCLE_L3,TSE_SETUP_FDP3_1_WORKING_CYCLE_L3
0.649526,0,0,0,0
0.651079,0,0,0,0
0.652633,0,0,0,0
0.654200,0,0,0,0
0.655750,0,0,0,0
0.657344,0,0,0,0
0.658897,0,0,0,0
0.660451,0,0,0,0
0.662004,0,0,0,0
0.663554,0,0,0,0
0.665162,0,0,0,0
0.666714,0,0,0,0
0.668263,0,0,0,0
0.669859,0,0,0,0
0.671408,0,0,0,0
0.673004,0,0,0,0
0.674556,0,0,0,0
0.676118,0,0,0,0
0.677671,0,0,0,0
0.679220,0,0,0,0
0.680817,0,0,0,0
0.682369,0,0,0,0
0.683918,0,0,0,0
0.685468,0,0,0,0
0.687032,0,0,0,0
0.688585,0,0,0,0
0.690180,0,0,0,0
0.691729,0,0,0,0
0.693280,0,0,0,0
0.694831,0,0,0,0
0.696383,0,0,0,0
0.697988,0,0,0,0
0.699538,0,0,0,0
0.701090,0,0,0,0
0.702677,0,0,0,0
0.704226,0,0,0,0
0.705782,0,0,0,0
0.707330,0,0,0,0
0.708896,0,0,0,0
0.710447,0,0,0,0
0.711997,0,0,0,0
0.713510,0,0,0,0
0.715029,0,0,0,0
0.716581,0,0,0,0
0.718132,0,0,0,0
0.719694,0,0,0,0
0.721287,0,0,0,0
0.722837,0,0,0,0
0.724390,0,0,0,0
0.725941,0,0,0,0
0.727489,0,0,0,0
0.729085,0,0,0,0
0.730650,0,0,0,0
0.732199,0,0,0,0
0.733754,0,0,0,0
0.735304,0,0,0,0
0.736900,0,0,0,0
0.738451,0,0,0,0
0.740000,0,0,0,0
0.741644,0,0,0,0
0.743191,0,0,0,0
0.744615,0,0,0,0
0.746171,0,0,0,0
0.747712,0,0,0,0
0.749141,0,0,0,0
0.750683,0,0,0,0
0.752106,0,0,0,0
0.753478,0,0,0,0
0.755264,0,0,0,0
0.757159,0,0,0,0
0.758553,0,0,0,0
0.759938,0,0,0,0
0.761363,0,0,0,0
0.762761,0,0,0,0
0.764147,0,0,0,0
0.765554,0,0,0,0
0.766940,0,0,0,0
0.768328,0,0,0,0
0.769747,0,0,0,0
0.771132,0,0,0,0
0.772518,0,0,0,0
0.773912,0,0,0,0
0.775424,0,0,0,0
0.777019,0,0,0,0
0.778569,0,0,0,0
0.780117,0,0,0,0
0.781669,0,0,0,0
0.783217,0,0,0,0
0.784826,0,0,0,0
0.786377,0,0,0,0
0.787833,0,0,0,0
0.789224,0,0,0,0
0.790615,0,0,0,0
0.792006,0,0,0,0
0.793480,0,0,0,0
0.794880,0,0,0,0
0.796350,0,0,0,0
0.797892,0,0,0,0
0.799433,0,0,0,0
0.800988,0,0,0,0
0.802381,0,0,0,0
0.803776,0,0,0,0
0.805181,0,0,0,0
0.806568,0,0,0,0
0.807954,0,0,0,0
0.809380,0,0,0,0
0.810895,0,0,0,0
0.812447,0,0,0,0
0.813998,0,0,0,0
0.815562,0,0,0,0
0.817158,0,0,0,0
0.818709,0,0,0,0
0.820259,0,0,0,0
0.821697,0,0,0,0
0.823222,0,0,0,0
0.824819,0,0,0,0
0.826385,0,0,0,0
0.827937,0,0,0,0
0.829361,0,0,0,0
0.830882,0,0,0,0
0.832436,0,0,0,0
0.834033,0,0,0,0
0.835584,0,0,0,0
0.837150,0,0,0,0
0.838702,0,0,0,0
0.840254,0,0,0,0
0.841670,0,0,0,0
0.843191,0,0,0,0
0.844745,0,0,0,0
0.846298,0,0,0,0
0.847861,0,0,0,0
0.849456,0,0,0,0
0.851009,0,0,0,0
0.852564,0,0,0,0
0.854116,0,0,0,0
0.855668,0,0,0,0
0.857263,0,0,0,0
0.858831,0,0,0,0
0.860386,0,0,0,0
0.861939,0,0,0,0
0.863496,0,0,0,0
0.865092,0,0,0,0
0.866646,0,0,0,0
0.868197,0,0,0,0
0.869767,0,0,0,0
0.871318,0,0,0,0
0.872915,0,0,0,0
0.874349,0,0,0,0
0.875768,0,0,0,0
0.877161,0,0,0,0
0.878549,0,0,0,0
0.879947,0,0,0,0
0.881335,0,0,0,0
0.882820,0,0,0,0
0.884369,0,0,0,0
0.885828,0,0,0,0
0.887206,0,0,0,0
0.888743,0,0,0,0
0.890694,0,0,0,0
0.892841,0,0,0,0
0.894225,0,0,0,0
0.895632,0,0,0,0
0.897048,0,0,0,0
0.898429,0,0,0,0
0.899808,0,0,0,0
0.901197,0,0,0,0
0.902578,0,0,0,0
0.903959,0,0,0,0
0.905373,0,0,0,0
0.906755,0,0,0,0
0.908134,0,0,0,0
0.909497,0,0,0,0
0.911011,0,0,0,0
0.912579,0,0,0,0
0.914176,0,0,0,0
0.915727,0,0,0,0
0.917279,0,0,0,0
0.918832,0,0,0,0
0.920385,0,0,0,0
0.921982,0,0,0,0
0.923547,0,0,0,0
0.925102,0,0,0,0
0.926655,0,0,0,0
0.928205,0,0,0,0
0.929756,0,0,0,0
0.931298,0,0,0,0
0.932719,0,0,0,0
0.934249,0,0,0,0
0.935798,0,0,0,0
0.937393,0,0,0,0
0.938945,0,0,0,0
0.940497,0,0,0,0
0.942047,0,0,0,0
0.943597,0,0,0,0
0.945205,0,0,0,0
0.946754,0,0,0,0
0.948175,0,0,0,0
0.949581,0,0,0,0
0.950965,0,0,0,0
0.952349,0,0,0,0
