elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.710927,0,0,0,0
0.712490,0,0,0,0
0.714041,0,0,0,0
0.715468,0,0,0,0
0.716990,0,0,0,0
0.718539,0,0,0,0
0.720087,0,0,0,0
0.721550,0,0,0,0
0.723092,0,0,0,0
0.724640,0,0,0,0
0.726236,0,0,0,0
0.727849,0,0,0,0
0.729349,0,0,0,0
0.730924,0,0,0,0
0.732473,0,0,0,0
0.734036,0,0,0,0
0.735585,0,0,0,0
0.737132,0,0,0,0
0.738681,0,0,0,0
0.740235,0,0,0,0
0.741784,0,0,0,0
0.743378,0,0,0,0
0.744939,0,0,0,0
0.746491,0,0,0,0
0.748040,0,0,0,0
0.749588,0,0,0,0
0.751140,0,0,0,0
0.752688,0,0,0,0
0.754239,0,0,0,0
0.755802,0,0,0,0
0.757350,0,0,0,0
0.758962,0,0,0,0
0.760510,0,0,0,0
0.762061,0,0,0,0
0.763610,0,0,0,0
0.765155,0,0,0,0
0.766756,0,0,0,0
0.769103,0,0,0,0
0.770570,0,0,0,0
0.771957,0,0,0,0
0.774085,0,0,0,0
0.775946,0,0,0,0
0.777841,0,0,0,0
0.779298,0,0,0,0
0.780704,0,0,0,0
0.782104,0,0,0,0
0.783487,0,0,0,0
0.784869,0,0,0,0
0.786252,0,0,0,0
0.787641,0,0,0,0
0.789043,0,0,0,0
0.790604,0,0,0,0
0.792155,0,0,0,0
0.793708,0,0,0,0
0.795260,0,0,0,0
0.796810,0,0,0,0
0.798362,0,0,0,0
0.799930,0,0,0,0
0.801480,0,0,0,0
0.803035,0,0,0,0
0.804585,0,0,0,0
0.806182,0,0,0,0
0.807734,0,0,0,0
0.809285,0,0,0,0
0.810722,0,0,0,0
0.812243,0,0,0,0
0.813797,0,0,0,0
0.815348,0,0,0,0
0.816899,0,0,0,0
0.818452,0,0,0,0
0.820004,0,0,0,0
0.821567,0,0,0,0
0.823124,0,0,0,0
0.824675,0,0,0,0
0.826229,0,0,0,0
0.827780,0,0,0,0
0.829330,0,0,0,0
0.830942,0,0,0,0
0.832507,0,0,0,0
0.834060,0,0,0,0
0.835612,0,0,0,0
0.837163,0,0,0,0
0.838759,0,0,0,0
0.840312,0,0,0,0
0.841866,0,0,0,0
0.843432,0,0,0,0
0.844980,0,0,0,0
0.846529,0,0,0,0
0.848079,0,0,0,0
0.849627,0,0,0,0
0.851043,0,0,0,0
0.852434,0,0,0,0
0.853960,0,0,0,0
0.855555,0,0,0,0
0.857104,0,0,0,0
0.858654,0,0,0,0
0.860204,0,0,0,0
0.861755,0,0,0,0
0.863305,0,0,0,0
0.864866,0,0,0,0
0.866418,0,0,0,0
0.867968,0,0,0,0
0.869517,0,0,0,0
0.871073,0,0,0,0
0.872621,0,0,0,0
0.874173,0,0,0,0
0.875737,0,0,0,0
0.877286,0,0,0,0
0.878836,0,0,0,0
0.880385,0,0,0,0
0.881935,0,0,0,0
0.883484,0,0,0,0
0.885033,0,0,0,0
0.886639,0,0,0,0
0.888190,0,0,0,0
0.889742,0,0,0,0
0.891291,0,0,0,0
0.892839,0,0,0,0
0.894391,0,0,0,0
0.895941,0,0,0,0
0.897503,0,0,0,0
0.898902,0,0,0,0
0.900422,0,0,0,0
0.901973,0,0,0,0
0.903568,0,0,0,0
0.905116,0,0,0,0
0.906666,0,0,0,0
0.908230,0,0,0,0
0.909782,0,0,0,0
0.911331,0,0,0,0
