elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.453066,0,0,0,0
0.454628,0,0,0,0
0.456174,0,0,0,0
0.457767,0,0,0,0
0.459315,0,0,0,0
0.460865,0,0,0,0
0.462413,0,0,0,0
0.463959,0,0,0,0
0.465567,0,0,0,0
0.467116,0,0,0,0
0.468664,0,0,0,0
0.470216,0,0,0,0
0.471763,0,0,0,0
0.473356,0,0,0,0
0.474903,0,0,0,0
0.476465,0,0,0,0
0.478074,0,0,0,0
0.479622,0,0,0,0
0.481172,0,0,0,0
0.482721,0,0,0,0
0.484268,0,0,0,0
0.485816,0,0,0,0
0.487380,0,0,0,0
0.488930,0,0,0,0
0.490521,0,0,0,0
0.492068,0,0,0,0
0.493618,0,0,0,0
0.495167,0,0,0,0
0.496713,0,0,0,0
0.498154,0,0,0,0
0.499670,0,0,0,0
0.501190,0,0,0,0
0.502766,0,0,0,0
0.504315,0,0,0,0
0.505782,0,0,0,0
0.507336,0,0,0,0
0.508901,0,0,0,0
0.510451,0,0,0,0
0.512000,0,0,0,0
0.513595,0,0,0,0
0.515144,0,0,0,0
0.516694,0,0,0,0
0.518247,0,0,0,0
0.519807,0,0,0,0
0.521395,0,0,0,0
0.522948,0,0,0,0
0.524494,0,0,0,0
0.526045,0,0,0,0
0.527592,0,0,0,0
0.529142,0,0,0,0
0.530704,0,0,0,0
0.532251,0,0,0,0
0.533799,0,0,0,0
0.535348,0,0,0,0
0.536898,0,0,0,0
0.538491,0,0,0,0
0.540038,0,0,0,0
0.541600,0,0,0,0
0.543148,0,0,0,0
0.544694,0,0,0,0
0.546248,0,0,0,0
0.547795,0,0,0,0
0.549343,0,0,0,0
0.550892,0,0,0,0
0.552453,0,0,0,0
0.553951,0,0,0,0
0.555468,0,0,0,0
0.557018,0,0,0,0
0.558568,0,0,0,0
0.560115,0,0,0,0
0.561707,0,0,0,0
0.563269,0,0,0,0
0.564820,0,0,0,0
0.566369,0,0,0,0
0.567915,0,0,0,0
0.569510,0,0,0,0
0.571058,0,0,0,0
0.572605,0,0,0,0
0.574181,0,0,0,0
0.575728,0,0,0,0
0.577321,0,0,0,0
0.578870,0,0,0,0
0.580416,0,0,0,0
0.581837,0,0,0,0
0.583354,0,0,0,0
0.584918,0,0,0,0
0.586510,0,0,0,0
0.588057,0,0,0,0
0.589608,0,0,0,0
0.591154,0,0,0,0
0.592713,0,0,0,0
0.594110,0,0,0,0
0.595522,0,0,0,0
0.597041,0,0,0,0
0.598592,0,0,0,0
0.600141,0,0,0,0
0.601588,0,0,0,0
0.603134,0,0,0,0
0.604683,0,0,0,0
0.606250,0,0,0,0
0.607798,0,0,0,0
0.609393,0,0,0,0
0.610943,0,0,0,0
0.612492,0,0,0,0
0.614046,0,0,0,0
0.615595,0,0,0,0
0.617160,0,0,0,0
0.618709,0,0,0,0
0.620258,0,0,0,0
0.621807,0,0,0,0
0.623358,0,0,0,0
0.624908,0,0,0,0
0.626503,0,0,0,0
0.628065,0,0,0,0
0.629616,0,0,0,0
0.631166,0,0,0,0
0.632715,0,0,0,0
0.634271,0,0,0,0
0.635820,0,0,0,0
0.637371,0,0,0,0
0.638935,0,0,0,0
0.640483,0,0,0,0
0.642128,0,0,0,0
0.643676,0,0,0,0
0.645226,0,0,0,0
0.646777,0,0,0,0
0.648326,0,0,0,0
0.649890,0,0,0,0
0.651441,0,0,0,0
0.652993,0,0,0,0
0.654544,0,0,0,0
0.656093,0,0,0,0
0.657687,0,0,0,0
0.659238,0,0,0,0
0.660804,0,0,0,0
0.662346,0,0,0,0
0.663886,0,0,0,0
0.665348,0,0,0,0
0.666865,0,0,0,0
0.668411,0,0,0,0
0.669960,0,0,0,0
0.671521,0,0,0,0
0.673072,0,0,0,0
0.674665,0,0,0,0
0.676211,0,0,0,0
0.677760,0,0,0,0
0.679308,0,0,0,0
0.680857,0,0,0,0
0.682459,0,0,0,0
0.684006,0,0,0,0
0.685555,0,0,0,0
0.687103,0,0,0,0
0.688651,0,0,0,0
0.690204,0,0,0,0
0.691751,0,0,0,0
0.693315,0,0,0,0
0.694863,0,0,0,0
0.696412,0,0,0,0
0.698004,0,0,0,0
0.699552,0,0,0,0
0.701101,0,0,0,0
0.702527,0,0,0,0
0.704064,0,0,0,0
0.705660,0,0,0,0
0.707211,0,0,0,0
0.708761,0,0,0,0
0.710243,0,0,0,0
0.711635,0,0,0,0
0.713152,0,0,0,0
0.714716,0,0,0,0
0.716265,0,0,0,0
0.717816,0,0,0,0
0.719366,0,0,0,0
0.720918,0,0,0,0
0.722512,0,0,0,0
0.724059,0,0,0,0
0.725624,0,0,0,0
0.727174,0,0,0,0
0.728723,0,0,0,0
0.730353,0,0,0,0
0.731902,0,0,0,0
0.733454,0,0,0,0
0.735004,0,0,0,0
0.736566,0,0,0,0
0.738122,0,0,0,0
0.739670,0,0,0,0
0.741222,0,0,0,0
0.742773,0,0,0,0
0.744322,0,0,0,0
0.745915,0,0,0,0
0.747480,0,0,0,0
0.749032,0,0,0,0
0.750583,0,0,0,0
0.752131,0,0,0,0
0.753725,0,0,0,0
0.755276,0,0,0,0
0.756827,0,0,0,0
0.758268,0,0,0,0
0.759789,0,0,0,0
0.761385,0,0,0,0
0.762935,0,0,0,0
0.764483,0,0,0,0
0.766132,0,0,0,0
0.767680,0,0,0,0
0.769289,0,0,0,0
0.770839,0,0,0,0
0.772388,0,0,0,0
0.773939,0,0,0,0
0.775491,0,0,0,0
0.777043,0,0,0,0
0.778638,0,0,0,0
0.780200,0,0,0,0
0.781750,0,0,0,0
0.783301,0,0,0,0
0.784853,0,0,0,0
0.786404,0,0,0,0
0.787953,0,0,0,0
0.789505,0,0,0,0
0.791068,0,0,0,0
0.792618,0,0,0,0
0.794194,0,0,0,0
0.795743,0,0,0,0
0.797293,0,0,0,0
0.798843,0,0,0,0
0.800391,0,0,0,0
0.801869,0,0,0,0
0.803389,0,0,0,0
0.804939,0,0,0,0
0.806490,0,0,0,0
0.808039,0,0,0,0
0.809635,0,0,0,0
0.811185,0,0,0,0
0.812747,0,0,0,0
0.814117,0,0,0,0
0.815510,0,0,0,0
0.817028,0,0,0,0
0.818623,0,0,0,0
0.820172,0,0,0,0
0.821722,0,0,0,0
0.823286,0,0,0,0
0.824835,0,0,0,0
0.826383,0,0,0,0
0.827931,0,0,0,0
0.829481,0,0,0,0
0.831029,0,0,0,0
0.832575,0,0,0,0
0.834143,0,0,0,0
0.835691,0,0,0,0
0.837240,0,0,0,0
0.838790,0,0,0,0
0.840337,0,0,0,0
0.841930,0,0,0,0
0.843479,0,0,0,0
0.845043,0,0,0,0
0.846592,0,0,0,0
0.848138,0,0,0,0
0.849731,0,0,0,0
0.851280,0,0,0,0
0.852830,0,0,0,0
0.854378,0,0,0,0
0.855938,0,0,0,0
0.857531,0,0,0,0
0.859055,0,0,0,0
0.860539,0,0,0,0
0.862093,0,0,0,0
0.863640,0,0,0,0
0.865241,0,0,0,0
0.866803,0,0,0,0
0.868351,0,0,0,0
0.869899,0,0,0,0
0.871449,0,0,0,0
0.872999,0,0,0,0
0.874594,0,0,0,0
0.876141,0,0,0,0
0.877703,0,0,0,0
0.879252,0,0,0,0
0.880803,0,0,0,0
0.882351,0,0,0,0
0.883899,0,0,0,0
0.885449,0,0,0,0
0.886998,0,0,0,0
0.888560,0,0,0,0
0.890113,0,0,0,0
0.891661,0,0,0,0
0.893210,0,0,0,0
0.894759,0,0,0,0
0.896305,0,0,0,0
0.897908,0,0,0,0
0.899605,0,0,0,0
0.901001,0,0,0,0
0.902393,0,0,0,0
0.903912,0,0,0,0
0.905507,0,0,0,0
0.907056,0,0,0,0
0.908604,0,0,0,0
0.910125,0,0,0,0
0.911514,0,0,0,0
0.912905,0,0,0,0
0.914468,0,0,0,0
0.916019,0,0,0,0
0.917573,0,0,0,0
0.919124,0,0,0,0
0.920687,0,0,0,0
0.922244,0,0,0,0
0.923793,0,0,0,0
0.925345,0,0,0,0
0.926896,0,0,0,0
0.928445,0,0,0,0
0.930058,0,0,0,0
0.931621,0,0,0,0
0.933175,0,0,0,0
0.934727,0,0,0,0
0.936275,0,0,0,0
0.937871,0,0,0,0
0.939422,0,0,0,0
0.940975,0,0,0,0
0.942539,0,0,0,0
0.944089,0,0,0,0
0.945684,0,0,0,0
0.947236,0,0,0,0
0.948869,0,0,0,0
0.950356,0,0,0,0
0.951749,0,0,0,0
0.953321,0,0,0,0
0.954873,0,0,0,0
0.956423,0,0,0,0
0.957848,0,0,0,0
0.959227,0,0,0,0
0.960627,0,0,0,0
0.962033,0,0,0,0
0.963453,0,0,0,0
0.964842,0,0,0,0
0.966229,0,0,0,0
0.967616,0,0,0,0
0.969004,0,0,0,0
0.970392,0,0,0,0
0.971907,0,0,0,0
0.973461,0,0,0,0
0.975440,0,0,0,0
0.976844,0,0,0,0
0.978236,0,0,0,0
0.979624,0,0,0,0
0.981013,0,0,0,0
0.982400,0,0,0,0
0.983786,0,0,0,0
0.985237,0,0,0,0
0.986745,0,0,0,0
0.988140,0,0,0,0
0.989534,0,0,0,0
0.990923,0,0,0,0
0.992310,0,0,0,0
0.993738,0,0,0,0
0.995126,0,0,0,0
0.996635,0,0,0,0
0.998206,0,0,0,0
0.999755,0,0,0,0
1.001351,0,0,0,0
1.002902,0,0,0,0
1.004452,0,0,0,0
1.006081,0,0,0,0
1.007631,0,0,0,0
1.009241,0,0,0,0
1.010793,0,0,0,0
1.012343,0,0,0,0
1.013894,0,0,0,0
1.015436,0,0,0,0
1.017045,0,0,0,0
1.018699,0,0,0,0
1.020263,0,0,0,0
1.021814,0,0,0,0
1.023365,0,0,0,0
1.024918,0,0,0,0
1.026515,0,0,0,0
1.028062,0,0,0,0
1.029610,0,0,0,0
1.031048,0,0,0,0
1.032437,0,0,0,0
1.033863,0,0,0,0
1.035248,0,0,0,0
1.036632,0,0,0,0
1.038140,0,0,0,0
1.039526,0,0,0,0
1.040914,0,0,0,0
1.042345,0,0,0,0
1.043731,0,0,0,0
1.045116,0,0,0,0
1.046630,0,0,0,0
1.048178,0,0,0,0
1.049773,0,0,0,0
1.051324,0,0,0,0
1.052890,0,0,0,0
1.054439,0,0,0,0
1.055988,0,0,0,0
1.057583,0,0,0,0
1.059134,0,0,0,0
1.060683,0,0,0,0
1.062237,0,0,0,0
1.063798,0,0,0,0
1.065393,0,0,0,0
1.066944,0,0,0,0
1.068492,0,0,0,0
1.070046,0,0,0,0
1.071594,0,0,0,0
1.073145,0,0,0,0
1.074584,0,0,0,0
1.076096,0,0,0,0
1.077517,0,0,0,0
1.079037,0,0,0,0
1.080586,0,0,0,0
1.082142,0,0,0,0
1.083692,0,0,0,0
1.085133,0,0,0,0
