elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.369864,0,0,0,0,0,0,0,0,0,0,0,0
0.371510,0,0,0,0,0,0,0,0,0,0,0,0
0.373102,0,0,0,0,0,0,0,0,0,0,0,0
0.374578,0,0,0,0,0,0,0,0,0,0,0,0
0.376171,0,0,0,0,0,0,0,0,0,0,0,0
0.377768,0,0,0,0,0,0,0,0,0,0,0,0
0.379361,0,0,0,0,0,0,0,0,0,0,0,0
0.380955,0,0,0,0,0,0,0,0,0,0,0,0
0.382565,0,0,0,0,0,0,0,0,0,0,0,0
0.384149,0,0,0,0,0,0,0,0,0,0,0,0
0.385732,0,0,0,0,0,0,0,0,0,0,0,0
0.387238,0,0,0,0,0,0,0,0,0,0,0,0
0.388801,0,0,0,0,0,0,0,0,0,0,0,0
0.390391,0,0,0,0,0,0,0,0,0,0,0,0
0.391987,0,0,0,0,0,0,0,0,0,0,0,0
0.394065,0,0,0,0,0,0,0,0,0,0,0,0
0.395606,0,0,0,0,0,0,0,0,0,0,0,0
0.397021,0,0,0,0,0,0,0,0,0,0,0,0
0.398489,0,0,0,0,0,0,0,0,0,0,0,0
0.399923,0,0,0,0,0,0,0,0,0,0,0,0
0.401353,0,0,0,0,0,0,0,0,0,0,0,0
0.402783,0,0,0,0,0,0,0,0,0,0,0,0
0.404265,0,0,0,0,0,0,0,0,0,0,0,0
0.405799,0,0,0,0,0,0,0,0,0,0,0,0
0.407390,0,0,0,0,0,0,0,0,0,0,0,0
0.408981,0,0,0,0,0,0,0,0,0,0,0,0
