elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.357418,0,0,104,0
0.358808,0,0,104,0
0.360187,0,0,104,0
0.361568,0,0,104,0
0.366251,0,0,104,0
0.367675,0,0,104,0
0.369054,0,0,104,0
0.370435,0,0,104,0
0.371947,0,0,104,0
0.373336,0,0,104,0
0.374677,0,0,104,0
0.376018,0,0,104,0
0.377357,0,0,104,0
0.378733,0,0,104,0
0.380115,0,0,104,0
0.381495,0,0,104,0
0.382877,0,0,104,0
0.384391,0,0,104,0
0.385982,0,0,104,0
0.387567,0,0,104,0
0.389293,0,0,104,0
0.390684,0,0,104,0
0.392072,0,0,104,0
0.393458,0,0,104,0
0.394887,0,0,104,0
0.396272,0,0,104,0
0.398485,0,0,104,0
0.400019,0,0,104,0
0.401410,0,0,104,0
0.402796,0,0,104,0
0.404176,0,0,104,0
0.405555,0,0,104,0
0.406937,0,0,104,0
0.408323,0,0,104,0
0.409836,0,0,104,0
0.411449,0,0,104,0
0.412998,0,0,104,0
0.414548,0,0,104,0
0.416099,0,0,104,0
0.417646,0,0,104,0
0.419242,0,0,104,0
0.420793,0,0,104,0
0.422358,0,0,104,0
0.423908,0,0,104,0
0.425456,0,0,104,0
0.427008,0,0,104,0
0.428557,0,0,104,0
0.430105,0,0,104,0
0.431660,0,0,104,0
0.433098,0,0,104,0
0.434664,0,0,104,0
0.436214,0,0,104,0
0.437762,0,0,104,0
0.439310,0,0,104,0
0.440861,0,0,104,0
0.442454,0,0,104,0
0.444019,0,0,104,0
0.445567,0,0,104,0
0.447116,0,0,104,0
0.448657,0,0,104,0
0.450318,0,0,104,0
0.451702,0,0,104,0
0.453108,0,0,104,0
0.454644,0,0,104,0
0.456195,0,0,104,0
0.457745,0,0,104,0
0.459340,0,0,104,0
0.460952,0,0,104,0
0.462360,0,0,104,0
0.467423,0,0,104,0
0.468801,0,0,104,0
0.470267,0,0,104,0
0.471644,0,0,104,0
0.472982,0,0,104,0
0.474330,0,0,104,0
0.475732,0,0,104,0
0.477121,0,0,104,0
0.478521,0,0,104,0
0.480037,0,0,104,0
0.481585,0,0,104,0
0.483136,0,0,104,0
0.484678,0,0,104,0
0.486331,0,0,104,0
0.487880,0,0,104,0
0.489442,0,0,104,0
0.490995,0,0,104,0
0.492545,0,0,104,0
0.494093,0,0,104,0
0.495649,0,0,104,0
0.497198,0,0,104,0
0.498752,0,0,104,0
0.500315,0,0,104,0
0.501864,0,0,104,0
0.503362,0,0,104,0
0.504882,0,0,104,0
0.506475,0,0,104,0
0.508026,0,0,104,0
0.509575,0,0,104,0
0.511139,0,0,104,0
0.512679,0,0,104,0
0.514327,0,0,104,0
0.515880,0,0,104,0
0.517466,0,0,104,0
0.519017,0,0,104,0
0.520565,0,0,104,0
0.522233,0,0,104,0
0.523848,0,0,104,0
0.525395,0,0,104,0
0.526947,0,0,104,0
0.528496,0,0,104,0
0.530085,0,0,104,0
0.531639,0,0,104,0
0.533199,0,0,104,0
0.534749,0,0,104,0
0.536298,0,0,104,0
0.537845,0,0,104,0
0.539445,0,0,104,0
0.540991,0,0,104,0
0.542540,0,0,104,0
0.544103,0,0,104,0
0.545651,0,0,104,0
0.547244,0,0,104,0
0.548792,0,0,104,0
0.550341,0,0,104,0
0.551891,0,0,104,0
0.553438,0,0,104,0
0.554876,0,0,104,0
0.556323,0,0,104,0
0.557872,0,0,104,0
0.559382,0,0,104,0
0.560900,0,0,104,0
0.562342,0,0,104,0
0.563718,0,0,104,0
0.565084,0,0,104,0
0.566472,0,0,104,0
0.567804,0,0,104,0
0.569136,0,0,104,0
0.570520,0,0,104,0
0.571831,0,0,104,0
0.573138,0,0,104,0
0.574495,0,0,104,0
0.575810,0,0,104,0
0.577116,0,0,104,0
0.578467,0,0,104,0
0.579759,0,0,104,0
0.581049,0,0,104,0
0.582390,0,0,104,0
0.583682,0,0,104,0
0.584972,0,0,104,0
0.586315,0,0,104,0
0.587674,0,0,104,0
0.589034,0,0,104,0
0.590334,0,0,104,0
0.591694,0,0,104,0
0.593053,0,0,104,0
0.594396,0,0,104,0
0.595811,0,0,104,0
0.597218,0,0,104,0
0.598612,0,0,104,0
0.600006,0,0,104,0
0.601386,0,0,104,0
0.603443,0,0,104,0
