elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.275854,0,0,0,0,0,0,0,0,0,0,471188,470998,0,0
0.277288,0,0,0,0,0,0,0,0,0,0,471569,471376,0,0
0.278682,0,0,0,0,0,0,0,0,0,0,470299,470131,0,0
0.280073,0,0,0,0,0,0,0,0,0,0,471243,471051,0,0
0.281463,0,0,0,0,0,0,0,0,0,0,471123,470916,0,0
0.282866,0,0,0,0,0,0,0,0,0,0,480458,480264,0,0
0.284257,0,0,0,0,0,0,0,0,0,0,473341,473177,0,0
0.285770,0,0,0,0,0,0,0,0,0,0,531129,530917,0,0
0.287295,0,0,0,0,0,0,0,0,0,0,477328,477123,0,0
0.288742,0,0,0,0,0,0,0,0,0,0,449146,448952,0,0
0.290183,0,0,0,0,0,0,0,0,0,0,473950,473770,0,0
0.291627,0,0,0,0,0,0,0,0,0,0,458612,458407,0,0
0.293118,0,0,0,0,0,0,0,0,0,0,472943,472766,0,0
0.294560,0,0,0,0,0,0,0,0,0,0,483018,482822,0,0
0.296000,0,0,0,0,0,0,0,0,0,0,458161,457955,0,0
0.297441,0,0,0,0,0,0,0,0,0,0,435944,435752,0,0
0.298993,0,0,0,0,0,0,0,0,0,0,496524,496347,0,0
0.300597,0,0,0,0,0,0,0,0,0,0,496487,496288,0,0
0.302203,0,0,0,0,0,0,0,0,0,0,487600,487412,0,0
0.303823,0,0,0,0,0,0,0,0,0,0,486038,485841,0,0
0.305427,0,0,0,0,0,0,0,0,0,0,485786,485600,0,0
0.307032,0,0,0,0,0,0,0,0,0,0,485173,484945,0,0
0.308638,0,0,0,0,0,0,0,0,0,0,533367,533189,0,0
0.310288,0,0,0,0,0,0,0,0,0,0,487007,486901,0,0
0.311894,0,0,0,0,0,0,0,0,0,0,485979,485710,0,0
0.313497,0,0,0,0,0,0,0,0,0,0,483671,483468,0,0
0.315115,0,0,0,0,0,0,0,0,0,0,485414,485237,0,0
0.316721,0,0,0,0,0,0,0,0,0,0,533559,533456,0,0
0.318371,0,0,0,0,0,0,0,0,0,0,485591,485304,0,0
0.319978,0,0,0,0,0,0,0,0,0,0,485873,485668,0,0
0.321582,0,0,0,0,0,0,0,0,0,0,484693,484518,0,0
0.323139,0,0,0,0,0,0,0,0,0,0,472469,472259,0,0
0.324715,0,0,0,0,0,0,0,0,0,0,532695,532518,0,0
0.326256,0,0,0,0,0,0,0,0,0,0,445810,445375,0,0
0.327832,0,0,0,0,0,0,0,0,0,0,463923,463733,0,0
0.329435,0,0,0,0,0,0,0,0,0,0,465408,465223,0,0
0.330914,0,0,0,0,0,0,0,0,0,0,453379,453198,0,0
0.332491,0,0,0,0,0,0,0,0,0,0,464064,463846,0,0
0.334100,0,0,0,0,0,0,0,0,0,0,464499,464410,0,0
0.335707,0,0,0,0,0,0,0,0,0,0,473332,473134,0,0
0.337324,0,0,0,0,0,0,0,0,0,0,465066,464795,0,0
0.338929,0,0,0,0,0,0,0,0,0,0,466598,466434,0,0
0.340535,0,0,0,0,0,0,0,0,0,0,465338,465151,0,0
0.342143,0,0,0,0,0,0,0,0,0,0,465303,465122,0,0
0.343749,0,0,0,0,0,0,0,0,0,0,464406,464204,0,0
0.345353,0,0,0,0,0,0,0,0,0,0,464780,464608,0,0
0.346959,0,0,0,0,0,0,0,0,0,0,465851,465665,0,0
0.348577,0,0,0,0,0,0,0,0,0,0,464606,464421,0,0
0.350185,0,0,0,0,0,0,0,0,0,0,464261,464057,0,0
0.351790,0,0,0,0,0,0,0,0,0,0,466022,465818,0,0
0.353395,0,0,0,0,0,0,0,0,0,0,464106,463947,0,0
0.355000,0,0,0,0,0,0,0,0,0,0,460180,459999,0,0
0.356596,0,0,0,0,0,0,0,0,0,0,459569,459377,0,0
0.358251,0,0,0,0,0,0,0,0,0,0,464465,464260,0,0
0.359866,0,0,0,0,0,0,0,0,0,0,464655,464493,0,0
0.361469,0,0,0,0,0,0,0,0,0,0,466253,466033,0,0
0.362997,0,0,0,0,0,0,0,0,0,0,458675,458489,0,0
0.364453,0,0,0,0,0,0,0,0,0,0,453714,453543,0,0
0.365940,0,0,0,0,0,0,0,0,0,0,464898,464727,0,0
0.367393,0,0,0,0,0,0,0,0,0,0,433233,433014,0,0
0.368826,0,0,0,0,0,0,0,0,0,0,447276,447107,0,0
0.370268,0,0,0,0,0,0,0,0,0,0,445595,445409,0,0
0.371702,0,0,0,0,0,0,0,0,0,0,425684,425539,0,0
0.373184,0,0,0,0,0,0,0,0,0,0,429864,429257,0,0
0.374589,0,0,0,0,0,0,0,0,0,0,427986,427800,0,0
0.375993,0,0,0,0,0,0,0,0,0,0,428680,428495,0,0
0.377395,0,0,0,0,0,0,0,0,0,0,438069,437881,0,0
0.378797,0,0,0,0,0,0,0,0,0,0,428544,428374,0,0
0.380202,0,0,0,0,0,0,0,0,0,0,427116,426914,0,0
