elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.226183,0,1598,467339,131,0,0,0,0,0,0,85,0,0,0
0.227693,0,1792,469599,132,0,0,0,0,0,0,87,0,0,0
0.229137,0,1622,448264,137,0,0,0,0,0,0,84,0,0,0
0.230696,0,1628,564568,133,0,0,0,0,0,0,86,0,0,0
0.232262,0,1638,627268,133,0,0,0,0,0,0,87,0,0,0
0.233892,0,1612,468280,132,0,0,0,0,0,0,86,0,0,0
0.235370,0,1592,542658,132,0,0,0,0,0,0,85,0,0,0
0.237073,0,1632,432671,137,0,0,0,0,0,0,87,0,0,0
0.238562,0,1592,446781,132,0,0,0,0,0,0,84,0,0,0
0.239999,0,1764,424983,132,0,0,0,0,0,0,87,0,0,0
0.241455,0,13025,729319,133,135,0,0,0,0,128,142,0,0,0
0.242924,0,1715,449940,133,0,0,0,0,0,0,85,0,0,0
0.244499,0,1595,623896,132,0,0,0,0,0,0,86,0,0,0
0.246136,0,1671,488290,132,0,0,0,0,0,0,85,0,0,0
0.247614,0,1638,426057,132,0,0,0,0,0,0,87,0,0,0
0.249054,0,1636,431700,133,0,0,0,0,0,0,84,0,0,0
0.250490,0,1587,426009,133,0,0,0,0,0,0,84,0,0,0
0.252002,0,18998,808623,139,8,229,51,0,0,134,147,0,0,0
0.253473,0,1850,471633,170,0,0,0,0,0,0,88,0,0,0
0.254957,0,1651,467496,138,0,0,0,0,0,0,90,0,0,0
0.256408,0,1650,467671,137,0,0,0,0,0,0,89,0,0,0
0.257849,0,1702,450642,161,0,0,0,0,0,0,85,0,0,0
0.259288,0,1652,449891,139,0,0,0,0,0,0,89,0,0,0
0.260731,0,1655,483949,139,0,0,0,0,0,0,85,0,0,0
0.262170,0,1848,502695,138,0,0,0,0,0,0,88,0,0,0
0.263636,0,1657,461425,138,0,0,0,0,0,0,88,0,0,0
0.265068,0,1656,449728,139,0,0,0,0,0,0,85,0,0,0
0.266524,0,1649,465029,138,0,0,0,0,0,0,88,0,0,0
0.267994,0,1719,463481,138,0,0,0,0,0,0,89,0,0,0
0.269425,0,1670,442735,139,0,0,0,0,0,0,88,0,0,0
0.270900,0,1822,461500,220,0,0,0,0,0,0,86,0,0,0
0.272331,0,1743,443528,137,0,0,0,0,0,0,88,0,0,0
0.273768,0,1655,449667,202,0,0,0,0,0,0,89,0,0,0
0.275202,0,1654,548768,137,0,0,0,0,0,0,90,0,0,0
0.276708,0,1653,502129,136,0,0,0,0,0,0,88,0,0,0
0.278168,0,1656,488140,137,0,0,0,0,0,0,88,0,0,0
0.279643,0,1658,447580,137,0,0,0,0,0,0,85,0,0,0
0.281077,0,1653,461393,137,0,0,0,0,0,0,85,0,0,0
0.282510,0,1658,462902,137,0,0,0,0,0,0,86,0,0,0
0.283944,0,1654,446174,138,0,0,0,0,0,0,88,0,0,0
0.285379,0,1657,565082,136,0,0,0,0,0,0,89,0,0,0
0.287681,0,1664,478901,136,0,0,0,0,0,0,88,0,0,0
0.289282,0,1767,476918,137,0,0,0,0,0,0,85,0,0,0
0.290883,0,1653,476991,137,0,0,0,0,0,0,87,0,0,0
0.292362,0,1649,467386,137,0,0,0,0,0,0,88,0,0,0
0.293936,0,1653,477440,136,0,0,0,0,0,0,86,0,0,0
0.295540,0,1704,479930,137,0,0,0,0,0,0,88,0,0,0
0.297157,0,1643,478147,137,0,0,0,0,0,0,87,0,0,0
0.298761,0,1658,479237,137,0,0,0,0,0,0,85,0,0,0
0.300365,0,1653,479688,138,0,0,0,0,0,0,87,0,0,0
0.301970,0,1771,478093,137,0,0,0,0,0,0,88,0,0,0
0.303575,0,1738,483020,137,0,0,0,0,0,0,88,0,0,0
0.305180,0,1650,478625,137,0,0,0,0,0,0,86,0,0,0
0.306784,0,1650,477753,137,0,0,0,0,0,0,88,0,0,0
0.308278,0,1658,465682,137,0,0,0,0,0,0,88,0,0,0
0.309854,0,1723,476346,137,0,0,0,0,0,0,87,0,0,0
0.311462,0,1647,479980,137,0,0,0,0,0,0,90,0,0,0
0.313068,0,1643,477326,136,0,0,0,0,0,0,85,0,0,0
0.314672,0,1650,488859,137,0,0,0,0,0,0,87,0,0,0
0.316277,0,1655,488256,136,0,0,0,0,0,0,88,0,0,0
0.317883,0,1656,477457,136,0,0,0,0,0,0,85,0,0,0
0.319504,0,1655,499154,137,0,0,0,0,0,0,89,0,0,0
0.321126,0,1656,476318,136,0,0,0,0,0,0,85,0,0,0
0.322730,0,1656,478397,138,0,0,0,0,0,0,87,0,0,0
0.324333,0,1644,478528,136,0,0,0,0,0,0,87,0,0,0
0.325939,0,1648,487795,136,0,0,0,0,0,0,88,0,0,0
0.327547,0,1654,477914,137,0,0,0,0,0,0,88,0,0,0
0.329152,0,1653,478085,137,0,0,0,0,0,0,89,0,0,0
0.330769,0,1651,476978,136,0,0,0,0,0,0,90,0,0,0
