elapsed_s,HLSQ_BV_SP_CCTX_ACTIVE_CNT,HLSQ_VS_SP_SCTX_ACTIVE_CNT,HLSQ_FS_SP_SCTX_ACTIVE_CNT,HLSQ_BV_SP_SCTX_ACTIVE_CNT,HLSQ_VS_SP_CTX_ALIVE_CYCLE,HLSQ_FS_SP_CTX_ALIVE_CYCLE
0.755743,0,0,0,0,0,0
0.757159,0,0,0,0,0,0
0.758685,0,0,0,0,0,0
0.760245,0,0,0,0,0,0
0.761690,0,0,0,0,0,0
0.763101,0,0,0,0,0,0
0.764504,0,0,0,0,0,0
0.765903,0,0,0,0,0,0
0.767312,0,0,0,0,0,0
0.768713,0,0,0,0,0,0
0.770105,0,0,0,0,0,0
0.771620,0,0,0,0,0,0
0.773089,0,0,0,0,0,0
0.774620,0,0,0,0,0,0
0.776179,0,0,0,0,0,0
0.777756,0,0,0,0,0,0
0.779315,0,0,0,0,0,0
0.780921,0,0,0,0,0,0
0.782481,0,0,0,0,0,0
0.784040,0,0,0,0,0,0
0.785662,0,0,0,0,0,0
0.787222,0,0,0,0,0,0
0.788840,0,0,0,0,0,0
0.790401,0,0,0,0,0,0
0.791960,0,0,0,0,0,0
0.793520,0,0,0,0,0,0
0.795081,0,0,0,0,0,0
0.796643,0,0,0,0,0,0
0.798248,0,0,0,0,0,0
0.799821,0,0,0,0,0,0
0.801382,0,0,0,0,0,0
0.802942,0,0,0,0,0,0
0.804504,0,0,0,0,0,0
0.806107,0,0,0,0,0,0
0.807666,0,0,0,0,0,0
0.809228,0,0,0,0,0,0
0.810794,0,0,0,0,0,0
0.812343,0,0,0,0,0,0
0.813896,0,0,0,0,0,0
0.815297,0,0,0,0,0,0
0.816824,0,0,0,0,0,0
0.818383,0,0,0,0,0,0
0.819939,0,0,0,0,0,0
0.821553,0,0,0,0,0,0
0.823112,0,0,0,0,0,0
0.824672,0,0,0,0,0,0
0.826231,0,0,0,0,0,0
0.827788,0,0,0,0,0,0
0.829391,0,0,0,0,0,0
0.830949,0,0,0,0,0,0
0.832522,0,0,0,0,0,0
0.834080,0,0,0,0,0,0
0.835637,0,0,0,0,0,0
0.837240,0,0,0,0,0,0
0.838798,0,0,0,0,0,0
0.840356,0,0,0,0,0,0
0.841962,0,0,0,0,0,0
0.843530,0,0,0,0,0,0
0.845134,0,0,0,0,0,0
0.846693,0,0,0,0,0,0
0.848250,0,0,0,0,0,0
0.849812,0,0,0,0,0,0
0.851369,0,0,0,0,0,0
0.852971,0,0,0,0,0,0
0.854543,0,0,0,0,0,0
0.856102,0,0,0,0,0,0
0.857756,0,0,0,0,0,0
0.859313,0,0,0,0,0,0
0.860917,0,0,0,0,0,0
0.862477,0,0,0,0,0,0
0.864034,0,0,0,0,0,0
0.865667,0,0,0,0,0,0
0.867106,0,0,0,0,0,0
0.868642,0,0,0,0,0,0
0.870247,0,0,0,0,0,0
0.871806,0,0,0,0,0,0
0.873366,0,0,0,0,0,0
0.874927,0,0,0,0,0,0
0.876502,0,0,0,0,0,0
0.878107,0,0,0,0,0,0
0.879666,0,0,0,0,0,0
0.881227,0,0,0,0,0,0
0.882787,0,0,0,0,0,0
0.884345,0,0,0,0,0,0
0.885953,0,0,0,0,0,0
