elapsed_s,HLSQ_STALL_CYCLES_VPC_BE,HLSQ_RESERVED_19,HLSQ_RESERVED_20,HLSQ_VSBR_STALL_CYCLES,HLSQ_FS_STALL_CYCLES,HLSQ_LPAC_STALL_CYCLES
0.764660,0,0,0,0,0,0
0.766057,0,0,0,0,0,0
0.767452,0,0,0,0,0,0
0.768997,0,0,0,0,0,0
0.770556,0,0,0,0,0,0
0.772118,0,0,0,0,0,0
0.773678,0,0,0,0,0,0
0.775238,0,0,0,0,0,0
0.776799,0,0,0,0,0,0
0.778361,0,0,0,0,0,0
0.779935,0,0,0,0,0,0
0.781496,0,0,0,0,0,0
0.783052,0,0,0,0,0,0
0.784655,0,0,0,0,0,0
0.786215,0,0,0,0,0,0
0.787777,0,0,0,0,0,0
0.789337,0,0,0,0,0,0
0.790910,0,0,0,0,0,0
0.792473,0,0,0,0,0,0
0.794033,0,0,0,0,0,0
0.795592,0,0,0,0,0,0
0.797157,0,0,0,0,0,0
0.798716,0,0,0,0,0,0
0.800321,0,0,0,0,0,0
0.801894,0,0,0,0,0,0
0.803298,0,0,0,0,0,0
0.804710,0,0,0,0,0,0
0.806238,0,0,0,0,0,0
0.807803,0,0,0,0,0,0
0.809365,0,0,0,0,0,0
0.810925,0,0,0,0,0,0
0.812501,0,0,0,0,0,0
0.814053,0,0,0,0,0,0
0.815605,0,0,0,0,0,0
0.817119,0,0,0,0,0,0
0.818521,0,0,0,0,0,0
0.820110,0,0,0,0,0,0
0.821457,0,0,0,0,0,0
0.822931,0,0,0,0,0,0
0.824336,0,0,0,0,0,0
0.825740,0,0,0,0,0,0
0.827137,0,0,0,0,0,0
0.828536,0,0,0,0,0,0
0.829946,0,0,0,0,0,0
0.831470,0,0,0,0,0,0
0.833034,0,0,0,0,0,0
0.834607,0,0,0,0,0,0
0.836168,0,0,0,0,0,0
0.837729,0,0,0,0,0,0
0.839289,0,0,0,0,0,0
0.840849,0,0,0,0,0,0
0.842660,0,0,0,0,0,0
0.844225,0,0,0,0,0,0
