elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.759181,0,104,0,0,0,0
0.760744,0,104,0,0,0,0
0.762309,0,104,0,0,0,0
0.763873,0,104,0,0,0,0
0.765447,0,104,0,0,0,0
0.767010,0,104,0,0,0,0
0.768573,0,104,0,0,0,0
0.770137,0,104,0,0,0,0
0.771744,0,104,0,0,0,0
0.773305,0,104,0,0,0,0
0.774867,0,104,0,0,0,0
0.776435,0,104,0,0,0,0
0.778102,0,104,0,0,0,0
0.779663,0,104,0,0,0,0
0.781224,0,104,0,0,0,0
0.782786,0,104,0,0,0,0
0.784349,0,104,0,0,0,0
0.785913,0,104,0,0,0,0
0.787530,0,104,0,0,0,0
0.789092,0,104,0,0,0,0
0.790655,0,104,0,0,0,0
0.792219,0,104,0,0,0,0
0.793781,0,104,0,0,0,0
0.795348,0,104,0,0,0,0
0.796910,0,104,0,0,0,0
0.798488,0,104,0,0,0,0
0.800051,0,104,0,0,0,0
0.801612,0,104,0,0,0,0
0.803181,0,104,0,0,0,0
0.804743,0,104,0,0,0,0
0.806307,0,104,0,0,0,0
0.807870,0,104,0,0,0,0
0.809445,0,104,0,0,0,0
0.811043,0,104,0,0,0,0
0.812605,0,104,0,0,0,0
0.814169,0,104,0,0,0,0
0.815732,0,104,0,0,0,0
0.817294,0,104,0,0,0,0
0.818902,0,104,0,0,0,0
0.820478,0,104,0,0,0,0
0.822041,0,104,0,0,0,0
0.823601,0,104,0,0,0,0
0.825161,0,104,0,0,0,0
0.826723,0,104,0,0,0,0
0.828286,0,104,0,0,0,0
0.829845,0,104,0,0,0,0
0.831350,0,104,0,0,0,0
0.832753,0,104,0,0,0,0
0.834327,0,104,0,0,0,0
0.835891,0,104,0,0,0,0
0.837453,0,104,0,0,0,0
0.839015,0,104,0,0,0,0
0.840579,0,104,0,0,0,0
0.842158,0,104,0,0,0,0
0.843721,0,104,0,0,0,0
0.845283,0,104,0,0,0,0
0.846846,0,104,0,0,0,0
0.848409,0,104,0,0,0,0
0.849972,0,104,0,0,0,0
0.851581,0,104,0,0,0,0
0.853155,0,104,0,0,0,0
0.854721,0,104,0,0,0,0
0.856284,0,104,0,0,0,0
0.857844,0,104,0,0,0,0
0.859427,0,104,0,0,0,0
0.860989,0,104,0,0,0,0
0.862553,0,104,0,0,0,0
0.864129,0,104,0,0,0,0
0.865691,0,104,0,0,0,0
0.867256,0,104,0,0,0,0
0.868817,0,104,0,0,0,0
0.870382,0,104,0,0,0,0
0.871944,0,104,0,0,0,0
0.873505,0,104,0,0,0,0
0.875145,0,104,0,0,0,0
0.876709,0,104,0,0,0,0
0.878273,0,104,0,0,0,0
0.879826,0,104,0,0,0,0
0.881377,0,104,0,0,0,0
0.882854,0,104,0,0,0,0
0.884388,0,104,0,0,0,0
0.885965,0,104,0,0,0,0
0.887528,0,104,0,0,0,0
0.889090,0,104,0,0,0,0
0.890655,0,104,0,0,0,0
0.892217,0,104,0,0,0,0
0.893778,0,104,0,0,0,0
0.895347,0,104,0,0,0,0
0.896920,0,104,0,0,0,0
0.898529,0,104,0,0,0,0
0.900092,0,104,0,0,0,0
0.901654,0,104,0,0,0,0
0.903216,0,104,0,0,0,0
0.904767,0,104,0,0,0,0
0.906197,0,104,0,0,0,0
0.907738,0,104,0,0,0,0
0.909299,0,104,0,0,0,0
0.910860,0,104,0,0,0,0
0.912422,0,104,0,0,0,0
0.913985,0,104,0,0,0,0
0.915590,0,104,0,0,0,0
0.917150,0,104,0,0,0,0
0.918725,0,104,0,0,0,0
0.920288,0,104,0,0,0,0
0.921848,0,104,0,0,0,0
0.923432,0,104,0,0,0,0
0.924833,0,104,0,0,0,0
0.926359,0,104,0,0,0,0
0.927919,0,104,0,0,0,0
0.929490,0,104,0,0,0,0
0.931093,0,104,0,0,0,0
0.932654,0,104,0,0,0,0
0.934216,0,104,0,0,0,0
0.935778,0,104,0,0,0,0
0.937337,0,104,0,0,0,0
0.938899,0,104,0,0,0,0
0.940473,0,104,0,0,0,0
0.942037,0,104,0,0,0,0
0.943598,0,104,0,0,0,0
