elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.939611,0,0,0,0,0,406768,406753,406754,406704,406696,406725,406716,406715,406729
0.941063,0,0,0,0,0,406712,406738,406746,406807,406824,406792,406799,406775,406760
0.942511,0,0,0,0,0,406645,406643,406655,406591,406571,406567,406557,406564,406577
0.943969,0,0,0,0,0,405970,405978,405963,405930,405916,405892,405901,405891,405889
0.945418,0,0,0,0,0,406178,406163,406162,406184,406206,406231,406230,406231,406216
0.946992,0,0,0,0,0,416618,416622,416621,416630,416620,416642,416640,416646,416646
0.948602,0,0,0,0,0,420261,420260,420267,420247,420255,420254,420254,420325,420324
0.950218,0,0,0,0,0,415805,415877,415877,415947,415946,415932,415931,415849,415861
0.951863,0,0,0,0,0,416580,416502,416482,416430,416429,416432,416430,416438,416414
0.953520,0,0,0,0,0,417709,417698,417779,417781,417781,417775,417774,417765,417786
0.955147,0,0,0,0,0,416463,416471,416388,416382,416379,416384,416384,416406,416404
0.956760,0,0,0,0,0,417177,417167,417176,417180,417181,417165,417163,417148,417149
0.958372,0,0,0,0,0,416125,416138,416146,416131,416120,416130,416107,416118,416117
0.959982,0,0,0,0,0,418008,417980,417972,417970,417969,417967,417953,417953,417951
0.961639,0,0,0,0,0,417349,417361,417349,417358,417366,417370,417404,417404,417390
0.963251,0,0,0,0,0,416401,416400,416399,416397,416387,416395,416396,416394,416358
0.964864,0,0,0,0,0,415907,415907,415915,415870,415869,415867,415865,415865,415886
0.966489,0,0,0,0,0,415174,415187,415199,415243,415250,415227,415240,415239,415324
0.968097,0,0,0,0,0,415422,415407,415403,415383,415370,415390,415376,415375,415279
0.969752,0,0,0,0,0,414856,414868,414871,414889,414893,414893,414891,414889,414923
0.971240,0,0,0,0,0,406486,406473,406448,406447,406445,406430,406430,406428,406429
0.972823,0,0,0,0,0,417133,417153,417162,417143,417138,417174,417162,417163,417149
0.974433,0,0,0,0,0,415840,415832,415840,415839,415861,415827,415835,415820,415817
0.976041,0,0,0,0,0,414497,414481,414470,414542,414540,414540,414540,414551,414551
0.977712,0,0,0,0,0,418376,418362,418425,418369,418351,418430,418429,418429,418513
0.979324,0,0,0,0,0,415291,415301,415237,415227,415225,415154,415152,415151,415065
0.980960,0,0,0,0,0,406695,406716,406787,406801,406810,406821,406821,406950,407035
0.982568,0,0,0,0,0,415780,415759,415685,415669,415659,415646,415631,415558,415461
0.984175,0,0,0,0,0,415140,415153,415162,415225,415240,415229,415241,415182,415227
0.985830,0,0,0,0,0,416637,416630,416621,416556,416524,418165,418309,418488,418451
0.987442,0,0,0,0,0,419586,419578,419566,419638,419659,418025,417881,417758,417770
0.989067,0,0,0,0,0,417890,417915,417933,417860,417859,417848,417833,417774,417750
0.990678,0,0,0,0,0,414696,414678,414657,414665,414664,414650,414662,414663,414699
0.992287,0,0,0,0,0,416704,416693,416694,416684,416684,416706,416706,416761,416746
0.993940,0,0,0,0,0,416725,416724,416732,416730,416728,416718,416716,416717,416715
0.995551,0,0,0,0,0,415022,415020,415010,415018,415009,415017,415016,415012,415013
0.997162,0,0,0,0,0,415454,415454,415462,415453,415525,415533,415522,415463,415462
0.998772,0,0,0,0,0,415582,415581,415579,415569,415505,415504,415503,415548,415523
1.000393,0,0,0,0,0,471262,470976,471147,471235,471260,471235,471245,471198,471206
1.002098,0,0,0,0,0,415878,416189,416026,415934,415906,415907,415904,415904,415904
1.003706,0,0,0,0,0,416303,416276,416266,416266,416251,416263,416262,416261,416251
1.005317,0,0,0,0,0,415697,415717,415717,415724,415728,415727,415728,415727,415748
1.006927,0,0,0,0,0,415145,415122,415120,415120,415118,415117,415114,415115,415113
1.008536,0,0,0,0,0,419105,419104,419102,419093,419088,419065,419065,419062,419062
1.010150,0,0,0,0,0,416063,416075,416083,416091,416082,416116,416115,416114,416114
1.011772,0,0,0,0,0,415996,415996,416000,416007,416029,416006,416004,416004,416073
1.013384,0,0,0,0,0,416115,416099,416076,416065,416065,416074,416059,416058,415986
1.014995,0,0,0,0,0,414898,414969,414986,414986,415032,415016,415022,415006,415004
1.016603,0,0,0,0,0,418999,418927,418880,418879,418821,418835,418842,418841,418842
1.018252,0,0,0,0,0,757458,757493,757542,757563,757727,758806,759597,759683,759680
1.020130,0,0,0,0,0,426724,427182,427176,431528,430463,429814,429022,428926,428913
1.021631,0,0,0,0,0,411708,411213,411204,406891,407821,407386,407362,407382,407393
1.023080,0,0,0,0,0,429128,429140,429147,429084,429058,429060,429071,429072,429059
1.024586,0,0,0,0,0,413263,413262,413267,413250,413273,413261,413270,413268,413280
1.026079,0,0,0,0,0,405613,405598,405584,405597,405573,405572,405572,405571,405616
1.027525,0,0,0,0,0,406226,406239,406246,406236,406245,406244,406242,406241,406194
1.028972,0,0,0,0,0,397200,397185,397175,397184,397164,397181,397170,397169,397169
1.030536,0,0,0,0,0,415311,415310,415322,415331,415329,415320,415315,415314,415312
1.032070,0,0,0,0,0,406973,406986,406972,406961,406979,406967,406982,406967,406966
1.033570,0,0,0,0,0,408025,408010,408009,408008,407998,407997,407994,408008,407993
1.035022,0,0,0,0,0,405491,405502,405501,405509,405485,405494,405470,405469,405468
1.036468,0,0,0,0,0,408959,408945,408943,408933,408956,408955,408969,408954,408967
1.037918,0,0,0,0,0,406126,406126,406117,406124,406113,406121,406120,406132,406131
1.039363,0,0,0,0,0,417511,417510,417509,417510,417518,417509,417506,417563,417562
1.040870,0,0,0,0,0,441347,441346,441346,441344,441334,441331,441341,441268,441267
1.042498,0,0,0,0,0,416900,416912,416928,416918,416990,416990,416975,416987,416972
1.044108,0,0,0,0,0,415971,415966,415956,415955,415890,415867,415880,415859,415871
1.045675,0,0,0,0,0,422805,422816,422815,422864,422876,422906,422894,422902,422902
1.047161,0,0,0,0,0,406919,406910,406932,406880,406857,406833,406843,406854,406816
1.048617,0,0,0,0,0,411400,411386,411352,411352,411360,411373,411372,411356,411393
1.050134,0,0,0,0,0,407156,407218,407263,407271,407262,407246,407244,407235,407291
1.051580,0,0,0,0,0,405946,405891,405854,405843,405850,405855,405856,405878,405791
1.053039,0,0,0,0,0,405439,405501,405513,405522,405512,405520,405518,405517,405517
1.054484,0,0,0,0,0,407183,407111,407097,407085,407093,407084,407082,407082,407107
1.055929,0,0,0,0,0,402301,402312,402319,406416,403905,404753,405507,405577,405577
1.057377,0,0,0,0,0,408473,408458,408449,404353,406852,406011,405255,405168,405143
1.058949,0,0,0,0,0,413985,413997,414005,414005,414004,414002,413988,414002,414011
1.060557,0,0,0,0,0,367245,367240,367230,379506,378842,379035,380293,380304,381096
1.062007,0,0,0,0,0,420444,420450,420463,408191,408853,408667,407410,407396,406603
1.063466,0,0,0,0,0,406047,406031,406017,405985,405995,405998,406065,406064,406076
1.065045,0,0,0,0,0,455885,455886,455884,455907,455896,455882,455822,455820,455819
1.066701,0,0,0,0,0,415348,415344,415343,415342,415342,415328,415305,415292,415290
1.068325,0,0,0,0,0,415861,415852,415860,415922,415936,415940,415948,415960,415947
1.069998,0,0,0,0,0,415959,415967,415948,415885,415885,415883,415896,415953,415965
1.071608,0,0,0,0,0,414886,414899,414907,414911,414903,414901,414901,414841,414827
1.073634,0,0,0,0,0,876690,876688,876674,876775,876764,876773,876771,876756,876769
1.076186,0,0,0,0,0,411671,411707,411755,411643,411651,411650,411672,411687,411685
1.077655,0,0,0,0,0,406401,406359,406314,406324,406314,406312,406287,406249,406235
1.079104,0,0,0,0,0,405778,405767,405774,405764,405735,405726,405725,405761,405760
1.080687,0,0,0,0,0,411950,411973,411963,412034,412070,412087,412077,412062,412074
1.082181,0,0,0,0,0,407754,407744,407762,407689,407666,407669,407678,407690,407675
1.083630,0,0,0,0,0,406516,406503,406492,406490,406501,406487,406486,406486,406498
1.085079,0,0,0,0,0,406204,406200,406199,406200,406200,406186,406185,406159,406146
1.086537,0,0,0,0,0,407461,407461,407459,407457,407456,407477,407467,407548,407548
1.087983,0,0,0,0,0,407162,407162,407162,407162,407161,407150,407158,407157,407168
1.089467,0,0,0,0,0,407600,407611,407609,407617,407616,407616,407673,407615,407601
1.090915,0,0,0,0,0,406305,406303,406312,406364,406371,406369,406357,406348,406359
1.092360,0,0,0,0,0,407792,407757,407761,407696,407696,407684,407636,407604,407582
1.093872,0,0,0,0,0,403179,403211,403195,403195,403185,403181,403182,403197,403191
1.095312,0,0,0,0,0,403203,403205,403215,403213,403186,403191,403187,403210,403236
1.096760,0,0,0,0,0,375706,375217,374727,374220,373747,373243,372724,372200,371679
1.098317,0,0,0,0,0,383928,383902,383893,383967,383952,383977,384009,384009,384000
1.099923,0,0,0,0,0,379932,379934,379921,379865,379878,379951,379928,379940,379934
1.101531,0,0,0,0,0,384516,384544,384568,384542,384541,384453,384474,384518,384517
1.103139,0,0,0,0,0,383278,383270,383242,383267,383298,383297,383282,383302,383335
1.104748,0,0,0,0,0,384834,384853,384854,384832,384785,384772,384809,384749,384740
1.106355,0,0,0,0,0,379084,379050,379062,383164,383176,383187,383153,383140,383118
1.107892,0,0,0,0,0,375966,375999,376018,376030,376052,376062,376057,376060,376100
1.109473,0,0,0,0,0,384344,384341,384332,384364,384396,384395,384428,384469,384469
1.111081,0,0,0,0,0,383849,383850,383858,383824,383868,383877,383834,383800,383798
1.112687,0,0,0,0,0,372810,372796,372799,372797,372737,372728,372747,372758,372745
1.114162,0,0,0,0,0,377245,377248,377222,377229,377199,377197,377272,377270,377262
1.115743,0,0,0,0,0,382558,382574,382585,382576,382584,382583,382527,382507,382525
1.117352,0,0,0,0,0,384472,384455,384461,384474,384505,384505,384482,384544,384543
1.118973,0,0,0,0,0,384923,384937,384917,384915,384893,384892,384901,384856,384856
1.120581,0,0,0,0,0,387424,387407,387413,387413,387400,387432,387410,387411,387422
1.122194,0,0,0,0,0,384714,384700,384700,384678,384686,384642,384653,384718,384713
1.123800,0,0,0,0,0,384531,384539,384541,384561,384572,384581,384580,384500,384481
1.125409,0,0,0,0,0,383844,383876,383876,383874,383927,383938,383937,383927,383924
1.127017,0,0,0,0,0,384347,384303,384277,384255,384179,384187,384240,384273,384295
1.128623,0,0,0,0,0,388204,388267,388291,388300,388344,388310,388275,388241,388216
1.130250,0,0,0,0,0,383985,383942,383949,384013,384001,384023,384012,384031,384022
1.131857,0,0,0,0,0,383023,383015,383001,383014,382978,382978,382988,382976,382988
1.133466,0,0,0,0,0,384089,384086,384077,384017,384031,384038,384017,384047,384066
1.135074,0,0,0,0,0,383505,383500,383545,383524,383543,383521,383552,383541,383526
1.136680,0,0,0,0,0,422347,422351,422312,422310,422287,422286,422240,422229,422241
1.138334,0,0,0,0,0,385311,385318,385334,385355,385354,385374,385398,385417,385384
1.139940,0,0,0,0,0,384121,384120,384107,384097,384084,384062,384049,384095,384100
1.141562,0,0,0,0,0,385011,385018,384996,384991,385003,385015,385013,385011,385013
1.143171,0,0,0,0,0,383631,383622,383651,383674,383695,383680,383700,383612,383622
1.144780,0,0,0,0,0,384943,384951,384940,384906,384883,384916,384903,384957,384948
1.146389,0,0,0,0,0,383594,383584,383572,383593,383591,383578,383568,383588,383595
1.147995,0,0,0,0,0,383541,383554,383560,383551,383571,383596,383596,383593,383592
1.149602,0,0,0,0,0,383161,383127,383137,383122,383101,383066,383139,383151,383151
1.151210,0,0,0,0,0,383605,383646,383637,383670,383657,383643,383568,383500,383486
1.152833,0,0,0,0,0,421034,420990,420999,420977,421008,421008,421014,420994,421004
1.154484,0,0,0,0,0,384427,384438,384415,384422,384401,384433,384432,384510,384598
1.156091,0,0,0,0,0,384223,384232,384245,384256,384255,384220,384199,384127,384018
1.157699,0,0,0,0,0,385230,385228,385221,385212,385208,385231,385296,385308,385315
1.159306,0,0,0,0,0,383121,383121,383113,383107,383151,383138,383083,383081,383094
1.160915,0,0,0,0,0,420251,420247,420247,420226,420180,420159,420145,420145,420130
1.162566,0,0,0,0,0,382892,382925,382932,382955,382965,382985,383051,383036,383026
1.164062,0,0,0,0,0,376913,377022,377137,377266,377377,377497,377576,377708,377841
1.165645,0,0,0,0,0,387290,387260,387278,387279,387291,387310,387308,387321,387341
1.167258,0,0,0,0,0,385814,385824,385846,385810,385808,385809,385807,385805,385804
1.168872,0,0,0,0,0,422625,422611,422610,422643,422631,422607,422607,422606,422604
1.170529,0,0,0,0,0,385212,385208,385199,385209,385227,385227,385226,385226,385226
1.172140,0,0,0,0,0,385897,385899,385886,385852,385840,385818,385817,385815,385813
1.173753,0,0,0,0,0,386690,386710,386717,386715,386717,386757,386823,386824,386811
1.175380,0,0,0,0,0,386437,386437,386427,386461,386469,386447,386379,386376,386375
1.176994,0,0,0,0,0,424027,424016,424003,423990,423980,424000,424000,424053,424044
1.178653,0,0,0,0,0,385989,385978,386009,386000,386021,386033,386051,385997,386084
1.180264,0,0,0,0,0,386180,386198,386177,386196,386169,386135,386106,386126,386057
1.181876,0,0,0,0,0,385889,385889,385875,385873,385885,385896,385924,385902,385902
1.183488,0,0,0,0,0,385179,385177,385211,385198,385176,385162,385142,385140,385139
1.185102,0,0,0,0,0,386832,386811,386787,386766,386787,386786,386783,386835,386834
1.186729,0,0,0,0,0,386656,386676,386696,386728,386759,386759,386758,386705,386691
1.188376,0,0,0,0,0,384972,384991,384970,454642,454711,454722,454722,454774,454797
1.189961,0,0,0,0,0,445633,445611,445598,375923,375807,375807,375805,375749,375737
1.191542,0,0,0,0,0,386571,386562,386594,386581,386583,386568,386588,386643,386620
1.193201,0,0,0,0,0,386575,386570,386548,386560,386534,386567,386545,386489,386510
1.194814,0,0,0,0,0,385386,385364,385383,385370,385383,385349,385349,385348,385414
1.196424,0,0,0,0,0,437850,437882,437882,460878,461521,461506,465601,464567,464886
1.198132,0,0,0,0,0,413179,413166,413143,390157,389521,389558,385481,386515,386126
1.199744,0,0,0,0,0,385755,385758,385745,385731,385733,385728,385707,385705,385703
1.201402,0,0,0,0,0,387235,387243,387242,387242,387242,387252,387260,387238,387238
