elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.224811,18,239,1648,0,0,0,0,0,0,0,0,0,0,0
0.226422,18,239,1674,0,0,0,0,0,0,0,0,0,0,0
0.228039,18,239,1658,0,0,0,0,0,0,0,0,0,0,0
0.229647,18,233,1652,0,0,0,0,0,0,0,0,0,0,0
0.231251,18,239,1669,0,0,0,0,0,0,0,0,0,0,0
0.232855,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.234505,18,233,1653,0,0,0,0,0,0,0,0,0,0,0
0.236110,18,235,1658,0,0,0,0,0,0,0,0,0,0,0
0.237715,18,235,1652,0,0,0,0,0,0,0,0,0,0,0
0.239334,18,237,1630,0,0,0,0,0,0,0,0,0,0,0
0.240941,18,239,1649,0,0,0,0,0,0,0,0,0,0,0
0.242544,18,237,1655,0,0,0,0,0,0,0,0,0,0,0
0.244148,18,235,1652,0,0,0,0,0,0,0,0,0,0,0
0.245752,18,233,1652,0,0,0,0,0,0,0,0,0,0,0
0.247357,18,239,1834,0,0,0,0,0,0,0,0,0,0,0
0.248963,18,239,1643,0,0,0,0,0,0,0,0,0,0,0
0.250621,18,233,1657,0,0,0,0,0,0,0,0,0,0,0
0.252226,18,239,1646,0,0,0,0,0,0,0,0,0,0,0
0.253833,18,239,1653,0,0,0,0,0,0,0,0,0,0,0
0.257227,18,239,1649,0,0,0,0,0,0,0,0,0,0,0
0.258705,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.260110,18,235,1653,0,0,0,0,0,0,0,0,0,0,0
0.261516,18,235,1648,0,0,0,0,0,0,0,0,0,0,0
0.262962,18,239,1648,0,0,0,0,0,0,0,0,0,0,0
0.264356,18,235,1652,0,0,0,0,0,0,0,0,0,0,0
0.265767,18,235,1646,0,0,0,0,0,0,0,0,0,0,0
0.267243,18,239,1658,0,0,0,0,0,0,0,0,0,0,0
0.268683,18,237,1657,0,0,0,0,0,0,0,0,0,0,0
0.270168,18,235,1657,0,0,0,0,0,0,0,0,0,0,0
0.271621,18,239,1645,0,0,0,0,0,0,0,0,0,0,0
0.273192,18,239,1652,0,0,0,0,0,0,0,0,0,0,0
0.274843,18,237,1657,0,0,0,0,0,0,0,0,0,0,0
0.276446,18,237,1656,0,0,0,0,0,0,0,0,0,0,0
0.278051,18,233,1658,0,0,0,0,0,0,0,0,0,0,0
0.279657,18,233,1650,0,0,0,0,0,0,0,0,0,0,0
0.281263,18,239,1654,0,0,0,0,0,0,0,0,0,0,0
0.282884,18,239,1655,0,0,0,0,0,0,0,0,0,0,0
0.284489,18,237,1661,0,0,0,0,0,0,0,0,0,0,0
0.286157,18,239,1642,0,0,0,0,0,0,0,0,0,0,0
0.287762,18,237,1638,0,0,0,0,0,0,0,0,0,0,0
0.289452,18,237,1681,0,0,0,0,0,0,0,0,0,0,0
0.291060,18,239,1653,0,0,0,0,0,0,0,0,0,0,0
0.292664,18,239,1654,0,0,0,0,0,0,0,0,0,0,0
0.294287,18,239,1750,0,0,0,0,0,0,0,0,0,0,0
0.295891,18,239,1652,0,0,0,0,0,0,0,0,0,0,0
0.297542,18,239,1638,0,0,0,0,0,0,0,0,0,0,0
0.299148,18,239,1652,0,0,0,0,0,0,0,0,0,0,0
0.300752,18,239,1650,0,0,0,0,0,0,0,0,0,0,0
