elapsed_s,SP_TTU_GPR_WR_REQ,SP_GPR_CACHE_SRC0_GPR_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC1_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC2_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HINT_RDCNT,SP_UCHE_READ_BURST,SP_UCHE_WRITE_BURST,SP_LDST_GMEM_REQ_NUM
0.118345,0,0,0,0,0,0,0,0,0,0,0,0,0
0.119808,0,0,0,0,0,0,0,0,0,0,0,0,0
0.121175,0,0,0,0,0,0,0,0,0,0,0,0,0
0.122542,0,0,0,0,0,0,0,0,0,0,0,0,0
0.123909,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125274,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126644,0,0,0,0,0,0,0,0,0,0,0,0,0
0.128009,0,0,0,0,0,0,0,0,0,0,0,0,0
0.129374,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130738,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132101,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133483,0,0,0,0,0,0,0,0,0,0,0,0,0
0.134848,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136261,0,0,0,0,0,0,0,0,0,0,0,0,0
0.137647,0,0,0,0,0,0,0,0,0,0,0,0,0
0.138958,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140453,0,0,0,0,0,0,0,0,0,0,0,0,0
0.141920,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143255,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144611,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145967,0,0,0,0,0,0,0,0,0,0,0,0,0
0.147483,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148809,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150227,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151677,0,0,0,0,0,0,0,0,0,0,0,0,0
0.153128,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154563,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157555,0,0,0,0,0,0,0,0,0,0,0,0,0
0.159036,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160450,0,0,0,0,0,0,0,0,0,0,0,0,0
0.161883,0,0,0,0,0,0,0,0,0,0,0,0,0
0.163374,0,0,0,0,0,0,0,0,0,0,0,0,0
0.164859,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166289,0,0,0,0,0,0,0,0,0,0,0,0,0
0.167763,0,0,0,0,0,0,0,0,0,0,0,0,0
0.169213,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170649,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172087,0,0,0,0,0,0,0,0,0,0,0,0,0
0.173524,0,0,0,0,0,0,0,0,0,0,0,0,0
0.174960,0,0,0,0,0,0,0,0,0,0,0,0,0
0.176444,0,0,0,0,0,0,0,0,0,0,0,0,0
0.178006,0,0,0,0,0,0,0,0,0,0,0,0,0
0.179620,0,0,0,0,0,0,0,0,0,0,0,0,0
