elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_3_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_4_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_5_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_6_WORKING_CC_L2
0.097444,0,0,0,0
0.098831,0,0,0,0
0.100214,0,0,0,0
0.103795,0,0,0,0
0.105182,0,0,0,0
0.106571,0,0,0,0
0.107950,0,0,0,0
0.111612,0,0,0,0
0.113041,0,0,0,0
0.114422,0,0,0,0
0.115805,0,0,0,0
0.117205,0,0,0,0
0.118589,0,0,0,0
0.119966,0,0,0,0
0.121326,0,0,0,0
0.122672,0,0,0,0
0.124011,0,0,0,0
0.125350,0,0,0,0
0.126690,0,0,0,0
0.128192,0,0,0,0
0.129753,0,0,0,0
0.131304,0,0,0,0
0.132857,0,0,0,0
0.134409,0,0,0,0
0.135959,0,0,0,0
0.137511,0,0,0,0
0.139076,0,0,0,0
0.140625,0,0,0,0
0.142183,0,0,0,0
0.143778,0,0,0,0
0.145252,0,0,0,0
0.146762,0,0,0,0
0.148169,0,0,0,0
0.149571,0,0,0,0
0.150959,0,0,0,0
0.152346,0,0,0,0
0.153735,0,0,0,0
0.155314,0,0,0,0
0.156866,0,0,0,0
0.158418,0,0,0,0
0.159898,0,0,0,0
0.161423,0,0,0,0
0.162974,0,0,0,0
0.164524,0,0,0,0
0.166078,0,0,0,0
0.167627,0,0,0,0
0.169180,0,0,0,0
0.170744,0,0,0,0
0.172293,0,0,0,0
0.173843,0,0,0,0
0.175395,0,0,0,0
0.176991,0,0,0,0
0.178542,0,0,0,0
0.180092,0,0,0,0
0.181656,0,0,0,0
0.183207,0,0,0,0
0.184851,0,0,0,0
0.186390,0,0,0,0
0.187783,0,0,0,0
0.189198,0,0,0,0
0.190745,0,0,0,0
0.192349,0,0,0,0
0.193901,0,0,0,0
0.195452,0,0,0,0
0.197005,0,0,0,0
0.198556,0,0,0,0
