elapsed_s,ALWAYSON
0.417769,26276
0.419136,27141
0.420563,26399
0.421923,26099
0.423282,26984
0.424692,26185
0.426051,26110
0.427411,28579
0.428897,26426
0.430236,25471
0.431576,25709
0.432898,25352
0.434217,25323
0.435557,25721
0.436923,26229
0.438288,26209
0.439655,26237
0.441019,26180
0.442523,29316
0.444053,29399
0.445582,29293
0.447107,29312
0.448634,29338
0.450162,29333
0.451735,30194
0.453276,29588
0.454802,29297
0.456331,29375
0.457860,29320
0.459386,29374
0.460798,26756
0.462302,29216
0.463847,29682
0.465379,29379
0.466907,29332
0.468437,29378
0.469967,29380
0.471495,29199
0.472893,26607
0.474276,26478
0.475775,29233
0.477305,29360
0.478834,29375
0.480366,29439
0.481897,29355
0.483468,30267
0.484892,26876
0.486394,29211
0.487926,29418
0.489456,29344
0.490983,29351
0.492514,29397
0.494044,29373
0.495589,29664
0.497119,29362
0.498647,29339
0.500180,29447
0.501710,29356
0.503238,31082
0.504883,29874
0.506426,29614
0.507958,29437
0.509490,29366
0.511018,29364
0.512549,29392
0.514080,29382
0.515653,30222
0.517197,29637
0.518726,29350
0.520258,29339
0.521778,29161
0.523296,29645
0.524722,27746
0.526289,29319
0.527833,29647
0.529363,29364
0.530891,29371
0.532423,29401
0.533953,29365
0.535482,30701
0.537082,29382
0.538625,29613
0.540157,29444
0.541688,29365
0.543216,29344
0.544807,30565
0.546337,29343
0.547911,30271
0.549456,29626
0.550984,29362
0.552516,29392
0.554046,29365
0.555577,29428
0.557108,29372
0.558636,29340
0.560180,29652
0.561711,29387
0.563239,30772
0.564844,29379
0.566373,29360
0.567905,29427
0.569555,32625
0.571027,26980
0.572407,26420
0.573906,29200
0.575436,29465
0.576971,29381
0.578500,29357
0.580076,30224
0.581618,29617
0.583146,29352
0.584677,29382
0.586207,29391
0.587738,29350
0.589266,29379
0.590796,29376
0.592339,29645
0.593871,29383
0.595441,30248
0.596976,29352
0.598503,29362
0.600037,29428
0.601989,37627
0.603411,29924
0.604947,26231
0.606309,26093
0.607668,26116
0.609027,26078
0.610385,26065
0.611751,26275
0.613111,26049
0.614477,26240
0.615836,26120
0.617195,26080
0.618553,26046
0.619910,26063
0.621267,26071
0.622624,26047
0.623981,26054
0.625346,26205
0.626703,26060
0.628055,25710
0.629391,25654
0.630727,25630
0.632061,25633
0.633397,25627
0.634731,25638
0.636075,25803
0.637411,25661
0.638748,25655
0.640084,25643
0.641419,25637
0.642755,25675
0.644089,25442
0.645412,25406
0.646740,25531
0.648065,25416
0.649389,25385
0.650710,25369
0.652032,25395
0.653355,25377
0.654676,25376
0.655997,25366
0.657325,25514
0.658648,25392
0.659961,26881
0.661357,26800
0.662753,26800
0.664149,26818
0.665546,26812
0.666942,26827
0.668351,27136
0.669761,27094
0.671116,25905
0.672464,25900
0.673813,25882
0.675161,24092
0.676944,35074
0.678339,26496
0.679719,26544
0.681206,32405
0.682930,29367
0.685981,58445
0.687348,28256
0.688817,26170
0.690190,26373
0.691644,28938
0.693052,27744
0.694523,26659
0.695894,26198
0.697259,26211
0.698623,26184
0.699987,26179
0.701361,26392
0.702726,26170
0.704089,26155
0.705583,28751
0.706947,26135
0.708307,26069
0.709664,26059
0.711021,26033
0.712388,26277
0.713746,26100
0.715105,26340
0.716477,26051
0.717834,26087
0.719193,26106
0.720554,26128
0.721915,26123
0.723326,27725
0.724724,26220
0.726084,26109
0.727444,27018
0.728852,26125
0.730212,26120
0.731612,26946
0.732977,26183
0.734992,39193
0.736524,29382
0.738054,29347
0.739626,30188
0.741155,29355
0.742682,29331
0.744213,29406
0.745757,29635
0.747284,29410
0.748817,29370
0.750346,29335
0.751878,29419
0.753408,29362
0.754936,29345
0.756391,27515
0.757891,29230
0.759419,29427
0.760953,29363
0.762482,29337
0.764012,29393
0.765541,29347
0.767081,29583
0.768611,29349
0.770251,31660
0.771716,27650
0.773092,26240
0.774581,28995
0.776059,28004
0.777561,29229
0.779081,29191
0.780480,26552
0.781983,29231
0.783511,30377
0.785094,29365
0.786623,29330
0.788166,29643
0.789706,29808
0.791126,28928
0.792711,28223
0.794193,30329
0.795670,28327
0.797143,28150
0.798619,26487
0.801072,47098
0.802438,26187
0.803843,27050
0.805211,26263
0.806578,26225
0.807947,26279
0.809330,26110
0.810803,29173
0.812335,29460
0.813867,29384
0.815397,29479
0.816933,29378
0.818461,29329
0.820047,30498
0.821579,29364
0.823107,29353
0.824638,29397
0.826169,29392
0.827701,29440
0.829233,29377
0.830776,29627
0.832308,29447
0.833839,29378
0.835411,30296
0.836947,29388
0.838477,29346
0.840008,29349
0.841545,29473
0.843065,29197
0.844464,26526
0.845963,29191
0.847491,30688
0.849091,29358
0.850618,29332
0.852163,29669
0.853692,29356
0.855220,29330
0.856925,32766
0.858454,29320
0.859985,29427
0.861515,29348
0.863057,29617
0.864586,29358
0.866115,29349
0.867689,30257
0.869221,29367
0.870749,29336
0.872280,29412
0.873822,29610
0.875350,29824
0.876905,29368
0.878434,29330
0.879965,29392
0.881976,38570
0.883611,33899
0.885150,26723
0.886521,26263
0.888019,29208
0.889549,29372
0.891077,29341
0.892606,29382
0.894137,29368
0.895680,29626
0.897209,29348
0.898736,29333
0.900268,29421
0.901797,29362
0.903326,29430
0.904860,29337
0.906400,29593
0.907931,29409
0.909461,29359
0.910988,29318
0.912518,29377
0.914047,29363
0.915620,30213
0.917163,29609
0.918690,29344
0.920223,29427
0.921753,29358
0.923281,29449
0.924815,29325
0.926342,29339
0.927886,29680
0.929417,29358
0.930945,29328
0.932634,32860
0.934093,27563
0.935485,26383
0.936857,26250
0.938237,26523
0.939605,26264
0.941836,43082
0.943224,26528
0.944839,30973
0.946220,26424
0.947631,27049
0.949006,26374
0.950367,26117
0.951728,26193
0.953093,26181
0.954456,26185
0.955828,26413
0.957197,26221
0.958573,26748
0.959986,26871
0.961487,29227
0.963016,30198
0.964591,29387
0.966121,29353
0.967652,29407
0.969181,29338
0.970730,31461
0.972227,26751
0.973624,27062
0.975150,29369
0.976681,29419
0.978213,29409
0.979789,30262
0.981333,29625
0.982863,29361
0.984394,29419
0.985925,29393
0.987455,29476
0.988992,29408
0.990522,29387
0.992068,29690
0.993600,29392
0.995130,30276
0.996707,29407
0.998239,29406
0.999773,29458
1.001305,29399
1.002849,29639
1.004383,29465
1.005914,29394
1.007445,29482
1.008981,29389
1.010511,29376
1.012086,30282
1.013632,29643
1.015161,29358
1.016692,29411
1.018224,29397
1.019756,29442
1.021289,29397
1.022818,29359
1.024362,29666
1.025895,29425
1.027468,30233
1.029001,29379
1.030529,29367
1.032063,29375
1.033586,29211
1.035119,29448
1.036518,27699
1.038086,29370
1.039620,29454
1.041151,29385
1.042682,29409
1.044218,29494
1.045764,29648
1.047293,29472
1.048829,29381
1.050359,29403
1.051893,29451
1.053425,29397
1.054955,29389
1.056500,29672
1.058033,29397
1.059607,30260
1.062136,48582
1.063545,26635
1.064920,26329
1.066289,26287
1.067672,26557
1.069041,26274
1.070408,27324
1.071963,29247
1.073495,29399
1.075025,30225
1.076602,29427
1.078147,29651
1.079680,29462
1.081212,29392
1.082742,29375
1.084276,29458
1.085808,29413
1.087339,29479
1.088888,29673
1.090418,29372
1.091995,30299
1.093528,29402
1.095058,29373
1.096590,29315
1.098111,29211
1.099786,33674
1.101608,60623
1.104423,26704
1.105801,26321
1.107170,27033
1.108580,26276
1.109958,26458
1.111324,26271
1.112821,29145
1.114349,29340
1.115880,29423
1.117411,29368
1.118939,29339
1.120481,29609
1.122011,29350
1.123583,30216
1.125113,29362
1.126641,29319
1.128172,29447
1.129703,29366
1.131245,29692
1.132779,29345
1.134306,29343
1.135837,29413
1.137368,29360
1.138895,29325
1.140426,29406
1.141969,29628
1.143498,31079
1.144993,26676
1.146369,26321
1.147870,29247
1.149402,29374
1.150931,29391
1.152476,29657
1.154008,29422
1.155586,30320
1.157119,29403
1.158649,29376
1.160182,29351
1.161704,29223
1.163239,31004
1.164872,29866
1.166398,29318
1.167929,29384
1.169457,29315
1.170982,30220
1.172437,26716
1.173957,29502
1.175486,30714
1.177086,29342
1.178612,29279
1.180141,29385
1.181668,29310
1.183196,29328
1.184672,27948
1.186172,29167
1.187742,30176
1.189271,29376
1.190799,29338
1.192331,29412
1.193860,29355
1.195402,29705
1.196936,29376
1.198466,29353
1.199998,29428
1.201529,29357
1.203056,30212
1.204632,29396
1.206176,29656
1.207708,29412
1.209238,29369
1.210766,29342
1.212298,29414
1.213828,29354
1.215356,29851
1.216913,29385
1.218441,29332
1.220012,30760
1.221490,27403
1.222861,26303
1.224361,29247
1.225894,29405
1.227438,29752
1.228975,29418
1.230506,29391
1.232038,29465
1.233572,29381
1.235102,30271
1.236680,29454
1.238227,29684
1.239761,29472
1.241295,29415
1.242825,29384
1.244359,29472
1.245891,29412
1.247422,29488
1.248972,29664
1.250503,29403
1.252080,30273
1.253612,29393
