elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.585403,0,0,0,0
0.586847,0,0,0,0
0.588233,0,0,0,0
0.589618,0,0,0,0
0.591133,0,0,0,0
0.594195,0,0,0,0
0.595716,0,0,0,0
0.597092,0,0,0,0
0.598437,0,0,0,0
0.599776,0,0,0,0
0.601116,0,0,0,0
0.602475,0,0,0,0
0.603868,0,0,0,0
0.605375,0,0,0,0
0.606793,0,0,0,0
0.608318,0,0,0,0
0.609859,0,0,0,0
0.611338,0,0,0,0
0.612725,0,0,0,0
0.614105,0,0,0,0
0.615620,0,0,0,0
0.617168,0,0,0,0
0.618775,0,0,0,0
0.620324,0,0,0,0
0.621872,0,0,0,0
0.623426,0,0,0,0
0.624973,0,0,0,0
0.626568,0,0,0,0
0.628118,0,0,0,0
0.629680,0,0,0,0
0.631178,0,0,0,0
0.632695,0,0,0,0
0.634245,0,0,0,0
0.636275,0,0,0,0
0.637825,0,0,0,0
0.639412,0,0,0,0
0.640966,0,0,0,0
0.642430,0,0,0,0
0.643952,0,0,0,0
0.645502,0,0,0,0
0.647053,0,0,0,0
0.648605,0,0,0,0
0.650156,0,0,0,0
0.651767,0,0,0,0
0.653317,0,0,0,0
0.654868,0,0,0,0
0.656421,0,0,0,0
0.657970,0,0,0,0
0.659544,0,0,0,0
0.661093,0,0,0,0
0.662660,0,0,0,0
0.664211,0,0,0,0
0.665761,0,0,0,0
0.667318,0,0,0,0
0.668867,0,0,0,0
0.670420,0,0,0,0
0.671973,0,0,0,0
0.673413,0,0,0,0
0.674979,0,0,0,0
0.676531,0,0,0,0
0.678085,0,0,0,0
0.679636,0,0,0,0
0.681187,0,0,0,0
0.682783,0,0,0,0
0.684348,0,0,0,0
0.685897,0,0,0,0
0.687454,0,0,0,0
0.689004,0,0,0,0
0.690601,0,0,0,0
0.692153,0,0,0,0
0.693703,0,0,0,0
0.695272,0,0,0,0
0.696823,0,0,0,0
0.698375,0,0,0,0
0.699926,0,0,0,0
0.701475,0,0,0,0
0.703027,0,0,0,0
0.704578,0,0,0,0
0.706144,0,0,0,0
0.707740,0,0,0,0
0.709289,0,0,0,0
0.710842,0,0,0,0
0.712394,0,0,0,0
0.713944,0,0,0,0
0.715361,0,0,0,0
0.716762,0,0,0,0
0.718280,0,0,0,0
0.719828,0,0,0,0
0.721377,0,0,0,0
0.722971,0,0,0,0
0.724527,0,0,0,0
0.726076,0,0,0,0
0.727641,0,0,0,0
0.729191,0,0,0,0
0.730787,0,0,0,0
0.732338,0,0,0,0
0.733890,0,0,0,0
0.735481,0,0,0,0
