elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.391969,0,0,0,0
0.393517,0,0,0,0
0.395068,0,0,0,0
0.396619,0,0,0,0
0.398181,0,0,0,0
0.399730,0,0,0,0
0.401281,0,0,0,0
0.402832,0,0,0,0
0.404426,0,0,0,0
0.405973,0,0,0,0
0.407524,0,0,0,0
0.409087,0,0,0,0
0.410636,0,0,0,0
0.412048,0,0,0,0
0.413442,0,0,0,0
0.414960,0,0,0,0
0.416510,0,0,0,0
0.418058,0,0,0,0
0.419664,0,0,0,0
0.421213,0,0,0,0
0.422765,0,0,0,0
0.424313,0,0,0,0
0.425861,0,0,0,0
0.427413,0,0,0,0
0.428963,0,0,0,0
0.430524,0,0,0,0
0.432114,0,0,0,0
0.433662,0,0,0,0
0.435258,0,0,0,0
0.436809,0,0,0,0
0.438358,0,0,0,0
0.439950,0,0,0,0
0.441501,0,0,0,0
0.442921,0,0,0,0
0.444441,0,0,0,0
0.445989,0,0,0,0
0.447540,0,0,0,0
0.449091,0,0,0,0
0.450640,0,0,0,0
0.452130,0,0,0,0
0.453521,0,0,0,0
0.455038,0,0,0,0
0.456589,0,0,0,0
0.458137,0,0,0,0
0.459687,0,0,0,0
0.461236,0,0,0,0
0.462799,0,0,0,0
0.464348,0,0,0,0
0.465898,0,0,0,0
0.467494,0,0,0,0
0.469044,0,0,0,0
0.470593,0,0,0,0
0.472146,0,0,0,0
0.473709,0,0,0,0
0.475259,0,0,0,0
0.476809,0,0,0,0
0.478357,0,0,0,0
0.479967,0,0,0,0
0.481516,0,0,0,0
0.483068,0,0,0,0
0.484631,0,0,0,0
0.486179,0,0,0,0
0.487728,0,0,0,0
0.489277,0,0,0,0
0.490829,0,0,0,0
0.492379,0,0,0,0
0.493927,0,0,0,0
0.495491,0,0,0,0
0.497041,0,0,0,0
0.498589,0,0,0,0
0.500146,0,0,0,0
0.501694,0,0,0,0
0.503245,0,0,0,0
0.504786,0,0,0,0
0.506339,0,0,0,0
0.507759,0,0,0,0
0.509219,0,0,0,0
0.510607,0,0,0,0
0.511997,0,0,0,0
0.513383,0,0,0,0
0.514770,0,0,0,0
0.516154,0,0,0,0
0.517674,0,0,0,0
0.519104,0,0,0,0
0.520629,0,0,0,0
0.522176,0,0,0,0
0.523725,0,0,0,0
0.525273,0,0,0,0
0.526824,0,0,0,0
0.528386,0,0,0,0
0.529933,0,0,0,0
0.531527,0,0,0,0
0.533077,0,0,0,0
0.534625,0,0,0,0
0.536178,0,0,0,0
0.537726,0,0,0,0
0.539290,0,0,0,0
0.540840,0,0,0,0
0.542388,0,0,0,0
0.544022,0,0,0,0
0.545561,0,0,0,0
0.546978,0,0,0,0
0.548538,0,0,0,0
0.549975,0,0,0,0
0.551371,0,0,0,0
0.552768,0,0,0,0
0.554285,0,0,0,0
0.555833,0,0,0,0
0.558437,0,0,0,0
0.559987,0,0,0,0
0.561379,0,0,0,0
0.562896,0,0,0,0
0.564489,0,0,0,0
0.566036,0,0,0,0
0.567582,0,0,0,0
0.569131,0,0,0,0
0.570747,0,0,0,0
0.572293,0,0,0,0
0.573840,0,0,0,0
0.575388,0,0,0,0
0.576937,0,0,0,0
0.578485,0,0,0,0
0.580037,0,0,0,0
0.581763,0,0,0,0
0.583291,0,0,0,0
0.584840,0,0,0,0
0.586387,0,0,0,0
0.587896,0,0,0,0
0.589412,0,0,0,0
0.590846,0,0,0,0
0.592376,0,0,0,0
0.593915,0,0,0,0
0.595378,0,0,0,0
0.596899,0,0,0,0
0.598448,0,0,0,0
0.600002,0,0,0,0
0.601550,0,0,0,0
0.603115,0,0,0,0
0.604665,0,0,0,0
0.606214,0,0,0,0
0.607763,0,0,0,0
0.609313,0,0,0,0
0.610863,0,0,0,0
0.612456,0,0,0,0
0.614018,0,0,0,0
0.615567,0,0,0,0
0.617117,0,0,0,0
0.618665,0,0,0,0
0.620295,0,0,0,0
0.621848,0,0,0,0
0.623400,0,0,0,0
0.624961,0,0,0,0
0.626509,0,0,0,0
0.628062,0,0,0,0
0.629610,0,0,0,0
0.631162,0,0,0,0
0.632702,0,0,0,0
0.634242,0,0,0,0
0.635676,0,0,0,0
0.637199,0,0,0,0
