elapsed_s,TSE_CLIP_CODE_WORKING_CYCLE_L1,TSE_CLIP_WORKING_CYCLE_L1,TSE_CLIP_CTRL_WORKING_CYCLE_L2,TSE_CLIP_VP_FMUL_WORKING_CYCLE_L2
0.282146,0,0,0,0
0.283613,0,0,0,0
0.285006,0,0,0,0
0.286519,0,0,0,0
0.287976,0,0,0,0
0.289369,0,0,0,0
0.290885,0,0,0,0
0.292433,0,0,0,0
0.293992,0,0,0,0
0.295590,0,0,0,0
0.297138,0,0,0,0
0.298751,0,0,0,0
0.300366,0,0,0,0
0.301913,0,0,0,0
0.303507,0,0,0,0
0.305067,0,0,0,0
0.306613,0,0,0,0
0.308164,0,0,0,0
0.309709,0,0,0,0
0.311302,0,0,0,0
0.312849,0,0,0,0
0.314395,0,0,0,0
0.316030,0,0,0,0
0.317575,0,0,0,0
0.319166,0,0,0,0
0.320715,0,0,0,0
0.322260,0,0,0,0
0.323807,0,0,0,0
0.325354,0,0,0,0
0.326917,0,0,0,0
0.328506,0,0,0,0
0.329931,0,0,0,0
0.331328,0,0,0,0
0.332846,0,0,0,0
0.334384,0,0,0,0
0.336061,0,0,0,0
0.337621,0,0,0,0
0.339170,0,0,0,0
0.340719,0,0,0,0
0.342265,0,0,0,0
0.343857,0,0,0,0
0.345406,0,0,0,0
0.346957,0,0,0,0
0.348518,0,0,0,0
0.350065,0,0,0,0
0.351656,0,0,0,0
0.353206,0,0,0,0
0.354754,0,0,0,0
0.356299,0,0,0,0
0.357845,0,0,0,0
0.359394,0,0,0,0
0.360920,0,0,0,0
0.362466,0,0,0,0
0.364018,0,0,0,0
0.365565,0,0,0,0
0.367159,0,0,0,0
0.368707,0,0,0,0
0.370268,0,0,0,0
0.371816,0,0,0,0
0.373363,0,0,0,0
0.374910,0,0,0,0
0.376459,0,0,0,0
0.378004,0,0,0,0
0.379550,0,0,0,0
0.381113,0,0,0,0
0.382659,0,0,0,0
0.384086,0,0,0,0
0.385478,0,0,0,0
0.386995,0,0,0,0
0.388543,0,0,0,0
0.390090,0,0,0,0
0.391695,0,0,0,0
0.393244,0,0,0,0
0.394793,0,0,0,0
0.396338,0,0,0,0
0.397881,0,0,0,0
0.399351,0,0,0,0
0.400876,0,0,0,0
0.402312,0,0,0,0
0.403832,0,0,0,0
0.405381,0,0,0,0
0.406932,0,0,0,0
0.408527,0,0,0,0
0.410075,0,0,0,0
0.411624,0,0,0,0
0.413187,0,0,0,0
0.414738,0,0,0,0
0.416289,0,0,0,0
0.417837,0,0,0,0
0.419388,0,0,0,0
