elapsed_s,TSE_BE_INPUT_NULL_PRIM,TSE_BE_TRIVAL_REJ_PRIM,TSE_BE_CLIPPED_PRIM,TSE_BE_ZERO_AREA_PRIM
0.187278,0,0,0,0
0.188810,0,0,0,0
0.190360,0,0,0,0
0.191953,0,0,0,0
0.193505,0,0,0,0
0.197905,0,0,0,0
0.199392,0,0,0,0
0.200782,0,0,0,0
0.202163,0,0,0,0
0.203544,0,0,0,0
0.204925,0,0,0,0
0.206330,0,0,0,0
0.207749,0,0,0,0
0.209143,0,0,0,0
0.210545,0,0,0,0
0.211931,0,0,0,0
0.213312,0,0,0,0
0.214693,0,0,0,0
0.216195,0,0,0,0
0.217582,0,0,0,0
0.218969,0,0,0,0
0.220467,0,0,0,0
0.221855,0,0,0,0
0.223240,0,0,0,0
0.224791,0,0,0,0
0.226341,0,0,0,0
0.227892,0,0,0,0
0.229434,0,0,0,0
0.231090,0,0,0,0
0.232694,0,0,0,0
0.234243,0,0,0,0
0.235795,0,0,0,0
0.237347,0,0,0,0
0.238896,0,0,0,0
0.240493,0,0,0,0
0.242042,0,0,0,0
0.243606,0,0,0,0
0.245157,0,0,0,0
0.246707,0,0,0,0
0.248263,0,0,0,0
0.249812,0,0,0,0
0.251365,0,0,0,0
0.252916,0,0,0,0
0.254478,0,0,0,0
0.256072,0,0,0,0
0.257622,0,0,0,0
0.259173,0,0,0,0
0.260723,0,0,0,0
0.262271,0,0,0,0
0.263864,0,0,0,0
0.265428,0,0,0,0
0.266980,0,0,0,0
0.268531,0,0,0,0
0.270080,0,0,0,0
0.271675,0,0,0,0
0.273225,0,0,0,0
0.274774,0,0,0,0
0.276306,0,0,0,0
0.277697,0,0,0,0
0.279211,0,0,0,0
0.280807,0,0,0,0
0.282355,0,0,0,0
0.283904,0,0,0,0
0.285454,0,0,0,0
0.287019,0,0,0,0
0.288569,0,0,0,0
0.290117,0,0,0,0
0.291669,0,0,0,0
0.293219,0,0,0,0
0.294768,0,0,0,0
0.296348,0,0,0,0
0.297910,0,0,0,0
0.299461,0,0,0,0
0.300891,0,0,0,0
0.302414,0,0,0,0
0.304006,0,0,0,0
0.305556,0,0,0,0
0.307106,0,0,0,0
0.308668,0,0,0,0
0.310218,0,0,0,0
0.311812,0,0,0,0
0.313363,0,0,0,0
0.314911,0,0,0,0
0.316327,0,0,0,0
0.317719,0,0,0,0
0.319245,0,0,0,0
0.320839,0,0,0,0
0.322387,0,0,0,0
0.323937,0,0,0,0
0.325487,0,0,0,0
0.327038,0,0,0,0
0.328629,0,0,0,0
0.330204,0,0,0,0
0.331757,0,0,0,0
0.333299,0,0,0,0
0.334841,0,0,0,0
0.336245,0,0,0,0
0.337651,0,0,0,0
0.339047,0,0,0,0
0.340454,0,0,0,0
0.341839,0,0,0,0
0.343233,0,0,0,0
0.344661,0,0,0,0
0.346045,0,0,0,0
0.347430,0,0,0,0
0.348940,0,0,0,0
0.350492,0,0,0,0
0.351968,0,0,0,0
0.353487,0,0,0,0
0.355038,0,0,0,0
0.356629,0,0,0,0
0.358064,0,0,0,0
0.359713,0,0,0,0
0.361104,0,0,0,0
0.362541,0,0,0,0
0.363945,0,0,0,0
0.365331,0,0,0,0
0.366716,0,0,0,0
0.368104,0,0,0,0
0.369614,0,0,0,0
0.371163,0,0,0,0
0.372730,0,0,0,0
0.374276,0,0,0,0
0.375891,0,0,0,0
0.377443,0,0,0,0
0.378995,0,0,0,0
0.380545,0,0,0,0
0.382094,0,0,0,0
0.383704,0,0,0,0
0.385255,0,0,0,0
0.386804,0,0,0,0
0.388359,0,0,0,0
0.390160,0,0,0,0
0.391760,0,0,0,0
0.393312,0,0,0,0
0.394873,0,0,0,0
0.396426,0,0,0,0
0.397973,0,0,0,0
0.399568,0,0,0,0
0.401117,0,0,0,0
0.402664,0,0,0,0
0.404216,0,0,0,0
0.405778,0,0,0,0
0.407328,0,0,0,0
0.408877,0,0,0,0
0.410424,0,0,0,0
0.411973,0,0,0,0
0.413522,0,0,0,0
0.415074,0,0,0,0
0.416681,0,0,0,0
0.418229,0,0,0,0
0.419780,0,0,0,0
0.421328,0,0,0,0
0.422876,0,0,0,0
0.424431,0,0,0,0
0.425979,0,0,0,0
0.427543,0,0,0,0
0.429093,0,0,0,0
0.430640,0,0,0,0
0.432164,0,0,0,0
0.433682,0,0,0,0
0.435233,0,0,0,0
0.436782,0,0,0,0
0.438342,0,0,0,0
0.439933,0,0,0,0
0.441484,0,0,0,0
0.443033,0,0,0,0
0.444583,0,0,0,0
0.446131,0,0,0,0
0.447725,0,0,0,0
0.449288,0,0,0,0
0.450835,0,0,0,0
0.452388,0,0,0,0
0.453936,0,0,0,0
0.455531,0,0,0,0
0.457081,0,0,0,0
0.458628,0,0,0,0
0.460267,0,0,0,0
0.461814,0,0,0,0
0.463409,0,0,0,0
0.464958,0,0,0,0
0.466506,0,0,0,0
0.468055,0,0,0,0
0.469617,0,0,0,0
0.471082,0,0,0,0
0.472527,0,0,0,0
0.474044,0,0,0,0
0.475597,0,0,0,0
0.477150,0,0,0,0
0.478699,0,0,0,0
0.480256,0,0,0,0
0.481695,0,0,0,0
0.483221,0,0,0,0
0.484773,0,0,0,0
0.486325,0,0,0,0
0.487920,0,0,0,0
0.489472,0,0,0,0
0.491025,0,0,0,0
0.492582,0,0,0,0
0.494123,0,0,0,0
0.495585,0,0,0,0
0.497015,0,0,0,0
0.498405,0,0,0,0
0.499794,0,0,0,0
0.501185,0,0,0,0
0.502587,0,0,0,0
0.503975,0,0,0,0
0.505488,0,0,0,0
0.507039,0,0,0,0
0.508588,0,0,0,0
0.510136,0,0,0,0
0.511730,0,0,0,0
0.513294,0,0,0,0
0.514842,0,0,0,0
0.516396,0,0,0,0
0.517944,0,0,0,0
0.519539,0,0,0,0
0.521088,0,0,0,0
0.522636,0,0,0,0
0.524275,0,0,0,0
0.525823,0,0,0,0
0.527418,0,0,0,0
0.528967,0,0,0,0
0.530514,0,0,0,0
0.532064,0,0,0,0
0.533614,0,0,0,0
0.535178,0,0,0,0
0.536772,0,0,0,0
0.538319,0,0,0,0
0.539869,0,0,0,0
0.541419,0,0,0,0
0.542970,0,0,0,0
0.544521,0,0,0,0
0.546083,0,0,0,0
0.547631,0,0,0,0
0.549180,0,0,0,0
0.550728,0,0,0,0
0.552282,0,0,0,0
0.553830,0,0,0,0
0.555382,0,0,0,0
0.556945,0,0,0,0
0.558493,0,0,0,0
0.560084,0,0,0,0
0.561634,0,0,0,0
0.563184,0,0,0,0
0.564734,0,0,0,0
0.566282,0,0,0,0
0.567888,0,0,0,0
0.569437,0,0,0,0
0.570989,0,0,0,0
0.572551,0,0,0,0
0.574471,0,0,0,0
0.575868,0,0,0,0
0.577254,0,0,0,0
0.578645,0,0,0,0
0.580107,0,0,0,0
0.581493,0,0,0,0
0.582873,0,0,0,0
0.584330,0,0,0,0
0.585717,0,0,0,0
0.587105,0,0,0,0
0.588484,0,0,0,0
0.589997,0,0,0,0
0.591455,0,0,0,0
0.592973,0,0,0,0
0.594520,0,0,0,0
0.596069,0,0,0,0
0.597619,0,0,0,0
0.599170,0,0,0,0
0.600778,0,0,0,0
0.602326,0,0,0,0
0.603873,0,0,0,0
0.605421,0,0,0,0
0.606970,0,0,0,0
0.608519,0,0,0,0
0.610067,0,0,0,0
0.611631,0,0,0,0
0.613181,0,0,0,0
0.614728,0,0,0,0
0.616283,0,0,0,0
0.617830,0,0,0,0
0.619381,0,0,0,0
0.620931,0,0,0,0
0.622493,0,0,0,0
0.624087,0,0,0,0
0.625638,0,0,0,0
0.627188,0,0,0,0
0.628672,0,0,0,0
0.630117,0,0,0,0
0.631580,0,0,0,0
0.633145,0,0,0,0
0.634588,0,0,0,0
0.636058,0,0,0,0
0.639208,0,0,0,0
0.640644,0,0,0,0
0.641984,0,0,0,0
0.643344,0,0,0,0
0.644688,0,0,0,0
0.646027,0,0,0,0
0.647383,0,0,0,0
0.648895,0,0,0,0
0.650436,0,0,0,0
0.651853,0,0,0,0
0.653366,0,0,0,0
0.654921,0,0,0,0
0.656660,0,0,0,0
0.658209,0,0,0,0
0.659762,0,0,0,0
0.661314,0,0,0,0
0.662863,0,0,0,0
0.664420,0,0,0,0
0.665984,0,0,0,0
0.667536,0,0,0,0
0.669088,0,0,0,0
0.670637,0,0,0,0
0.672151,0,0,0,0
0.673672,0,0,0,0
0.675225,0,0,0,0
0.676778,0,0,0,0
0.678319,0,0,0,0
0.679781,0,0,0,0
0.681299,0,0,0,0
0.682847,0,0,0,0
0.684400,0,0,0,0
0.685949,0,0,0,0
0.687557,0,0,0,0
0.689108,0,0,0,0
0.690656,0,0,0,0
0.692211,0,0,0,0
0.693759,0,0,0,0
