elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
1.116295,0,0,0,0
1.117890,0,0,0,0
1.119440,0,0,0,0
1.121000,0,0,0,0
1.122607,0,0,0,0
1.124157,0,0,0,0
1.125709,0,0,0,0
1.127259,0,0,0,0
1.128808,0,0,0,0
1.130357,0,0,0,0
1.131799,0,0,0,0
1.133319,0,0,0,0
1.134831,0,0,0,0
1.136223,0,0,0,0
1.137740,0,0,0,0
1.139313,0,0,0,0
1.140865,0,0,0,0
1.142471,0,0,0,0
1.144024,0,0,0,0
1.145575,0,0,0,0
1.147116,0,0,0,0
1.148658,0,0,0,0
1.150120,0,0,0,0
1.151640,0,0,0,0
1.153200,0,0,0,0
1.154755,0,0,0,0
1.156302,0,0,0,0
1.157896,0,0,0,0
1.159447,0,0,0,0
1.160996,0,0,0,0
1.162609,0,0,0,0
1.164171,0,0,0,0
1.165724,0,0,0,0
1.167274,0,0,0,0
1.168822,0,0,0,0
1.170372,0,0,0,0
1.171924,0,0,0,0
1.173477,0,0,0,0
1.175085,0,0,0,0
1.176635,0,0,0,0
1.178187,0,0,0,0
1.179738,0,0,0,0
1.181288,0,0,0,0
1.182840,0,0,0,0
1.184389,0,0,0,0
1.185832,0,0,0,0
1.187355,0,0,0,0
1.188907,0,0,0,0
1.190504,0,0,0,0
1.192058,0,0,0,0
1.193613,0,0,0,0
1.195166,0,0,0,0
1.196733,0,0,0,0
1.198331,0,0,0,0
1.199885,0,0,0,0
1.201439,0,0,0,0
1.202990,0,0,0,0
1.204539,0,0,0,0
1.206007,0,0,0,0
1.207545,0,0,0,0
1.209098,0,0,0,0
1.210657,0,0,0,0
1.212210,0,0,0,0
1.213810,0,0,0,0
1.215365,0,0,0,0
1.216917,0,0,0,0
1.218486,0,0,0,0
1.220040,0,0,0,0
1.221595,0,0,0,0
1.223195,0,0,0,0
1.224748,0,0,0,0
1.226303,0,0,0,0
1.227867,0,0,0,0
1.229331,0,0,0,0
1.231020,0,0,0,0
1.232414,0,0,0,0
1.233937,0,0,0,0
1.235492,0,0,0,0
1.237046,0,0,0,0
1.238692,0,0,0,0
1.240134,0,0,0,0
1.241661,0,0,0,0
1.243217,0,0,0,0
1.244771,0,0,0,0
1.246371,0,0,0,0
1.247928,0,0,0,0
1.249484,0,0,0,0
1.251044,0,0,0,0
1.252589,0,0,0,0
1.254054,0,0,0,0
1.255576,0,0,0,0
1.257128,0,0,0,0
1.258685,0,0,0,0
1.260236,0,0,0,0
1.261849,0,0,0,0
1.263404,0,0,0,0
1.264956,0,0,0,0
1.266510,0,0,0,0
1.268064,0,0,0,0
1.269620,0,0,0,0
1.271221,0,0,0,0
1.272787,0,0,0,0
1.274341,0,0,0,0
1.275895,0,0,0,0
1.277451,0,0,0,0
1.279050,0,0,0,0
1.280603,0,0,0,0
1.282159,0,0,0,0
1.283725,0,0,0,0
1.285278,0,0,0,0
1.286837,0,0,0,0
1.288390,0,0,0,0
1.289945,0,0,0,0
1.291499,0,0,0,0
1.293052,0,0,0,0
1.294577,0,0,0,0
1.296100,0,0,0,0
1.297656,0,0,0,0
1.299210,0,0,0,0
1.300762,0,0,0,0
1.302359,0,0,0,0
1.303913,0,0,0,0
1.305482,0,0,0,0
1.307034,0,0,0,0
1.308584,0,0,0,0
1.310025,0,0,0,0
1.311429,0,0,0,0
1.312947,0,0,0,0
1.314501,0,0,0,0
1.316080,0,0,0,0
1.317524,0,0,0,0
1.318963,0,0,0,0
1.320353,0,0,0,0
1.321744,0,0,0,0
1.323133,0,0,0,0
1.324520,0,0,0,0
1.326064,0,0,0,0
1.327632,0,0,0,0
1.329185,0,0,0,0
1.330763,0,0,0,0
1.332316,0,0,0,0
1.333917,0,0,0,0
1.335470,0,0,0,0
1.336936,0,0,0,0
1.338928,0,0,0,0
1.340322,0,0,0,0
1.341715,0,0,0,0
1.343110,0,0,0,0
1.344499,0,0,0,0
1.345891,0,0,0,0
1.347408,0,0,0,0
1.348976,0,0,0,0
1.350445,0,0,0,0
1.351969,0,0,0,0
1.353524,0,0,0,0
1.355076,0,0,0,0
1.356799,0,0,0,0
1.358351,0,0,0,0
1.359783,0,0,0,0
1.361179,0,0,0,0
1.362576,0,0,0,0
1.363960,0,0,0,0
1.365447,0,0,0,0
1.366840,0,0,0,0
1.368402,0,0,0,0
1.369842,0,0,0,0
1.371359,0,0,0,0
1.372905,0,0,0,0
1.374373,0,0,0,0
1.375898,0,0,0,0
1.377455,0,0,0,0
1.379011,0,0,0,0
1.380578,0,0,0,0
1.382136,0,0,0,0
1.383692,0,0,0,0
1.385245,0,0,0,0
1.386806,0,0,0,0
1.388360,0,0,0,0
1.389961,0,0,0,0
1.391530,0,0,0,0
1.393083,0,0,0,0
1.394640,0,0,0,0
1.396192,0,0,0,0
1.397747,0,0,0,0
1.399301,0,0,0,0
1.400853,0,0,0,0
1.402292,0,0,0,0
1.403817,0,0,0,0
1.405372,0,0,0,0
1.406926,0,0,0,0
1.408478,0,0,0,0
1.410033,0,0,0,0
1.411587,0,0,0,0
1.413153,0,0,0,0
1.414713,0,0,0,0
1.416265,0,0,0,0
1.417820,0,0,0,0
1.419373,0,0,0,0
1.420926,0,0,0,0
1.422523,0,0,0,0
1.424089,0,0,0,0
1.425644,0,0,0,0
1.427199,0,0,0,0
1.428752,0,0,0,0
1.430305,0,0,0,0
1.431860,0,0,0,0
1.433414,0,0,0,0
1.434981,0,0,0,0
1.436533,0,0,0,0
1.438134,0,0,0,0
1.439689,0,0,0,0
1.441241,0,0,0,0
1.442799,0,0,0,0
1.444350,0,0,0,0
1.445919,0,0,0,0
1.447473,0,0,0,0
1.449025,0,0,0,0
1.450536,0,0,0,0
1.452057,0,0,0,0
1.453613,0,0,0,0
1.455214,0,0,0,0
1.456656,0,0,0,0
1.458222,0,0,0,0
1.459815,0,0,0,0
1.461409,0,0,0,0
1.463016,0,0,0,0
1.465498,0,0,0,0
1.466961,0,0,0,0
1.468396,0,0,0,0
1.469869,0,0,0,0
1.471293,0,0,0,0
1.472715,0,0,0,0
1.474138,0,0,0,0
