elapsed_s,TSE_BE_FACENESS_CULLED_PRIM,TSE_BE_ZERO_PIXEL_PRIM,TSE_BE_OUTPUT_NULL_PRIM,TSE_BE_OUTPUT_VISIBLE_PRIM
0.545881,0,0,0,0
0.547433,0,0,0,0
0.548982,0,0,0,0
0.550532,0,0,0,0
0.552082,0,0,0,0
0.553648,0,0,0,0
0.555168,0,0,0,0
0.556557,0,0,0,0
0.557943,0,0,0,0
0.559334,0,0,0,0
0.560720,0,0,0,0
0.562556,0,0,0,0
0.563969,0,0,0,0
0.565351,0,0,0,0
0.566869,0,0,0,0
0.568249,0,0,0,0
0.569853,0,0,0,0
0.571438,0,0,0,0
0.572978,0,0,0,0
0.574412,0,0,0,0
0.575934,0,0,0,0
0.577482,0,0,0,0
0.579034,0,0,0,0
0.580582,0,0,0,0
0.582133,0,0,0,0
0.583683,0,0,0,0
0.585245,0,0,0,0
0.586838,0,0,0,0
0.588388,0,0,0,0
0.589941,0,0,0,0
0.591490,0,0,0,0
0.593039,0,0,0,0
0.594632,0,0,0,0
0.596197,0,0,0,0
0.597749,0,0,0,0
0.599300,0,0,0,0
0.600846,0,0,0,0
0.602442,0,0,0,0
0.603994,0,0,0,0
0.605543,0,0,0,0
0.607112,0,0,0,0
0.608661,0,0,0,0
0.610257,0,0,0,0
0.611807,0,0,0,0
0.613356,0,0,0,0
0.614869,0,0,0,0
0.616389,0,0,0,0
0.617952,0,0,0,0
0.619549,0,0,0,0
0.621097,0,0,0,0
0.622647,0,0,0,0
0.624197,0,0,0,0
0.625749,0,0,0,0
0.627344,0,0,0,0
0.628907,0,0,0,0
0.630458,0,0,0,0
0.632007,0,0,0,0
0.633555,0,0,0,0
0.635111,0,0,0,0
0.636659,0,0,0,0
0.638210,0,0,0,0
0.639775,0,0,0,0
0.641323,0,0,0,0
0.642937,0,0,0,0
0.644486,0,0,0,0
0.646038,0,0,0,0
0.647579,0,0,0,0
0.649118,0,0,0,0
0.650592,0,0,0,0
0.652120,0,0,0,0
0.653631,0,0,0,0
0.655115,0,0,0,0
0.656503,0,0,0,0
0.658020,0,0,0,0
0.659569,0,0,0,0
0.661129,0,0,0,0
0.662678,0,0,0,0
0.664226,0,0,0,0
0.665777,0,0,0,0
0.667369,0,0,0,0
0.668916,0,0,0,0
0.670464,0,0,0,0
0.672026,0,0,0,0
0.673573,0,0,0,0
0.675127,0,0,0,0
0.676674,0,0,0,0
0.678224,0,0,0,0
0.679772,0,0,0,0
0.681319,0,0,0,0
0.682944,0,0,0,0
0.684491,0,0,0,0
0.686262,0,0,0,0
0.687663,0,0,0,0
0.689050,0,0,0,0
0.690482,0,0,0,0
0.691874,0,0,0,0
0.693277,0,0,0,0
0.694664,0,0,0,0
0.696049,0,0,0,0
0.697561,0,0,0,0
0.699114,0,0,0,0
0.700661,0,0,0,0
0.702113,0,0,0,0
0.703518,0,0,0,0
0.704902,0,0,0,0
0.706323,0,0,0,0
0.707712,0,0,0,0
0.709099,0,0,0,0
0.710488,0,0,0,0
0.711873,0,0,0,0
0.713387,0,0,0,0
0.714956,0,0,0,0
0.716504,0,0,0,0
0.718057,0,0,0,0
0.719607,0,0,0,0
0.721156,0,0,0,0
0.722749,0,0,0,0
0.724299,0,0,0,0
0.725865,0,0,0,0
0.727415,0,0,0,0
0.728964,0,0,0,0
0.730559,0,0,0,0
0.732111,0,0,0,0
0.733727,0,0,0,0
0.735085,0,0,0,0
0.736489,0,0,0,0
0.738009,0,0,0,0
0.739601,0,0,0,0
0.741148,0,0,0,0
0.742698,0,0,0,0
0.744249,0,0,0,0
0.745801,0,0,0,0
0.747409,0,0,0,0
0.748958,0,0,0,0
0.750510,0,0,0,0
0.752060,0,0,0,0
0.753608,0,0,0,0
0.755025,0,0,0,0
0.756419,0,0,0,0
0.757947,0,0,0,0
0.759497,0,0,0,0
0.761044,0,0,0,0
0.762639,0,0,0,0
0.764190,0,0,0,0
0.765742,0,0,0,0
0.767293,0,0,0,0
0.768856,0,0,0,0
0.770451,0,0,0,0
0.772001,0,0,0,0
0.773550,0,0,0,0
0.775098,0,0,0,0
0.776638,0,0,0,0
0.778103,0,0,0,0
0.779640,0,0,0,0
0.781187,0,0,0,0
0.782736,0,0,0,0
0.784285,0,0,0,0
0.785835,0,0,0,0
0.787430,0,0,0,0
0.788977,0,0,0,0
0.790539,0,0,0,0
0.792088,0,0,0,0
0.793637,0,0,0,0
0.795037,0,0,0,0
0.796429,0,0,0,0
0.797947,0,0,0,0
0.799496,0,0,0,0
0.801056,0,0,0,0
0.802649,0,0,0,0
0.804199,0,0,0,0
0.805749,0,0,0,0
0.807299,0,0,0,0
0.808847,0,0,0,0
0.810441,0,0,0,0
0.812004,0,0,0,0
0.813552,0,0,0,0
0.815106,0,0,0,0
0.816652,0,0,0,0
0.818246,0,0,0,0
0.819796,0,0,0,0
0.821343,0,0,0,0
0.822982,0,0,0,0
0.824529,0,0,0,0
0.826123,0,0,0,0
0.827673,0,0,0,0
0.829220,0,0,0,0
0.830767,0,0,0,0
0.832315,0,0,0,0
0.833879,0,0,0,0
0.835430,0,0,0,0
0.836977,0,0,0,0
0.838527,0,0,0,0
0.840076,0,0,0,0
0.841624,0,0,0,0
0.843113,0,0,0,0
0.844513,0,0,0,0
0.846031,0,0,0,0
0.847580,0,0,0,0
0.849127,0,0,0,0
0.850720,0,0,0,0
0.852265,0,0,0,0
0.853694,0,0,0,0
0.855232,0,0,0,0
0.856781,0,0,0,0
0.858378,0,0,0,0
0.859928,0,0,0,0
0.861477,0,0,0,0
0.863030,0,0,0,0
0.864579,0,0,0,0
0.866021,0,0,0,0
0.867544,0,0,0,0
0.869092,0,0,0,0
0.870642,0,0,0,0
0.872192,0,0,0,0
0.873743,0,0,0,0
0.875293,0,0,0,0
0.876862,0,0,0,0
0.878413,0,0,0,0
0.879964,0,0,0,0
0.881513,0,0,0,0
0.883069,0,0,0,0
0.884619,0,0,0,0
0.886170,0,0,0,0
0.887735,0,0,0,0
0.889281,0,0,0,0
0.890869,0,0,0,0
0.892415,0,0,0,0
0.893965,0,0,0,0
0.895513,0,0,0,0
0.897059,0,0,0,0
0.898662,0,0,0,0
0.900211,0,0,0,0
0.901760,0,0,0,0
0.903308,0,0,0,0
0.904855,0,0,0,0
0.906449,0,0,0,0
0.907997,0,0,0,0
0.909557,0,0,0,0
0.911110,0,0,0,0
0.912657,0,0,0,0
0.914251,0,0,0,0
0.915799,0,0,0,0
0.917347,0,0,0,0
0.918994,0,0,0,0
0.920430,0,0,0,0
0.921954,0,0,0,0
0.923548,0,0,0,0
0.925095,0,0,0,0
0.926643,0,0,0,0
0.928193,0,0,0,0
0.929744,0,0,0,0
0.931348,0,0,0,0
0.932895,0,0,0,0
0.934445,0,0,0,0
0.935992,0,0,0,0
0.937539,0,0,0,0
0.939093,0,0,0,0
0.940641,0,0,0,0
0.942204,0,0,0,0
0.943753,0,0,0,0
0.945300,0,0,0,0
0.946764,0,0,0,0
0.948284,0,0,0,0
0.949836,0,0,0,0
0.951385,0,0,0,0
0.952945,0,0,0,0
0.954540,0,0,0,0
0.956089,0,0,0,0
0.957637,0,0,0,0
0.959124,0,0,0,0
0.960759,0,0,0,0
0.962326,0,0,0,0
0.963888,0,0,0,0
0.965436,0,0,0,0
0.966990,0,0,0,0
0.968538,0,0,0,0
0.970133,0,0,0,0
0.971769,0,0,0,0
0.973317,0,0,0,0
0.974810,0,0,0,0
0.976214,0,0,0,0
0.977642,0,0,0,0
0.979070,0,0,0,0
0.980537,0,0,0,0
0.981972,0,0,0,0
0.983522,0,0,0,0
0.985099,0,0,0,0
0.986698,0,0,0,0
0.988252,0,0,0,0
0.989807,0,0,0,0
0.991361,0,0,0,0
0.992913,0,0,0,0
0.994511,0,0,0,0
0.996164,0,0,0,0
0.998026,0,0,0,0
0.999429,0,0,0,0
1.000830,0,0,0,0
1.002270,0,0,0,0
1.003661,0,0,0,0
1.005050,0,0,0,0
1.006451,0,0,0,0
1.007840,0,0,0,0
1.009229,0,0,0,0
1.010653,0,0,0,0
1.012043,0,0,0,0
1.013431,0,0,0,0
1.014821,0,0,0,0
1.016968,0,0,0,0
1.018561,0,0,0,0
1.019954,0,0,0,0
1.021342,0,0,0,0
1.022832,0,0,0,0
1.024224,0,0,0,0
1.025614,0,0,0,0
1.027095,0,0,0,0
1.028533,0,0,0,0
1.029923,0,0,0,0
1.031435,0,0,0,0
1.032979,0,0,0,0
1.034445,0,0,0,0
1.035911,0,0,0,0
1.037303,0,0,0,0
1.038703,0,0,0,0
1.040094,0,0,0,0
1.041483,0,0,0,0
1.042875,0,0,0,0
1.044391,0,0,0,0
1.045946,0,0,0,0
1.047499,0,0,0,0
1.049063,0,0,0,0
1.050660,0,0,0,0
1.052211,0,0,0,0
1.053639,0,0,0,0
1.055195,0,0,0,0
1.056748,0,0,0,0
1.058348,0,0,0,0
1.059916,0,0,0,0
1.061468,0,0,0,0
1.063027,0,0,0,0
1.064578,0,0,0,0
1.066179,0,0,0,0
1.067736,0,0,0,0
1.069288,0,0,0,0
1.070726,0,0,0,0
1.072251,0,0,0,0
1.073807,0,0,0,0
1.075406,0,0,0,0
1.076960,0,0,0,0
1.078516,0,0,0,0
