elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.246264,0,0,0,0,0,0,0,0,0,0,0,0
0.247670,0,0,0,0,0,0,0,0,0,0,0,0
0.249025,0,0,0,0,0,0,0,0,0,0,0,0
0.250383,0,0,0,0,0,0,0,0,0,0,0,0
0.251749,0,0,0,0,0,0,0,0,0,0,0,0
0.253095,0,0,0,0,0,0,0,0,0,0,0,0
0.254426,0,0,0,0,0,0,0,0,0,0,0,0
0.255789,0,0,0,0,0,0,0,0,0,0,0,0
0.257122,0,0,0,0,0,0,0,0,0,0,0,0
0.258454,0,0,0,0,0,0,0,0,0,0,0,0
0.259884,0,0,0,0,0,0,0,0,0,0,0,0
0.261244,0,0,0,0,0,0,0,0,0,0,0,0
0.262582,0,0,0,0,0,0,0,0,0,0,0,0
0.263917,0,0,0,0,0,0,0,0,0,0,0,0
0.265250,0,0,0,0,0,0,0,0,0,0,0,0
0.266583,0,0,0,0,0,0,0,0,0,0,0,0
0.267917,0,0,0,0,0,0,0,0,0,0,0,0
0.269230,0,0,0,0,0,0,0,0,0,0,0,0
0.270623,0,0,0,0,0,0,0,0,0,0,0,0
0.272018,0,0,0,0,0,0,0,0,0,0,0,0
0.273411,0,0,0,0,0,0,0,0,0,0,0,0
0.274804,0,0,0,0,0,0,0,0,0,0,0,0
0.276196,0,0,0,0,0,0,0,0,0,0,0,0
0.277587,0,0,0,0,0,0,0,0,0,0,0,0
0.278988,0,0,0,0,0,0,0,0,0,0,0,0
0.280432,0,0,0,0,0,0,0,0,0,0,0,0
0.281827,0,0,0,0,0,0,0,0,0,0,0,0
0.283223,0,0,0,0,0,0,0,0,0,0,0,0
0.284615,0,0,0,0,0,0,0,0,0,0,0,0
0.286007,0,0,0,0,0,0,0,0,0,0,0,0
0.287423,0,0,0,0,0,0,0,0,0,0,0,0
0.288806,0,0,0,0,0,0,0,0,0,0,0,0
0.290188,0,0,0,0,0,0,0,0,0,0,0,0
0.291573,0,0,0,0,0,0,0,0,0,0,0,0
0.292996,0,0,0,0,0,0,0,0,0,0,0,0
0.294384,0,0,0,0,0,0,0,0,0,0,0,0
0.295832,0,0,0,0,0,0,0,0,0,0,0,0
0.297216,0,0,0,0,0,0,0,0,0,0,0,0
0.298601,0,0,0,0,0,0,0,0,0,0,0,0
0.299983,0,0,0,0,0,0,0,0,0,0,0,0
0.301452,0,0,0,0,0,0,0,0,0,0,0,0
0.302973,0,0,131072,0,0,0,131072,0,0,16384,0,0
0.304318,0,0,0,0,0,0,0,0,0,0,0,0
0.305756,0,0,0,0,0,0,0,0,0,0,0,0
0.307187,0,0,0,0,0,0,0,0,0,0,0,0
0.308619,0,0,0,0,0,0,0,0,0,0,0,0
0.310047,0,0,0,0,0,0,0,0,0,0,0,0
0.311484,0,0,0,0,0,0,0,0,0,0,0,0
0.312928,0,0,0,0,0,0,0,0,0,0,0,0
0.314365,0,0,0,0,0,0,0,0,0,0,0,0
0.316244,0,0,0,0,0,0,0,0,0,0,0,0
0.317703,0,0,0,0,0,0,0,0,0,0,0,0
0.322615,0,0,0,0,0,0,0,0,0,0,0,0
0.324040,0,0,0,0,0,0,0,0,0,0,0,0
0.325478,0,0,0,0,0,0,0,0,0,0,0,0
0.326902,0,0,0,0,0,0,0,0,0,0,0,0
0.328325,0,0,0,0,0,0,0,0,0,0,0,0
0.329747,0,0,0,0,0,0,0,0,0,0,0,0
0.332303,0,0,0,0,0,0,0,0,0,0,0,0
0.333764,0,0,0,0,0,0,0,0,0,0,0,0
0.335170,0,0,0,0,0,0,0,0,0,0,0,0
0.336580,0,0,0,0,0,0,0,0,0,0,0,0
0.337964,0,0,0,0,0,0,0,0,0,0,0,0
0.339349,0,0,0,0,0,0,0,0,0,0,0,0
0.340733,0,0,0,0,0,0,0,0,0,0,0,0
0.342122,0,0,0,0,0,0,0,0,0,0,0,0
0.343505,0,0,0,0,0,0,0,0,0,0,0,0
0.344889,0,0,0,0,0,0,0,0,0,0,0,0
0.346270,0,0,0,0,0,0,0,0,0,0,0,0
0.347755,0,0,0,0,0,0,0,0,0,0,0,0
0.349264,0,0,0,0,0,0,0,0,0,0,0,0
0.350869,0,0,0,0,0,0,0,0,0,0,0,0
0.352471,0,0,0,0,0,0,0,0,0,0,0,0
0.354062,0,0,0,0,0,0,0,0,0,0,0,0
0.355657,0,0,0,0,0,0,0,0,0,0,0,0
0.357251,0,0,0,0,0,0,0,0,0,0,0,0
0.358734,0,0,0,0,0,0,0,0,0,0,0,0
0.360169,0,0,0,0,0,0,0,0,0,0,0,0
0.361597,0,0,0,0,0,0,0,0,0,0,0,0
0.363027,0,0,0,0,0,0,0,0,0,0,0,0
0.364498,0,0,0,0,0,0,0,0,0,0,0,0
0.365927,0,0,0,0,0,0,0,0,0,0,0,0
0.367476,0,0,0,0,0,0,0,0,0,0,0,0
0.369083,0,0,0,0,0,0,0,0,0,0,0,0
0.370679,0,0,0,0,0,0,0,0,0,0,0,0
0.372315,0,0,0,0,0,0,0,0,0,0,0,0
0.373907,0,0,0,0,0,0,0,0,0,0,0,0
0.375501,0,0,0,0,0,0,0,0,0,0,0,0
0.377095,0,0,0,0,0,0,0,0,0,0,0,0
0.378691,0,0,0,0,0,0,0,0,0,0,0,0
0.380342,0,0,0,0,0,0,0,0,0,0,0,0
0.381935,0,0,0,0,0,0,0,0,0,0,0,0
0.383530,0,0,0,0,0,0,0,0,0,0,0,0
0.385124,0,0,0,0,0,0,0,0,0,0,0,0
0.386720,0,0,0,0,0,0,0,0,0,0,0,0
0.388314,0,0,0,0,0,0,0,0,0,0,0,0
0.389907,0,0,0,0,0,0,0,0,0,0,0,0
0.391514,0,0,0,0,0,0,0,0,0,0,0,0
0.393107,0,0,0,0,0,0,0,0,0,0,0,0
0.394717,0,0,0,0,0,0,0,0,0,0,0,0
0.396199,0,0,0,0,0,0,0,0,0,0,0,0
0.397634,0,0,0,0,0,0,0,0,0,0,0,0
0.399063,0,0,0,0,0,0,0,0,0,0,0,0
0.400496,0,0,0,0,0,0,0,0,0,0,0,0
0.401936,0,0,0,0,0,0,0,0,0,0,0,0
0.403369,0,0,0,0,0,0,0,0,0,0,0,0
0.404983,0,0,0,0,0,0,0,0,0,0,0,0
0.406579,0,0,0,0,0,0,0,0,0,0,0,0
0.408176,0,0,0,0,0,0,0,0,0,0,0,0
0.409769,0,0,0,0,0,0,0,0,0,0,0,0
0.411366,0,0,0,0,0,0,0,0,0,0,0,0
0.412975,0,0,0,0,0,0,0,0,0,0,0,0
0.414644,0,0,0,0,0,0,0,0,0,0,0,0
0.416204,0,0,0,0,0,0,0,0,0,0,0,0
0.417674,0,0,0,0,0,0,0,0,0,0,0,0
0.419064,0,0,0,0,0,0,0,0,0,0,0,0
0.420448,0,0,0,0,0,0,0,0,0,0,0,0
0.421827,0,0,0,0,0,0,0,0,0,0,0,0
0.423227,0,0,0,0,0,0,0,0,0,0,0,0
0.424608,0,0,0,0,0,0,0,0,0,0,0,0
0.425986,0,0,0,0,0,0,0,0,0,0,0,0
0.427412,0,0,0,0,0,0,0,0,0,0,0,0
0.428787,0,0,0,0,0,0,0,0,0,0,0,0
0.430135,0,0,0,0,0,0,0,0,0,0,0,0
0.431484,0,0,0,0,0,0,0,0,0,0,0,0
