elapsed_s,VPC_BE_STALL_CYCLES_HLSQ_PRIM_ALLOC,VPC_BE_STALL_CYCLES_SP_LM,VPC_BE_NUM_PA_REQ,VPC_BE_NUM_LM_REQ_HIT,VPC_BE_NUM_ATTR_REQ_LM,VPC_BE_LM_TRANSACTION
0.068853,0,0,0,0,0,0
0.070238,0,0,0,0,0,0
0.071514,0,0,0,0,0,0
0.072823,0,0,0,0,0,0
0.074097,0,0,0,0,0,0
0.075371,0,0,0,0,0,0
0.076666,0,0,0,0,0,0
0.077946,0,0,0,0,0,0
0.079219,0,0,0,0,0,0
0.080663,0,0,0,0,0,0
0.081935,0,0,0,0,0,0
0.083278,0,0,0,0,0,0
0.084612,0,0,0,0,0,0
0.085889,0,0,0,0,0,0
0.087161,0,0,0,0,0,0
0.088484,0,0,0,0,0,0
0.089769,0,0,0,0,0,0
0.091042,0,0,0,0,0,0
0.092316,0,0,0,0,0,0
0.093593,0,0,0,0,0,0
0.094867,0,0,0,0,0,0
0.096187,0,0,0,0,0,0
0.097552,0,0,0,0,0,0
0.098901,0,0,0,0,0,0
0.100101,0,0,0,0,0,0
0.101487,0,0,0,0,0,0
0.102866,0,0,0,0,0,0
0.104188,0,0,0,0,0,0
0.105458,0,0,0,0,0,0
0.106727,0,0,0,0,0,0
0.107996,0,0,0,0,0,0
0.109373,0,0,0,0,0,0
0.110641,0,0,0,0,0,0
0.111959,0,0,0,0,0,0
0.113339,0,0,0,0,0,0
0.114722,0,0,0,0,0,0
0.116155,0,0,0,0,0,0
0.117483,0,0,0,0,0,0
0.118843,0,0,0,0,0,0
0.120322,0,0,0,0,0,0
0.121797,0,0,0,0,0,0
0.123272,0,0,0,0,0,0
0.124688,0,0,0,0,0,0
0.126072,0,0,0,0,0,0
0.127541,0,0,0,0,0,0
0.130259,0,0,0,0,0,0
0.131818,0,0,0,0,0,0
0.133355,0,0,0,0,0,0
0.134750,0,0,0,0,0,0
0.136156,0,0,0,0,0,0
0.137552,0,0,0,0,0,0
0.139015,0,0,0,0,0,0
0.140415,0,0,0,0,0,0
0.141810,0,0,0,0,0,0
0.143206,0,0,0,0,0,0
0.144601,0,0,0,0,0,0
0.145992,0,0,0,0,0,0
0.147391,0,0,0,0,0,0
0.148868,0,0,0,0,0,0
0.150261,0,0,0,0,0,0
0.151727,0,0,0,0,0,0
0.153131,0,0,0,0,0,0
