elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.131305,0,0,0,0,0,0
0.132705,0,0,0,0,0,0
0.134105,0,0,0,0,0,0
0.135503,0,0,0,0,0,0
0.136900,0,0,0,0,0,0
0.138310,0,0,0,0,0,0
0.139912,0,0,0,0,0,0
0.141477,0,0,0,0,0,0
0.143036,0,0,0,0,0,0
0.144601,0,0,0,0,0,0
0.146165,0,0,0,0,0,0
0.147730,0,0,0,0,0,0
0.149365,0,0,0,0,0,0
0.150927,0,0,0,0,0,0
0.152489,0,0,0,0,0,0
0.154056,0,0,0,0,0,0
0.155618,0,0,0,0,0,0
0.157179,0,0,0,0,0,0
0.158748,0,0,0,0,0,0
0.160322,0,0,0,0,0,0
0.161888,0,0,0,0,0,0
0.163485,0,0,0,0,0,0
0.165037,0,0,0,0,0,0
0.166573,0,0,0,0,0,0
0.168105,0,0,0,0,0,0
0.169670,0,0,0,0,0,0
0.171246,0,0,0,0,0,0
0.172807,0,0,0,0,0,0
0.174371,0,0,0,0,0,0
0.175934,0,0,0,0,0,0
0.177499,0,0,0,0,0,0
0.179116,0,0,0,0,0,0
0.180677,0,0,0,0,0,0
0.182255,0,0,0,0,0,0
0.183818,0,0,0,0,0,0
0.185384,0,0,0,0,0,0
0.186948,0,0,0,0,0,0
0.188509,0,0,0,0,0,0
0.190074,0,0,0,0,0,0
0.191639,0,0,0,0,0,0
0.193213,0,0,0,0,0,0
0.194783,0,0,0,0,0,0
0.196219,0,0,0,0,0,0
0.197623,0,0,0,0,0,0
0.199017,0,0,0,0,0,0
0.200405,0,0,0,0,0,0
0.201794,0,0,0,0,0,0
0.203196,0,0,0,0,0,0
0.204586,0,0,0,0,0,0
0.205978,0,0,0,0,0,0
0.207378,0,0,0,0,0,0
0.208773,0,0,0,0,0,0
0.210167,0,0,0,0,0,0
0.211607,0,0,0,0,0,0
0.212972,0,0,0,0,0,0
0.214344,0,0,0,0,0,0
0.215708,0,0,0,0,0,0
0.217072,0,0,0,0,0,0
0.218462,0,0,0,0,0,0
0.219825,0,0,0,0,0,0
0.221188,0,0,0,0,0,0
0.222613,0,0,0,0,0,0
0.223975,0,0,0,0,0,0
0.225339,0,0,0,0,0,0
0.226704,0,0,0,0,0,0
0.228477,0,0,0,0,0,0
0.230177,0,0,0,0,0,0
0.231534,0,0,0,0,0,0
0.232888,0,0,0,0,0,0
0.234241,0,0,0,0,0,0
0.235895,0,0,0,0,0,0
0.237248,0,0,0,0,0,0
0.238886,0,0,0,0,0,0
0.240235,0,0,0,0,0,0
0.241583,0,0,0,0,0,0
0.242965,0,0,0,0,0,0
0.244384,0,0,0,0,0,0
0.245808,0,0,0,0,0,0
0.247226,0,0,0,0,0,0
0.248644,0,0,0,0,0,0
0.250061,0,0,0,0,0,0
0.251476,0,0,0,0,0,0
0.252894,0,0,0,0,0,0
0.254205,0,0,0,0,0,0
0.255624,0,0,0,0,0,0
0.256942,0,0,0,0,0,0
0.258377,0,0,0,0,0,0
0.259797,0,0,0,0,0,0
0.261215,0,0,0,0,0,0
0.262629,0,0,0,0,0,0
0.264022,0,0,0,0,0,0
0.265382,0,0,0,0,0,0
0.266735,2,44,53,0,8,0
0.268179,0,0,0,0,0,0
0.269551,0,0,0,0,0,0
0.270900,0,0,0,0,0,0
0.272245,0,0,0,0,0,0
0.273644,0,0,0,0,0,0
0.275010,0,0,0,0,0,0
0.276410,0,0,0,0,0,0
0.277805,12,107,358,0,36,0
0.279202,0,0,0,0,0,0
0.280597,0,0,0,0,0,0
0.281993,0,0,0,0,0,0
0.283391,0,0,0,0,0,0
0.284787,0,0,0,0,0,0
0.286186,0,0,0,0,0,0
0.287627,0,0,0,0,0,0
0.289028,0,0,0,0,0,0
0.290740,0,0,0,0,0,0
0.292170,0,0,0,0,0,0
0.293557,0,0,0,0,0,0
0.294948,0,0,0,0,0,0
0.296338,0,0,0,0,0,0
0.300178,0,0,0,0,0,0
0.302560,0,0,0,0,0,0
0.303984,0,0,0,0,0,0
0.305402,0,0,0,0,0,0
0.306794,0,0,0,0,0,0
0.308232,0,0,0,0,0,0
0.309763,0,0,0,0,0,0
0.311171,0,0,0,0,0,0
0.312544,0,0,0,0,0,0
0.313898,0,0,0,0,0,0
0.315250,0,0,0,0,0,0
0.316598,0,0,0,0,0,0
0.317950,0,0,0,0,0,0
0.319301,0,0,0,0,0,0
0.320650,0,0,0,0,0,0
0.322002,0,0,0,0,0,0
0.323494,0,0,0,0,0,0
0.325068,0,0,0,0,0,0
0.326635,0,0,0,0,0,0
0.328196,0,0,0,0,0,0
0.329760,0,0,0,0,0,0
0.331219,0,0,0,0,0,0
0.332749,0,0,0,0,0,0
