elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
1.862301,0,0,3084528,3084888,0,0
1.864973,0,0,2160510,2160072,0,0
1.866518,0,0,2240616,2241030,0,0
1.868087,0,0,2230896,2230470,0,0
1.869654,0,0,2228610,2228598,0,0
1.871222,0,0,2230350,2230344,0,0
1.872790,0,0,2220102,2220108,0,0
1.874359,0,0,2236014,2235984,0,0
1.875970,0,0,2225070,2224980,0,0
1.877549,0,0,2222034,2222118,0,0
1.879119,0,0,2226522,2226600,0,0
1.880686,0,0,2220798,2220708,0,0
1.882252,0,0,2593734,2593740,0,0
1.883963,0,0,2221998,2221992,0,0
1.885529,0,0,2220702,2220684,0,0
1.887099,0,0,2223888,2223744,0,0
1.888678,0,0,2225208,2225340,0,0
1.890285,0,0,2238390,2238744,0,0
1.891897,0,0,2234058,2233692,0,0
1.893463,0,0,2222568,2222568,0,0
1.894913,0,0,2226924,2226912,0,0
1.896480,0,0,2227524,2227440,0,0
1.898046,0,0,2248032,2248110,0,0
1.899632,0,0,2221992,2221986,0,0
1.901198,0,0,2217372,2217288,0,0
1.902768,0,0,2224854,2224926,0,0
1.904336,0,0,2220264,2220264,0,0
1.905901,0,0,2222142,2222136,0,0
1.907417,0,0,2166306,2166300,0,0
1.908955,0,0,2221674,2221674,0,0
1.910537,0,0,2216232,2216214,0,0
1.912103,0,0,2218584,2218494,0,0
1.913669,0,0,2221116,2221182,0,0
1.915237,0,0,2224596,2224518,0,0
1.916805,0,0,2224014,2224014,0,0
1.918374,0,0,2224620,2224566,0,0
1.919943,0,0,2227110,2227152,0,0
1.921521,0,0,2214900,2214966,0,0
1.923090,0,0,2224476,2224476,0,0
1.924659,0,0,2220582,2220498,0,0
1.926225,0,0,2456100,2456394,0,0
1.927836,0,0,2227518,2227290,0,0
1.929403,0,0,2223348,2223210,0,0
1.930973,0,0,2219388,2219430,0,0
1.933053,0,0,2380974,2381136,0,0
1.934508,0,0,2169762,2169678,0,0
1.935935,0,0,2147574,2147568,0,0
1.937333,0,0,2143452,2143512,0,0
1.938730,0,0,2167818,2167746,0,0
1.940179,0,0,2168880,2168706,0,0
1.941582,0,0,2165802,2166036,0,0
1.943127,0,0,2231832,2231664,0,0
1.944696,0,0,2224074,2224230,0,0
1.946346,0,0,3051960,3051882,0,0
1.947935,0,0,2174508,2174490,0,0
1.949341,0,0,2162154,2162154,0,0
1.950876,0,0,2233062,2233488,0,0
1.952443,0,0,2221638,2221206,0,0
1.954020,0,0,2245530,2245518,0,0
1.955591,0,0,2466426,2466420,0,0
1.957201,0,0,2219664,2219580,0,0
1.958769,0,0,2235864,2235858,0,0
1.960337,0,0,2226846,2226924,0,0
1.961904,0,0,2220774,2220684,0,0
1.963534,0,0,2221950,2222028,0,0
1.964985,0,0,2070174,2067162,0,0
1.966522,0,0,2051208,2051280,0,0
1.968085,0,0,2055336,2055330,0,0
1.969646,0,0,2053224,2053146,0,0
1.971209,0,0,2064030,2064174,0,0
1.972774,0,0,2048730,2048640,0,0
1.974339,0,0,2060370,2060370,0,0
1.975923,0,0,2050890,2050884,0,0
1.977484,0,0,2048622,2048538,0,0
1.979048,0,0,2060820,2060820,0,0
1.980612,0,0,2053932,2053926,0,0
1.982174,0,0,2083260,2083122,0,0
1.983741,0,0,2048382,2048508,0,0
1.985302,0,0,2051952,2051898,0,0
1.986879,0,0,2057784,2058024,0,0
1.988486,0,0,2059710,2059506,0,0
1.990047,0,0,2050002,2050074,0,0
1.991615,0,0,2055768,2055756,0,0
1.993176,0,0,2055636,2055702,0,0
1.994741,0,0,2058270,2058114,0,0
1.996305,0,0,2053086,2053086,0,0
1.997880,0,0,2053884,2053872,0,0
1.999444,0,0,2057160,2057226,0,0
2.001007,0,0,2047332,2047128,0,0
2.002572,0,0,2050206,2050404,0,0
2.004178,0,0,2050752,2050668,0,0
2.005739,0,0,2049798,2049822,0,0
2.007303,0,0,2058558,2058528,0,0
2.008754,0,0,2000904,2001048,0,0
2.010291,0,0,2052996,2053032,0,0
2.011854,0,0,2048706,2048658,0,0
2.013415,0,0,2048724,2048712,0,0
2.014981,0,0,2054040,2054088,0,0
2.016545,0,0,2047062,2046936,0,0
2.018108,0,0,1826520,1826640,0,0
2.019517,0,0,2285178,2284926,0,0
2.021093,0,0,2045886,2046072,0,0
2.022658,0,0,2040564,2040552,0,0
2.024218,0,0,2056158,2056086,0,0
2.025788,0,0,2360220,2360208,0,0
2.027290,0,0,2023920,2024118,0,0
2.028701,0,0,2035590,2035500,0,0
2.030251,0,0,2055480,2055558,0,0
2.031868,0,0,2054610,2054472,0,0
2.033431,0,0,2056890,2056938,0,0
2.034997,0,0,2063694,2063562,0,0
2.036607,0,0,2059338,2059416,0,0
2.038170,0,0,2077524,2077632,0,0
2.039740,0,0,2042742,2042742,0,0
2.041317,0,0,2059380,2059182,0,0
2.042884,0,0,2061312,2061300,0,0
2.044451,0,0,2057334,2057724,0,0
2.046015,0,0,2073072,2072664,0,0
2.047584,0,0,2053398,2053470,0,0
2.049147,0,0,2054784,2054904,0,0
2.050714,0,0,2033874,2033670,0,0
2.052325,0,0,2035956,2036022,0,0
