elapsed_s,HLSQ_FS_S2W_CYCLES,HLSQ_LPAC_S2W_CYCLES,HLSQ_BV_S2W_CYCLES,HLSQ_VSBR_WAIT_FS_S2W,HLSQ_FS_WAIT_VS_S2W,HLSQ_LPAC_WAIT_VS_S2W
0.111702,0,0,0,0,0,0
0.113050,0,0,0,0,0,0
0.114395,0,0,0,0,0,0
0.115739,0,0,0,0,0,0
0.117081,0,0,0,0,0,0
0.118437,0,0,0,0,0,0
0.119784,0,0,0,0,0,0
0.121131,0,0,0,0,0,0
0.122490,0,0,0,0,0,0
0.123908,0,0,0,0,0,0
0.125304,0,0,0,0,0,0
0.126697,0,0,0,0,0,0
0.128090,0,0,0,0,0,0
0.129490,0,0,0,0,0,0
0.130882,0,0,0,0,0,0
0.132274,0,0,0,0,0,0
0.133767,0,0,0,0,0,0
0.135165,0,0,0,0,0,0
0.136563,0,0,0,0,0,0
0.137997,0,0,0,0,0,0
0.139433,0,0,0,0,0,0
0.140843,0,0,0,0,0,0
0.142370,0,0,0,0,0,0
0.143932,0,0,0,0,0,0
0.145496,0,0,0,0,0,0
0.147050,0,0,0,0,0,0
0.148859,0,0,0,0,0,0
0.150294,0,0,0,0,0,0
0.151724,0,0,0,0,0,0
0.153126,0,0,0,0,0,0
0.154570,0,0,0,0,0,0
0.155968,0,0,0,0,0,0
0.157366,0,0,0,0,0,0
0.158815,0,0,0,0,0,0
0.160244,0,0,0,0,0,0
0.161824,0,0,0,0,0,0
0.163401,0,0,0,0,0,0
0.164966,0,0,0,0,0,0
0.166530,0,0,0,0,0,0
0.168091,0,0,0,0,0,0
0.169655,0,0,0,0,0,0
0.171220,0,0,0,0,0,0
0.172785,0,0,0,0,0,0
0.174352,0,0,0,0,0,0
0.175905,0,0,0,0,0,0
0.177332,0,0,0,0,0,0
0.178854,0,0,0,0,0,0
0.180406,0,0,0,0,0,0
0.181968,0,0,0,0,0,0
0.183528,0,0,0,0,0,0
0.185104,0,0,0,0,0,0
0.186711,0,0,0,0,0,0
0.188272,0,0,0,0,0,0
0.189889,0,0,0,0,0,0
0.191450,0,0,0,0,0,0
0.193013,0,0,0,0,0,0
0.194447,0,0,0,0,0,0
0.195992,0,0,0,0,0,0
0.197557,0,0,0,0,0,0
0.199122,0,0,0,0,0,0
0.200689,0,0,0,0,0,0
0.202296,0,0,0,0,0,0
0.203859,0,0,0,0,0,0
0.205425,0,0,0,0,0,0
0.206900,0,0,0,0,0,0
0.208289,0,0,0,0,0,0
0.209844,0,0,0,0,0,0
0.211187,0,0,0,0,0,0
0.212527,0,0,0,0,0,0
0.213849,0,0,0,0,0,0
0.215196,0,0,0,0,0,0
0.216542,0,0,0,0,0,0
0.218187,0,0,0,0,0,0
0.219526,0,0,0,0,0,0
0.220853,0,0,0,0,0,0
0.222176,0,0,0,0,0,0
0.223498,0,0,0,0,0,0
0.224867,0,0,0,0,0,0
0.226189,0,0,0,0,0,0
0.227510,0,0,0,0,0,0
0.228840,0,0,0,0,0,0
0.230157,0,0,0,0,0,0
0.231473,0,0,0,0,0,0
0.232838,0,0,0,0,0,0
0.234195,0,0,0,0,0,0
0.235572,0,0,0,0,0,0
0.236833,0,0,0,0,0,0
0.238200,0,0,0,0,0,0
0.239570,0,0,0,0,0,0
0.240987,0,0,0,0,0,0
0.242357,0,0,0,0,0,0
0.243727,0,0,0,0,0,0
0.245145,0,0,0,0,0,0
0.246406,0,0,0,0,0,0
0.247774,0,0,0,0,0,0
0.249191,0,0,0,0,0,0
0.250584,0,0,0,0,0,0
0.251972,0,0,0,0,0,0
0.253330,0,0,0,0,0,0
0.254703,0,0,0,0,0,0
0.256061,0,0,0,0,0,0
0.257412,0,0,0,0,0,0
0.258764,0,0,0,0,0,0
0.260116,0,0,0,0,0,0
0.261478,0,0,0,0,0,0
0.263050,0,0,0,0,0,0
0.264407,0,0,0,0,0,0
0.265766,0,0,0,0,0,0
0.267435,0,0,0,0,0,0
0.268856,0,0,0,0,0,0
0.270254,0,0,0,0,0,0
0.271680,804,0,0,0,13,0
0.273064,324,0,0,0,10,0
0.274465,0,0,0,0,0,0
0.275864,0,0,0,0,0,0
0.277262,0,0,0,0,0,0
0.278659,0,0,0,0,0,0
0.280053,0,0,0,0,0,0
0.281493,0,0,0,0,0,0
0.282973,0,0,0,0,0,0
0.284435,0,0,0,0,0,0
0.285992,0,0,0,0,0,0
0.287758,0,0,0,0,0,0
0.289150,0,0,0,0,0,0
0.290539,0,0,0,0,0,0
0.291926,0,0,0,0,0,0
0.293322,0,0,0,0,0,0
0.294710,0,0,0,0,0,0
0.296098,0,0,0,0,0,0
0.297491,0,0,0,0,0,0
0.298925,0,0,0,0,0,0
0.300323,0,0,0,0,0,0
0.301814,0,0,0,0,0,0
0.303204,0,0,0,0,0,0
0.304674,0,0,0,0,0,0
0.306096,0,0,0,0,0,0
0.307484,0,0,0,0,0,0
0.308874,0,0,0,0,0,0
0.310535,0,0,0,0,0,0
0.312094,0,0,0,0,0,0
0.313656,0,0,0,0,0,0
0.315231,0,0,0,0,0,0
0.316794,0,0,0,0,0,0
0.318355,0,0,0,0,0,0
0.319914,0,0,0,0,0,0
0.321477,0,0,0,0,0,0
0.323038,0,0,0,0,0,0
0.324601,0,0,0,0,0,0
0.326173,0,0,0,0,0,0
0.327732,0,0,0,0,0,0
0.329167,0,0,0,0,0,0
0.330743,0,0,0,0,0,0
0.332306,0,0,0,0,0,0
0.333874,0,0,0,0,0,0
0.335436,0,0,0,0,0,0
0.337015,0,0,0,0,0,0
0.338579,0,0,0,0,0,0
0.340141,0,0,0,0,0,0
0.341706,0,0,0,0,0,0
0.343270,0,0,0,0,0,0
0.344978,0,0,0,0,0,0
0.346424,0,0,0,0,0,0
0.347839,0,0,0,0,0,0
0.349371,0,0,0,0,0,0
0.350936,0,0,0,0,0,0
