elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_VS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_VS,HLSQ_STPROC_WAVE_CONTEXTS_FS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_FS,HLSQ_STPROC_WAVE_CONTEXTS_BV,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_BV
0.232535,0,0,0,0,0,0
0.234139,0,0,0,0,0,0
0.235699,0,0,0,0,0,0
0.237257,0,0,0,0,0,0
0.238817,0,0,0,0,0,0
0.240376,0,0,0,0,0,0
0.241935,0,0,0,0,0,0
0.243506,0,0,0,0,0,0
0.245061,0,0,0,0,0,0
0.246495,0,0,0,0,0,0
0.248026,0,0,0,0,0,0
0.249586,0,0,0,0,0,0
0.251154,0,0,0,0,0,0
0.252714,0,0,0,0,0,0
0.254290,0,0,0,0,0,0
0.255851,0,0,0,0,0,0
0.257411,0,0,0,0,0,0
0.258977,0,0,0,0,0,0
0.260538,0,0,0,0,0,0
0.262100,0,0,0,0,0,0
0.263662,0,0,0,0,0,0
0.265233,0,0,0,0,0,0
0.266840,0,0,0,0,0,0
0.268401,0,0,0,0,0,0
0.269965,0,0,0,0,0,0
0.271527,0,0,0,0,0,0
0.273088,0,0,0,0,0,0
0.274649,0,0,0,0,0,0
0.276225,0,0,0,0,0,0
0.277837,0,0,0,0,0,0
0.279400,0,0,0,0,0,0
0.280961,0,0,0,0,0,0
0.282568,0,0,0,0,0,0
0.284130,0,0,0,0,0,0
0.285774,0,0,0,0,0,0
0.287285,0,0,0,0,0,0
0.288690,0,0,0,0,0,0
0.290220,0,0,0,0,0,0
0.291782,0,0,0,0,0,0
0.293342,0,0,0,0,0,0
0.294952,0,0,0,0,0,0
0.296503,0,0,0,0,0,0
0.297944,0,0,0,0,0,0
0.299519,0,0,0,0,0,0
0.301078,0,0,0,0,0,0
0.302639,0,0,0,0,0,0
0.304200,0,0,0,0,0,0
0.305763,0,0,0,0,0,0
0.307325,0,0,0,0,0,0
0.308898,0,0,0,0,0,0
0.310461,0,0,0,0,0,0
0.312022,0,0,0,0,0,0
0.313582,0,0,0,0,0,0
0.315147,0,0,0,0,0,0
0.316706,0,0,0,0,0,0
0.318269,0,0,0,0,0,0
0.319844,0,0,0,0,0,0
0.321404,0,0,0,0,0,0
0.322969,0,0,0,0,0,0
0.324528,0,0,0,0,0,0
0.326091,0,0,0,0,0,0
0.327652,0,0,0,0,0,0
0.329212,0,0,0,0,0,0
0.330699,0,0,0,0,0,0
0.332230,0,0,0,0,0,0
0.333794,0,0,0,0,0,0
0.335354,0,0,0,0,0,0
0.336913,0,0,0,0,0,0
0.338475,0,0,0,0,0,0
0.340036,0,0,0,0,0,0
0.341610,0,0,0,0,0,0
0.343175,0,0,0,0,0,0
0.344735,0,0,0,0,0,0
0.346340,0,0,0,0,0,0
0.347903,0,0,0,0,0,0
0.349462,0,0,0,0,0,0
0.351025,0,0,0,0,0,0
0.352595,0,0,0,0,0,0
0.354061,0,0,0,0,0,0
0.355598,0,0,0,0,0,0
0.357159,0,0,0,0,0,0
0.358720,0,0,0,0,0,0
0.360273,0,0,0,0,0,0
0.361856,0,0,0,0,0,0
0.363477,0,0,0,0,0,0
0.365037,0,0,0,0,0,0
