elapsed_s,RAS_SLICE_BLOCK_EMPTY,RAS_SAMPLE_MASK_GEN_LANE_0_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_1_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_2_WORKING_CC_L2
0.556269,0,0,0,0
0.557831,0,0,0,0
0.559380,0,0,0,0
0.561248,0,0,0,0
0.562844,0,0,0,0
0.564393,0,0,0,0
0.565943,0,0,0,0
0.567494,0,0,0,0
0.569059,0,0,0,0
0.570611,0,0,0,0
0.572160,0,0,0,0
0.573712,0,0,0,0
0.575262,0,0,0,0
0.576811,0,0,0,0
0.578368,0,0,0,0
0.579931,0,0,0,0
0.581484,0,0,0,0
0.583035,0,0,0,0
0.584585,0,0,0,0
0.586135,0,0,0,0
0.587686,0,0,0,0
0.589239,0,0,0,0
0.590803,0,0,0,0
0.592352,0,0,0,0
0.593946,0,0,0,0
0.595734,0,0,0,0
0.597153,0,0,0,0
0.598544,0,0,0,0
0.599930,0,0,0,0
0.601330,0,0,0,0
0.602742,0,0,0,0
0.604135,0,0,0,0
0.605653,0,0,0,0
0.607203,0,0,0,0
0.608754,0,0,0,0
0.610193,0,0,0,0
0.611745,0,0,0,0
0.613297,0,0,0,0
0.614848,0,0,0,0
0.616398,0,0,0,0
0.617948,0,0,0,0
0.619499,0,0,0,0
0.621050,0,0,0,0
0.622614,0,0,0,0
0.624164,0,0,0,0
0.625759,0,0,0,0
0.627311,0,0,0,0
0.628859,0,0,0,0
0.630414,0,0,0,0
0.631963,0,0,0,0
0.633529,0,0,0,0
0.635080,0,0,0,0
0.636629,0,0,0,0
0.638263,0,0,0,0
0.639813,0,0,0,0
0.641409,0,0,0,0
0.642965,0,0,0,0
0.644554,0,0,0,0
0.646077,0,0,0,0
0.647628,0,0,0,0
0.649180,0,0,0,0
0.650722,0,0,0,0
0.652261,0,0,0,0
0.653678,0,0,0,0
0.655207,0,0,0,0
0.656755,0,0,0,0
0.658310,0,0,0,0
0.659858,0,0,0,0
0.661410,0,0,0,0
0.662959,0,0,0,0
0.664507,0,0,0,0
0.666070,0,0,0,0
0.667619,0,0,0,0
0.669169,0,0,0,0
0.670719,0,0,0,0
0.672267,0,0,0,0
0.673859,0,0,0,0
0.675407,0,0,0,0
0.676847,0,0,0,0
0.678378,0,0,0,0
0.679928,0,0,0,0
0.681479,0,0,0,0
0.683031,0,0,0,0
0.684580,0,0,0,0
0.686131,0,0,0,0
0.687694,0,0,0,0
