elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.275190,0,0,0,0
0.276574,0,0,0,0
0.277959,0,0,0,0
0.279394,0,0,0,0
0.280786,0,0,0,0
0.282304,0,0,0,0
0.283744,0,0,0,0
0.285138,0,0,0,0
0.286571,0,0,0,0
0.287959,0,0,0,0
0.289346,0,0,0,0
0.290735,0,0,0,0
0.292120,0,0,0,0
0.293634,0,0,0,0
0.295204,0,0,0,0
0.296753,0,0,0,0
0.298306,0,0,0,0
0.299856,0,0,0,0
0.301406,0,0,0,0
0.303020,0,0,0,0
0.304570,0,0,0,0
0.306135,0,0,0,0
0.307686,0,0,0,0
0.309236,0,0,0,0
0.310830,0,0,0,0
0.312381,0,0,0,0
0.313933,0,0,0,0
0.315484,0,0,0,0
0.317047,0,0,0,0
0.318640,0,0,0,0
0.320190,0,0,0,0
0.321742,0,0,0,0
0.323294,0,0,0,0
0.324843,0,0,0,0
0.326440,0,0,0,0
0.328005,0,0,0,0
0.329554,0,0,0,0
0.331085,0,0,0,0
0.332605,0,0,0,0
0.334201,0,0,0,0
0.335753,0,0,0,0
0.337302,0,0,0,0
0.338866,0,0,0,0
0.340418,0,0,0,0
0.341970,0,0,0,0
0.343564,0,0,0,0
0.345113,0,0,0,0
0.346664,0,0,0,0
0.348120,0,0,0,0
0.349591,0,0,0,0
0.351113,0,0,0,0
0.352662,0,0,0,0
0.354215,0,0,0,0
0.355756,0,0,0,0
0.357297,0,0,0,0
0.358757,0,0,0,0
0.360289,0,0,0,0
0.361842,0,0,0,0
0.363393,0,0,0,0
0.364943,0,0,0,0
0.366539,0,0,0,0
0.368091,0,0,0,0
0.369640,0,0,0,0
0.371210,0,0,0,0
0.372759,0,0,0,0
0.374355,0,0,0,0
0.375906,0,0,0,0
0.377456,0,0,0,0
0.379010,0,0,0,0
0.380558,0,0,0,0
0.382168,0,0,0,0
0.383720,0,0,0,0
0.385270,0,0,0,0
0.386820,0,0,0,0
0.388371,0,0,0,0
0.389923,0,0,0,0
0.391518,0,0,0,0
0.393081,0,0,0,0
