elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
1.883768,0,0,1694412,1694406,0,0
1.885377,0,0,1778340,1778334,0,0
1.887009,0,0,1695918,1695936,0,0
1.888619,0,0,1699812,1699788,0,0
1.890233,0,0,1763100,1763088,0,0
1.891844,0,0,1697148,1697148,0,0
1.893546,0,0,1502976,1503180,0,0
1.894974,0,0,1658460,1658358,0,0
1.896419,0,0,1659444,1659318,0,0
1.898009,0,0,1701870,1701870,0,0
1.899620,0,0,1695996,1695984,0,0
1.901231,0,0,1719570,1719678,0,0
1.902849,0,0,1696992,1696890,0,0
1.904330,0,0,1728294,1728288,0,0
1.905916,0,0,1762968,1762962,0,0
1.907527,0,0,1699860,1699836,0,0
1.909057,0,0,1644144,1644258,0,0
1.910689,0,0,1767048,1767036,0,0
1.912301,0,0,1701798,1701792,0,0
1.913915,0,0,1707630,1707624,0,0
1.915527,0,0,1761102,1761102,0,0
1.917137,0,0,1968492,1969440,0,0
1.918853,0,0,1697508,1696842,0,0
1.920477,0,0,1696794,1696476,0,0
1.922090,0,0,1751142,1751136,0,0
1.923699,0,0,1689096,1689108,0,0
1.925686,0,0,1681296,1681266,0,0
1.927177,0,0,1848618,1848522,0,0
1.928671,0,0,1666242,1666356,0,0
1.930118,0,0,1668690,1668558,0,0
1.931581,0,0,1665144,1665156,0,0
1.933022,0,0,1658610,1659006,0,0
1.934508,0,0,1663878,1663482,0,0
1.935949,0,0,1655574,1655658,0,0
1.937527,0,0,1703802,1703802,0,0
1.939139,0,0,1761276,1761138,0,0
1.940749,0,0,1697514,1697526,0,0
1.942423,0,0,1702074,1702074,0,0
1.944036,0,0,1697646,1697736,0,0
1.945649,0,0,1763520,1763514,0,0
1.947261,0,0,1694424,1694322,0,0
1.948872,0,0,1698150,1698246,0,0
1.950533,0,0,1700130,1700106,0,0
1.952145,0,0,1694700,1694712,0,0
1.953773,0,0,1691778,1691772,0,0
1.955385,0,0,1759662,1759662,0,0
1.956993,0,0,1696044,1696020,0,0
1.958653,0,0,2653044,2653044,0,0
1.960416,0,0,1668396,1668390,0,0
1.961927,0,0,1730250,1730226,0,0
1.963508,0,0,1706172,1706190,0,0
1.965135,0,0,1914714,1927044,0,0
1.966807,0,0,1718058,1705620,0,0
1.968421,0,0,1703316,1703412,0,0
1.970036,0,0,1703574,1703436,0,0
1.971651,0,0,1708698,1708818,0,0
1.973266,0,0,1713582,1713576,0,0
1.974886,0,0,1706436,1706412,0,0
1.976514,0,0,1707864,1707774,0,0
1.978130,0,0,1704000,1704096,0,0
1.979745,0,0,1699866,1699764,0,0
1.981357,0,0,1790568,1790652,0,0
1.982977,0,0,1762698,1762578,0,0
1.984590,0,0,1766784,1767216,0,0
1.986205,0,0,1765410,1765098,0,0
1.987835,0,0,1705590,1705572,0,0
1.989448,0,0,2157186,2157186,0,0
1.991250,0,0,1761276,1761162,0,0
1.992862,0,0,1699776,1699770,0,0
1.994476,0,0,1702338,1702434,0,0
1.996090,0,0,1700064,1699950,0,0
1.997704,0,0,1896696,1896798,0,0
1.999383,0,0,1697052,1697040,0,0
2.000085,0,0,1698810,1698906,0,0
