elapsed_s,HLSQ_L2STC_REQ_INS_HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,HLSQ_L2STC_REQ_INS_SP,HLSQ_L2STC_REQ_INS_SP_HIT,HLSQ_L2STC_REQ_UCHE,HLSQ_L2STC_LATENCY_CYCLES
0.448855,0,0,0,0,0,0
0.450377,0,0,0,0,0,0
0.451809,0,0,0,0,0,0
0.453338,0,0,0,0,0,0
0.454910,0,0,0,0,0,0
0.456367,0,0,0,0,0,0
0.457828,0,0,0,0,0,0
0.459358,0,0,0,0,0,0
0.460924,0,0,0,0,0,0
0.462486,0,0,0,0,0,0
0.464055,0,0,0,0,0,0
0.465631,0,0,0,0,0,0
0.467192,0,0,0,0,0,0
0.468755,0,0,0,0,0,0
0.470317,0,0,0,0,0,0
0.471881,0,0,0,0,0,0
0.473488,0,0,0,0,0,0
0.475049,0,0,0,0,0,0
0.476626,0,0,0,0,0,0
0.478189,0,0,0,0,0,0
0.479753,0,0,0,0,0,0
0.481315,0,0,0,0,0,0
0.482876,0,0,0,0,0,0
0.484440,0,0,0,0,0,0
0.486002,0,0,0,0,0,0
0.487576,0,0,0,0,0,0
0.489144,0,0,0,0,0,0
0.490704,0,0,0,0,0,0
0.492202,0,0,0,0,0,0
0.493749,0,0,0,0,0,0
0.495301,0,0,0,0,0,0
0.496811,0,0,0,0,0,0
0.498227,0,0,0,0,0,0
0.499627,0,0,0,0,0,0
0.501063,0,0,0,0,0,0
0.502460,0,0,0,0,0,0
0.503860,0,0,0,0,0,0
0.505426,0,0,0,0,0,0
0.506988,0,0,0,0,0,0
0.508564,0,0,0,0,0,0
0.510126,0,0,0,0,0,0
0.511691,0,0,0,0,0,0
0.513254,0,0,0,0,0,0
0.514817,0,0,0,0,0,0
0.516380,0,0,0,0,0,0
0.517944,0,0,0,0,0,0
0.519518,0,0,0,0,0,0
0.521088,0,0,0,0,0,0
0.522649,0,0,0,0,0,0
0.524213,0,0,0,0,0,0
0.525777,0,0,0,0,0,0
0.527338,0,0,0,0,0,0
0.528988,0,0,0,0,0,0
0.530562,0,0,0,0,0,0
0.532126,0,0,0,0,0,0
0.533688,0,0,0,0,0,0
0.535248,0,0,0,0,0,0
0.536854,0,0,0,0,0,0
0.538417,0,0,0,0,0,0
0.539980,0,0,0,0,0,0
0.541557,0,0,0,0,0,0
0.543118,0,0,0,0,0,0
0.544681,0,0,0,0,0,0
0.546243,0,0,0,0,0,0
0.547808,0,0,0,0,0,0
0.549371,0,0,0,0,0,0
0.550932,0,0,0,0,0,0
0.552427,0,0,0,0,0,0
0.553953,0,0,0,0,0,0
0.555504,0,0,0,0,0,0
0.556911,0,0,0,0,0,0
0.558313,0,0,0,0,0,0
0.559842,0,0,0,0,0,0
0.561403,0,0,0,0,0,0
0.562976,0,0,0,0,0,0
0.564537,0,0,0,0,0,0
0.566099,0,0,0,0,0,0
0.567663,0,0,0,0,0,0
0.569224,0,0,0,0,0,0
0.570784,0,0,0,0,0,0
0.572347,0,0,0,0,0,0
0.573923,0,0,0,0,0,0
0.575482,0,0,0,0,0,0
0.577088,0,0,0,0,0,0
0.578648,0,0,0,0,0,0
0.580210,0,0,0,0,0,0
0.582192,0,0,0,0,0,0
0.583599,0,0,0,0,0,0
0.585058,0,0,0,0,0,0
0.586456,0,0,0,0,0,0
0.587855,0,0,0,0,0,0
0.589251,0,0,0,0,0,0
0.590775,0,0,0,0,0,0
0.592337,0,0,0,0,0,0
0.593899,0,0,0,0,0,0
0.595509,0,0,0,0,0,0
0.597075,0,0,0,0,0,0
0.598635,0,0,0,0,0,0
0.600242,0,0,0,0,0,0
0.601804,0,0,0,0,0,0
0.603364,0,0,0,0,0,0
0.604930,0,0,0,0,0,0
0.606502,0,0,0,0,0,0
0.608065,0,0,0,0,0,0
0.609627,0,0,0,0,0,0
0.611187,0,0,0,0,0,0
0.612748,0,0,0,0,0,0
0.614310,0,0,0,0,0,0
0.615872,0,0,0,0,0,0
0.617491,0,0,0,0,0,0
0.619052,0,0,0,0,0,0
0.620612,0,0,0,0,0,0
0.622052,0,0,0,0,0,0
0.623583,0,0,0,0,0,0
0.625253,0,0,0,0,0,0
0.626858,0,0,0,0,0,0
0.628440,0,0,0,0,0,0
0.630001,0,0,0,0,0,0
0.631559,0,0,0,0,0,0
0.633125,0,0,0,0,0,0
0.634684,0,0,0,0,0,0
0.636246,0,0,0,0,0,0
0.637806,0,0,0,0,0,0
0.639378,0,0,0,0,0,0
0.640943,0,0,0,0,0,0
0.642501,0,0,0,0,0,0
0.644063,0,0,0,0,0,0
0.645623,0,0,0,0,0,0
0.647181,0,0,0,0,0,0
0.648785,0,0,0,0,0,0
0.650360,0,0,0,0,0,0
0.651922,0,0,0,0,0,0
0.653481,0,0,0,0,0,0
0.655040,0,0,0,0,0,0
0.656599,0,0,0,0,0,0
0.657999,0,0,0,0,0,0
0.659404,0,0,0,0,0,0
0.660908,0,0,0,0,0,0
0.662433,0,0,0,0,0,0
0.663996,0,0,0,0,0,0
0.665557,0,0,0,0,0,0
0.667115,0,0,0,0,0,0
0.668676,0,0,0,0,0,0
0.670238,0,0,0,0,0,0
0.671813,0,0,0,0,0,0
0.673374,0,0,0,0,0,0
0.674931,0,0,0,0,0,0
0.676493,0,0,0,0,0,0
0.678053,0,0,0,0,0,0
0.679612,0,0,0,0,0,0
0.681038,0,0,0,0,0,0
0.682452,0,0,0,0,0,0
0.683982,0,0,0,0,0,0
0.685542,0,0,0,0,0,0
0.687101,0,0,0,0,0,0
0.688661,0,0,0,0,0,0
0.690222,0,0,0,0,0,0
0.691784,0,0,0,0,0,0
0.693358,0,0,0,0,0,0
0.694918,0,0,0,0,0,0
0.696522,0,0,0,0,0,0
0.697956,0,0,0,0,0,0
0.699485,0,0,0,0,0,0
0.701089,0,0,0,0,0,0
0.702548,0,0,0,0,0,0
0.704097,0,0,0,0,0,0
0.705661,0,0,0,0,0,0
0.707223,0,0,0,0,0,0
0.708785,0,0,0,0,0,0
0.710348,0,0,0,0,0,0
0.711913,0,0,0,0,0,0
0.713521,0,0,0,0,0,0
0.715096,0,0,0,0,0,0
0.716659,0,0,0,0,0,0
0.718220,0,0,0,0,0,0
0.719792,0,0,0,0,0,0
0.721356,0,0,0,0,0,0
0.722917,0,0,0,0,0,0
0.724480,0,0,0,0,0,0
0.726056,0,0,0,0,0,0
0.727617,0,0,0,0,0,0
0.729240,0,0,0,0,0,0
0.730801,0,0,0,0,0,0
0.732366,0,0,0,0,0,0
0.733928,0,0,0,0,0,0
0.735489,0,0,0,0,0,0
0.737070,0,0,0,0,0,0
0.738633,0,0,0,0,0,0
0.740196,0,0,0,0,0,0
0.741759,0,0,0,0,0,0
0.743320,0,0,0,0,0,0
0.744945,0,0,0,0,0,0
0.746504,0,0,0,0,0,0
0.748083,0,0,0,0,0,0
0.749646,0,0,0,0,0,0
0.751208,0,0,0,0,0,0
0.752771,0,0,0,0,0,0
0.754333,0,0,0,0,0,0
0.755898,0,0,0,0,0,0
0.757461,0,0,0,0,0,0
0.759034,0,0,0,0,0,0
0.760641,0,0,0,0,0,0
0.762195,0,0,0,0,0,0
0.763859,0,0,0,0,0,0
0.765293,0,0,0,0,0,0
0.766694,0,0,0,0,0,0
0.768224,0,0,0,0,0,0
0.769799,0,0,0,0,0,0
0.771361,0,0,0,0,0,0
0.772927,0,0,0,0,0,0
0.774488,0,0,0,0,0,0
0.776097,0,0,0,0,0,0
0.777661,0,0,0,0,0,0
0.779222,0,0,0,0,0,0
0.780667,0,0,0,0,0,0
0.782190,0,0,0,0,0,0
0.783787,0,0,0,0,0,0
0.785349,0,0,0,0,0,0
0.786908,0,0,0,0,0,0
0.788472,0,0,0,0,0,0
0.790034,0,0,0,0,0,0
0.791607,0,0,0,0,0,0
0.793026,0,0,0,0,0,0
0.794426,0,0,0,0,0,0
0.795955,0,0,0,0,0,0
0.797516,0,0,0,0,0,0
0.799077,0,0,0,0,0,0
0.800638,0,0,0,0,0,0
0.802214,0,0,0,0,0,0
0.803778,0,0,0,0,0,0
0.805339,0,0,0,0,0,0
0.806899,0,0,0,0,0,0
0.808507,0,0,0,0,0,0
0.810068,0,0,0,0,0,0
0.811629,0,0,0,0,0,0
0.813223,0,0,0,0,0,0
0.814626,0,0,0,0,0,0
0.816155,0,0,0,0,0,0
0.817717,0,0,0,0,0,0
0.819277,0,0,0,0,0,0
0.820837,0,0,0,0,0,0
0.822397,0,0,0,0,0,0
0.823973,0,0,0,0,0,0
0.825580,0,0,0,0,0,0
0.827139,0,0,0,0,0,0
0.828701,0,0,0,0,0,0
0.830263,0,0,0,0,0,0
0.831826,0,0,0,0,0,0
0.833388,0,0,0,0,0,0
0.834962,0,0,0,0,0,0
0.836523,0,0,0,0,0,0
0.838085,0,0,0,0,0,0
0.839713,0,0,0,0,0,0
0.841382,0,0,0,0,0,0
0.842942,0,0,0,0,0,0
0.844504,0,0,0,0,0,0
0.846081,0,0,0,0,0,0
0.847696,0,0,0,0,0,0
0.849256,0,0,0,0,0,0
0.850816,0,0,0,0,0,0
0.852379,0,0,0,0,0,0
0.853941,0,0,0,0,0,0
0.855501,0,0,0,0,0,0
0.857078,0,0,0,0,0,0
0.858501,0,0,0,0,0,0
0.860513,0,0,0,0,0,0
0.862081,0,0,0,0,0,0
0.863771,0,0,0,0,0,0
0.865323,0,0,0,0,0,0
0.866874,0,0,0,0,0,0
0.868319,0,0,0,0,0,0
0.869852,0,0,0,0,0,0
0.871413,0,0,0,0,0,0
0.872979,0,0,0,0,0,0
0.874539,0,0,0,0,0,0
0.876104,0,0,0,0,0,0
0.877666,0,0,0,0,0,0
0.879117,0,0,0,0,0,0
0.880651,0,0,0,0,0,0
0.882214,0,0,0,0,0,0
0.883779,0,0,0,0,0,0
0.885343,0,0,0,0,0,0
0.886904,0,0,0,0,0,0
0.888512,0,0,0,0,0,0
0.890096,0,0,0,0,0,0
0.891725,0,0,0,0,0,0
0.893350,0,0,0,0,0,0
0.894911,0,0,0,0,0,0
0.896477,0,0,0,0,0,0
0.898040,0,0,0,0,0,0
0.899708,0,0,0,0,0,0
0.901235,0,0,0,0,0,0
0.902638,0,0,0,0,0,0
0.904211,0,0,0,0,0,0
0.905774,0,0,0,0,0,0
0.907336,0,0,0,0,0,0
0.908989,0,0,0,0,0,0
0.910551,0,0,0,0,0,0
0.912127,0,0,0,0,0,0
0.913690,0,0,0,0,0,0
0.915252,0,0,0,0,0,0
0.916814,0,0,0,0,0,0
0.918377,0,0,0,0,0,0
0.919941,0,0,0,0,0,0
0.921548,0,0,0,0,0,0
0.922999,0,0,0,0,0,0
0.924532,0,0,0,0,0,0
0.926096,0,0,0,0,0,0
