elapsed_s,HLSQ_FS_S2W_CYCLES,HLSQ_LPAC_S2W_CYCLES,HLSQ_BV_S2W_CYCLES,HLSQ_VSBR_WAIT_FS_S2W,HLSQ_FS_WAIT_VS_S2W,HLSQ_LPAC_WAIT_VS_S2W
0.298379,0,0,0,0,0,0
0.299940,0,0,0,0,0,0
0.301500,0,0,0,0,0,0
0.303061,0,0,0,0,0,0
0.304635,0,0,0,0,0,0
0.306111,0,0,0,0,0,0
0.307567,0,0,0,0,0,0
0.309018,0,0,0,0,0,0
0.310406,0,0,0,0,0,0
0.311795,0,0,0,0,0,0
0.313181,0,0,0,0,0,0
0.314581,0,0,0,0,0,0
0.315970,0,0,0,0,0,0
0.317358,0,0,0,0,0,0
0.319038,0,0,0,0,0,0
0.320431,0,0,0,0,0,0
0.321819,0,0,0,0,0,0
0.323371,0,0,0,0,0,0
0.324744,0,0,0,0,0,0
0.326135,0,0,0,0,0,0
0.327554,0,0,0,0,0,0
0.328917,0,0,0,0,0,0
0.330281,0,0,0,0,0,0
0.331645,0,0,0,0,0,0
0.333008,0,0,0,0,0,0
0.335035,0,0,0,0,0,0
0.336450,0,0,0,0,0,0
0.337832,0,0,0,0,0,0
0.339317,0,0,0,0,0,0
0.340683,0,0,0,0,0,0
0.342140,0,0,0,0,0,0
0.343825,0,0,0,0,0,0
0.345413,0,0,0,0,0,0
0.347128,0,0,0,0,0,0
0.348947,0,0,0,0,0,0
0.351449,0,0,0,0,0,0
0.352913,0,0,0,0,0,0
0.354297,0,0,0,0,0,0
0.355685,0,0,0,0,0,0
0.357028,0,0,0,0,0,0
0.358360,0,0,0,0,0,0
0.359693,0,0,0,0,0,0
0.361026,0,0,0,0,0,0
0.362430,0,0,0,0,0,0
0.363784,0,0,0,0,0,0
0.365075,0,0,0,0,0,0
0.366363,0,0,0,0,0,0
0.367658,0,0,0,0,0,0
0.368945,0,0,0,0,0,0
0.370231,0,0,0,0,0,0
0.371530,0,0,0,0,0,0
0.372874,0,0,0,0,0,0
0.374216,0,0,0,0,0,0
0.375561,0,0,0,0,0,0
0.376973,0,0,0,0,0,0
0.378410,0,0,0,0,0,0
0.379839,0,0,0,0,0,0
0.381267,0,0,0,0,0,0
0.382697,0,0,0,0,0,0
0.384126,0,0,0,0,0,0
0.385555,0,0,0,0,0,0
0.387035,0,0,0,0,0,0
0.388610,0,0,0,0,0,0
0.390173,0,0,0,0,0,0
0.391735,0,0,0,0,0,0
0.393294,0,0,0,0,0,0
0.394857,0,0,0,0,0,0
0.396419,0,0,0,0,0,0
0.397978,0,0,0,0,0,0
0.399557,0,0,0,0,0,0
0.401117,0,0,0,0,0,0
0.402723,0,0,0,0,0,0
0.404284,0,0,0,0,0,0
0.405844,0,0,0,0,0,0
0.407407,0,0,0,0,0,0
0.408966,0,0,0,0,0,0
0.410420,0,0,0,0,0,0
0.411953,0,0,0,0,0,0
0.413513,0,0,0,0,0,0
0.415074,0,0,0,0,0,0
0.416635,0,0,0,0,0,0
0.418199,0,0,0,0,0,0
0.419795,0,0,0,0,0,0
0.421359,0,0,0,0,0,0
0.422789,0,0,0,0,0,0
0.424321,0,0,0,0,0,0
0.425880,0,0,0,0,0,0
0.427445,0,0,0,0,0,0
0.429005,0,0,0,0,0,0
0.430566,0,0,0,0,0,0
0.432140,0,0,0,0,0,0
0.433699,0,0,0,0,0,0
0.435305,0,0,0,0,0,0
0.436866,0,0,0,0,0,0
0.438430,0,0,0,0,0,0
0.439983,0,0,0,0,0,0
0.441534,0,0,0,0,0,0
0.442978,0,0,0,0,0,0
0.444506,0,0,0,0,0,0
0.446057,0,0,0,0,0,0
0.447507,0,0,0,0,0,0
0.448908,0,0,0,0,0,0
0.450438,0,0,0,0,0,0
0.452045,0,0,0,0,0,0
0.453499,0,0,0,0,0,0
0.455031,0,0,0,0,0,0
0.456549,0,0,0,0,0,0
0.457950,0,0,0,0,0,0
0.459370,0,0,0,0,0,0
0.460767,0,0,0,0,0,0
0.462196,0,0,0,0,0,0
0.463603,0,0,0,0,0,0
0.465000,0,0,0,0,0,0
0.466400,0,0,0,0,0,0
0.467839,0,0,0,0,0,0
0.469235,0,0,0,0,0,0
0.470763,0,0,0,0,0,0
0.472324,0,0,0,0,0,0
0.473897,0,0,0,0,0,0
0.475463,0,0,0,0,0,0
0.477023,0,0,0,0,0,0
0.478587,0,0,0,0,0,0
0.480148,0,0,0,0,0,0
0.481708,0,0,0,0,0,0
0.483314,0,0,0,0,0,0
0.484890,0,0,0,0,0,0
0.486454,0,0,0,0,0,0
0.488014,0,0,0,0,0,0
0.489575,0,0,0,0,0,0
0.491137,0,0,0,0,0,0
0.492699,0,0,0,0,0,0
0.494261,0,0,0,0,0,0
0.495835,0,0,0,0,0,0
0.497395,0,0,0,0,0,0
0.499001,0,0,0,0,0,0
0.500562,0,0,0,0,0,0
0.502125,0,0,0,0,0,0
0.503678,0,0,0,0,0,0
0.505229,0,0,0,0,0,0
0.506673,0,0,0,0,0,0
0.508319,0,0,0,0,0,0
0.509757,0,0,0,0,0,0
0.511158,0,0,0,0,0,0
0.512664,0,0,0,0,0,0
0.514117,0,0,0,0,0,0
0.516836,0,0,0,0,0,0
0.518244,0,0,0,0,0,0
0.519772,0,0,0,0,0,0
0.521332,0,0,0,0,0,0
0.522896,0,0,0,0,0,0
0.524448,0,0,0,0,0,0
0.525999,0,0,0,0,0,0
0.527823,0,0,0,0,0,0
0.529516,0,0,0,0,0,0
0.531011,0,0,0,0,0,0
0.532463,0,0,0,0,0,0
0.533906,0,0,0,0,0,0
0.535365,0,0,0,0,0,0
0.538361,0,0,0,0,0,0
0.539919,0,0,0,0,0,0
0.541325,0,0,0,0,0,0
0.542721,0,0,0,0,0,0
0.544114,0,0,0,0,0,0
0.545504,0,0,0,0,0,0
0.547138,0,0,0,0,0,0
0.548648,0,0,0,0,0,0
0.550222,0,0,0,0,0,0
0.551780,0,0,0,0,0,0
0.553305,0,0,0,0,0,0
0.554745,0,0,0,0,0,0
0.556152,0,0,0,0,0,0
0.557549,0,0,0,0,0,0
0.558951,0,0,0,0,0,0
0.560363,0,0,0,0,0,0
0.561761,0,0,0,0,0,0
0.563402,0,0,0,0,0,0
0.564962,0,0,0,0,0,0
0.566524,0,0,0,0,0,0
0.568084,0,0,0,0,0,0
0.569643,0,0,0,0,0,0
0.571218,0,0,0,0,0,0
0.572780,0,0,0,0,0,0
0.574343,0,0,0,0,0,0
0.575905,0,0,0,0,0,0
0.577464,0,0,0,0,0,0
0.579069,0,0,0,0,0,0
0.580632,0,0,0,0,0,0
0.582208,0,0,0,0,0,0
0.583770,0,0,0,0,0,0
0.585329,0,0,0,0,0,0
0.586937,0,0,0,0,0,0
