elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.597795,0,0,0,0
0.599173,0,0,0,0
0.600613,0,0,0,0
0.601989,0,0,0,0
0.603366,0,0,0,0
0.604745,0,0,0,0
0.606133,0,0,0,0
0.607651,0,0,0,0
0.609030,0,0,0,0
0.610407,0,0,0,0
0.611784,0,0,0,0
0.613211,0,0,0,0
0.614564,0,0,0,0
0.615920,0,0,0,0
0.617282,0,0,0,0
0.618636,0,0,0,0
0.619989,0,0,0,0
0.621341,0,0,0,0
0.622694,0,0,0,0
0.624047,0,0,0,0
0.625400,0,0,0,0
0.626752,0,0,0,0
0.628113,0,0,0,0
0.629505,0,0,0,0
0.630847,0,0,0,0
0.632187,0,0,0,0
0.633529,0,0,0,0
0.634870,0,0,0,0
0.636211,0,0,0,0
0.637550,0,0,0,0
0.638894,0,0,0,0
0.640233,0,0,0,0
0.641572,0,0,0,0
0.642910,0,0,0,0
0.644349,0,0,0,0
0.645772,0,0,0,0
0.647141,0,0,0,0
0.648509,0,0,0,0
0.649765,0,0,0,0
0.651125,0,0,0,0
0.652475,0,0,0,0
0.653895,0,0,0,0
0.655316,0,0,0,0
0.656647,0,0,0,0
0.658058,0,0,0,0
0.659475,0,0,0,0
0.660742,0,0,0,0
0.662012,0,0,0,0
0.663407,0,0,0,0
0.665086,0,0,0,0
0.666513,0,0,0,0
0.668083,0,0,0,0
0.669515,0,0,0,0
0.670919,0,0,0,0
0.672302,0,0,0,0
0.673681,0,0,0,0
0.675454,0,0,0,0
0.676913,0,0,0,0
0.678306,0,0,0,0
0.679694,0,0,0,0
0.681092,0,0,0,0
0.682476,0,0,0,0
0.683860,0,0,0,0
0.685245,0,0,0,0
0.686627,0,0,0,0
0.688010,0,0,0,0
0.689395,0,0,0,0
0.690776,0,0,0,0
0.692166,0,0,0,0
0.693585,0,0,0,0
0.694960,0,0,0,0
0.696338,0,0,0,0
0.697717,0,0,0,0
0.699095,0,0,0,0
0.700515,0,0,0,0
0.701894,0,0,0,0
0.703282,0,0,0,0
0.705218,0,0,0,0
0.706599,0,0,0,0
0.708402,0,0,0,0
0.709877,0,0,0,0
0.711299,0,0,0,0
0.712673,0,0,0,0
0.714066,0,0,0,0
0.715451,0,0,0,0
0.716830,0,0,0,0
0.718337,0,0,0,0
0.719749,0,0,0,0
0.721332,0,0,0,0
0.722872,0,0,0,0
0.724303,0,0,0,0
0.725826,0,0,0,0
0.727378,0,0,0,0
0.728928,0,0,0,0
0.730476,0,0,0,0
0.732027,0,0,0,0
0.733577,0,0,0,0
0.735140,0,0,0,0
0.736715,0,0,0,0
0.738264,0,0,0,0
0.739815,0,0,0,0
0.741407,0,0,0,0
0.742956,0,0,0,0
0.744504,0,0,0,0
0.746065,0,0,0,0
0.747616,0,0,0,0
0.749166,0,0,0,0
0.750716,0,0,0,0
0.752264,0,0,0,0
0.753814,0,0,0,0
0.755366,0,0,0,0
0.756804,0,0,0,0
0.758366,0,0,0,0
0.759917,0,0,0,0
0.761466,0,0,0,0
0.763014,0,0,0,0
0.764527,0,0,0,0
0.766045,0,0,0,0
0.767607,0,0,0,0
0.769156,0,0,0,0
0.770704,0,0,0,0
0.772253,0,0,0,0
0.773805,0,0,0,0
0.775355,0,0,0,0
0.776903,0,0,0,0
0.778463,0,0,0,0
0.780015,0,0,0,0
0.781566,0,0,0,0
0.783113,0,0,0,0
0.784668,0,0,0,0
0.786216,0,0,0,0
0.787768,0,0,0,0
0.789371,0,0,0,0
0.791753,0,0,0,0
0.793180,0,0,0,0
0.794572,0,0,0,0
0.795958,0,0,0,0
0.797338,0,0,0,0
0.798716,0,0,0,0
0.800103,0,0,0,0
0.801483,0,0,0,0
0.802860,0,0,0,0
0.804237,0,0,0,0
0.805672,0,0,0,0
0.807028,0,0,0,0
0.808467,0,0,0,0
0.809821,0,0,0,0
0.811182,0,0,0,0
0.812609,0,0,0,0
0.813962,0,0,0,0
0.815344,0,0,0,0
0.816700,0,0,0,0
0.818053,0,0,0,0
