elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
0.988823,0,0,0
0.990367,0,0,0
0.991915,0,0,0
0.993474,0,0,0
0.995020,0,0,0
0.996562,0,0,0
0.998107,0,0,0
0.999652,0,0,0
1.001194,0,0,0
1.002783,0,0,0
1.004339,0,0,0
1.005886,0,0,0
1.007476,0,0,0
1.009021,0,0,0
1.010756,0,0,0
1.012237,0,0,0
1.013630,0,0,0
1.015148,0,0,0
1.016683,0,0,0
1.018098,0,0,0
1.019615,0,0,0
1.021160,0,0,0
1.022710,0,0,0
1.024254,0,0,0
1.025815,0,0,0
1.027362,0,0,0
1.028906,0,0,0
1.030519,0,0,0
1.032064,0,0,0
1.033612,0,0,0
1.035053,0,0,0
1.036441,0,0,0
1.037865,0,0,0
1.039241,0,0,0
1.040641,0,0,0
1.042332,0,0,0
1.043710,0,0,0
1.045212,0,0,0
1.046920,0,0,0
1.048466,0,0,0
1.049907,0,0,0
1.051449,0,0,0
1.052992,0,0,0
1.054542,0,0,0
1.056130,0,0,0
1.057691,0,0,0
1.059236,0,0,0
1.060662,0,0,0
1.062199,0,0,0
1.063745,0,0,0
1.065293,0,0,0
1.066840,0,0,0
1.068396,0,0,0
1.069945,0,0,0
1.071534,0,0,0
1.073080,0,0,0
1.074644,0,0,0
1.076198,0,0,0
1.077743,0,0,0
1.079303,0,0,0
1.080848,0,0,0
1.082394,0,0,0
1.083940,0,0,0
1.085489,0,0,0
1.087080,0,0,0
1.088624,0,0,0
1.090185,0,0,0
1.091730,0,0,0
1.093278,0,0,0
1.094824,0,0,0
1.096368,0,0,0
1.097917,0,0,0
1.099462,0,0,0
1.101019,0,0,0
1.102570,0,0,0
1.104118,0,0,0
1.105666,0,0,0
1.107212,0,0,0
1.108755,0,0,0
1.110303,0,0,0
1.111861,0,0,0
1.113410,0,0,0
1.114959,0,0,0
1.116504,0,0,0
1.118052,0,0,0
1.119600,0,0,0
1.121145,0,0,0
1.122710,0,0,0
1.124254,0,0,0
1.125802,0,0,0
1.127348,0,0,0
1.128892,0,0,0
1.130404,0,0,0
1.131920,0,0,0
1.133479,0,0,0
1.135069,0,0,0
1.136615,0,0,0
1.138162,0,0,0
1.139707,0,0,0
1.141257,0,0,0
1.142794,0,0,0
1.144220,0,0,0
1.145602,0,0,0
1.147142,0,0,0
1.148679,0,0,0
1.150092,0,0,0
1.151608,0,0,0
1.153034,0,0,0
1.155646,0,0,0
1.157041,0,0,0
1.158428,0,0,0
1.159808,0,0,0
1.161188,0,0,0
1.162570,0,0,0
1.163950,0,0,0
1.165462,0,0,0
1.166945,0,0,0
1.168460,0,0,0
1.170006,0,0,0
1.171551,0,0,0
1.173095,0,0,0
1.174647,0,0,0
1.176190,0,0,0
1.177752,0,0,0
1.179298,0,0,0
1.180841,0,0,0
1.182387,0,0,0
1.183934,0,0,0
1.185481,0,0,0
1.187027,0,0,0
1.188584,0,0,0
1.190131,0,0,0
1.191676,0,0,0
1.193313,0,0,0
1.194721,0,0,0
1.196112,0,0,0
1.197628,0,0,0
1.199230,0,0,0
1.200773,0,0,0
1.202319,0,0,0
1.203908,0,0,0
1.205455,0,0,0
1.207000,0,0,0
1.208545,0,0,0
1.210103,0,0,0
1.211524,0,0,0
1.213043,0,0,0
1.214594,0,0,0
1.216184,0,0,0
1.217731,0,0,0
1.219280,0,0,0
1.220837,0,0,0
1.222385,0,0,0
1.223932,0,0,0
1.225479,0,0,0
1.227028,0,0,0
1.228573,0,0,0
1.230120,0,0,0
1.231680,0,0,0
1.233324,0,0,0
1.234959,0,0,0
1.236376,0,0,0
1.237893,0,0,0
1.239439,0,0,0
1.240985,0,0,0
1.242549,0,0,0
1.244094,0,0,0
1.245642,0,0,0
1.247233,0,0,0
1.248779,0,0,0
1.250326,0,0,0
1.251865,0,0,0
1.253473,0,0,0
1.255018,0,0,0
1.256561,0,0,0
1.258108,0,0,0
1.259654,0,0,0
1.261199,0,0,0
1.262742,0,0,0
1.264300,0,0,0
1.265849,0,0,0
1.267396,0,0,0
1.268941,0,0,0
1.270487,0,0,0
1.272022,0,0,0
1.273593,0,0,0
1.275084,0,0,0
1.276546,0,0,0
1.277957,0,0,0
1.279385,0,0,0
1.280765,0,0,0
1.282258,0,0,0
1.285204,0,0,0
1.286808,0,0,0
1.288353,0,0,0
1.289903,0,0,0
1.291450,0,0,0
1.292996,0,0,0
1.294546,0,0,0
1.296150,0,0,0
1.297700,0,0,0
1.299248,0,0,0
1.300794,0,0,0
1.302340,0,0,0
1.303888,0,0,0
1.305439,0,0,0
1.306999,0,0,0
1.308544,0,0,0
1.310092,0,0,0
1.311641,0,0,0
1.313187,0,0,0
1.314599,0,0,0
1.315988,0,0,0
1.317511,0,0,0
1.319059,0,0,0
1.320606,0,0,0
1.322153,0,0,0
1.323701,0,0,0
1.325251,0,0,0
1.326843,0,0,0
1.328401,0,0,0
1.329951,0,0,0
1.331499,0,0,0
1.333044,0,0,0
1.334595,0,0,0
1.336141,0,0,0
1.337690,0,0,0
1.339251,0,0,0
1.340797,0,0,0
1.342345,0,0,0
1.343893,0,0,0
1.345442,0,0,0
1.346990,0,0,0
1.348535,0,0,0
1.350096,0,0,0
1.351643,0,0,0
1.353189,0,0,0
1.354596,0,0,0
1.355976,0,0,0
1.357354,0,0,0
1.358907,0,0,0
1.360466,0,0,0
1.362013,0,0,0
1.363559,0,0,0
1.365101,0,0,0
1.366645,0,0,0
1.368094,0,0,0
1.369475,0,0,0
1.370996,0,0,0
1.372541,0,0,0
1.374086,0,0,0
1.375633,0,0,0
1.377176,0,0,0
1.378723,0,0,0
1.380266,0,0,0
1.381825,0,0,0
1.383370,0,0,0
1.384914,0,0,0
1.386522,0,0,0
1.388066,0,0,0
1.389614,0,0,0
1.391202,0,0,0
1.392760,0,0,0
1.394306,0,0,0
1.395851,0,0,0
1.397398,0,0,0
1.398944,0,0,0
1.400488,0,0,0
1.402035,0,0,0
1.403593,0,0,0
1.405135,0,0,0
1.406685,0,0,0
1.408275,0,0,0
1.409821,0,0,0
1.411364,0,0,0
1.412750,0,0,0
1.414161,0,0,0
1.415674,0,0,0
1.417218,0,0,0
1.418721,0,0,0
1.420103,0,0,0
1.421485,0,0,0
1.423042,0,0,0
1.424602,0,0,0
1.426149,0,0,0
1.427696,0,0,0
1.429298,0,0,0
1.430844,0,0,0
1.432389,0,0,0
1.433938,0,0,0
1.435497,0,0,0
1.437040,0,0,0
1.438591,0,0,0
1.440181,0,0,0
1.441731,0,0,0
1.443280,0,0,0
1.444825,0,0,0
1.446255,0,0,0
1.447771,0,0,0
1.449319,0,0,0
1.450866,0,0,0
1.452411,0,0,0
1.453960,0,0,0
1.455550,0,0,0
1.457109,0,0,0
1.458654,0,0,0
1.460188,0,0,0
1.461602,0,0,0
1.463119,0,0,0
1.464664,0,0,0
1.466211,0,0,0
1.467646,0,0,0
1.469163,0,0,0
1.470715,0,0,0
1.472261,0,0,0
1.473704,0,0,0
1.475246,0,0,0
