elapsed_s,TSE_NEVER_COUNT,TSE_BE_BUSY_CYCLES,TSE_BE_CLIPPING_CYCLES,TSE_BE_STALL_CYCLES_RAS
0.724316,0,0,0,0
0.725714,0,0,0,0
0.727093,0,0,0,0
0.728520,0,0,0,0
0.729903,0,0,0,0
0.731288,0,0,0,0
0.732769,0,0,0,0
0.734127,0,0,0,0
0.735473,0,0,0,0
0.736828,0,0,0,0
0.738233,0,0,0,0
0.739621,0,0,0,0
0.741007,0,0,0,0
0.742521,0,0,0,0
0.744073,0,0,0,0
0.745615,0,0,0,0
0.747168,0,0,0,0
0.748744,0,0,0,0
0.750293,0,0,0,0
0.751844,0,0,0,0
0.753438,0,0,0,0
0.754987,0,0,0,0
0.756536,0,0,0,0
0.757974,0,0,0,0
0.759498,0,0,0,0
0.761048,0,0,0,0
0.762596,0,0,0,0
0.764148,0,0,0,0
0.765697,0,0,0,0
0.767245,0,0,0,0
0.768811,0,0,0,0
0.770405,0,0,0,0
0.771957,0,0,0,0
0.773507,0,0,0,0
0.775055,0,0,0,0
0.776609,0,0,0,0
0.778157,0,0,0,0
0.779722,0,0,0,0
0.781271,0,0,0,0
0.782818,0,0,0,0
0.784369,0,0,0,0
0.785920,0,0,0,0
0.787471,0,0,0,0
0.789021,0,0,0,0
0.790583,0,0,0,0
0.792134,0,0,0,0
0.793554,0,0,0,0
0.795073,0,0,0,0
0.796626,0,0,0,0
0.798175,0,0,0,0
0.799727,0,0,0,0
0.801333,0,0,0,0
0.802760,0,0,0,0
0.804158,0,0,0,0
0.805542,0,0,0,0
0.806921,0,0,0,0
0.808298,0,0,0,0
0.809677,0,0,0,0
0.811054,0,0,0,0
0.812521,0,0,0,0
0.813899,0,0,0,0
0.815275,0,0,0,0
0.816700,0,0,0,0
0.818119,0,0,0,0
0.819497,0,0,0,0
0.820850,0,0,0,0
0.822203,0,0,0,0
0.823564,0,0,0,0
0.824923,0,0,0,0
0.826278,0,0,0,0
0.827632,0,0,0,0
0.828986,0,0,0,0
0.830339,0,0,0,0
0.831692,0,0,0,0
0.833081,0,0,0,0
0.834502,0,0,0,0
0.835913,0,0,0,0
0.837323,0,0,0,0
0.838732,0,0,0,0
0.840141,0,0,0,0
0.841551,0,0,0,0
0.842959,0,0,0,0
0.844369,0,0,0,0
0.845782,0,0,0,0
0.847192,0,0,0,0
0.848541,0,0,0,0
0.850110,0,0,0,0
0.851555,0,0,0,0
0.853644,0,0,0,0
0.855067,0,0,0,0
0.856545,0,0,0,0
0.857951,0,0,0,0
0.859448,0,0,0,0
0.860967,0,1299,0,66
0.862770,0,0,0,0
0.864154,0,0,0,0
0.865665,0,0,0,0
0.867056,0,0,0,0
0.868557,0,0,0,0
0.869938,0,0,0,0
0.871319,0,1269,0,60
0.872707,0,1872,0,60
0.874094,0,0,0,0
0.875483,0,0,0,0
0.876867,0,0,0,0
0.878262,0,0,0,0
0.879647,0,0,0,0
0.881060,0,0,0,0
0.882452,0,0,0,0
0.883833,0,0,0,0
0.885227,0,0,0,0
0.886853,0,0,0,0
0.888295,0,0,0,0
0.889684,0,0,0,0
