elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.115240,0,0,0,0
0.116627,0,0,0,0
0.118018,0,0,0,0
0.119401,0,0,0,0
0.120989,0,0,0,0
0.122382,0,0,0,0
0.123726,0,0,0,0
0.125065,0,0,0,0
0.126476,0,0,0,0
0.127893,0,0,0,0
0.129301,0,0,0,0
0.130696,0,0,0,0
0.132087,0,0,0,0
0.133433,0,0,0,0
0.134772,0,0,0,0
0.136175,0,0,0,0
0.137692,0,0,0,0
0.139056,0,0,0,0
0.140425,0,0,0,0
0.141819,0,0,0,0
0.143159,0,0,0,0
0.144499,0,0,0,0
0.145837,0,0,0,0
0.147176,0,0,0,0
0.148515,0,0,0,0
0.149851,0,0,0,0
0.151243,0,0,0,0
0.152601,0,0,0,0
0.153984,0,0,0,0
0.155321,0,0,0,0
0.156662,0,0,0,0
0.158020,0,0,0,0
0.159438,0,0,0,0
0.160961,0,0,0,0
0.162533,0,0,0,0
0.164052,0,0,0,0
0.165624,0,0,0,0
0.167174,0,0,0,0
0.168727,0,0,0,0
0.170280,0,0,0,0
0.171835,0,0,0,0
0.173446,0,0,0,0
0.174998,0,0,0,0
0.176550,0,0,0,0
0.178102,0,0,0,0
0.179654,0,0,0,0
0.181246,0,0,0,0
0.182789,0,0,0,0
0.184229,0,0,0,0
0.185748,0,0,0,0
0.187298,0,0,0,0
0.188848,0,0,0,0
0.190398,0,0,0,0
0.191951,0,0,0,0
0.193501,0,0,0,0
0.196284,0,0,0,0
0.197671,0,0,0,0
0.199114,0,0,0,0
0.200508,0,0,0,0
0.201895,0,0,0,0
0.203280,0,0,0,0
0.204667,0,0,0,0
0.206106,0,0,0,0
0.207620,0,0,0,0
0.209176,0,0,0,0
0.210726,0,0,0,0
0.212278,0,0,0,0
0.213830,0,0,0,0
0.215380,0,0,0,0
0.216910,0,0,0,0
0.218427,0,0,0,0
0.219897,0,0,0,0
0.221372,0,0,0,0
0.222765,0,0,0,0
0.224151,0,0,0,0
0.225531,0,0,0,0
0.226921,0,0,0,0
0.228300,0,0,0,0
0.229678,0,0,0,0
0.231057,0,0,0,0
0.232435,0,0,0,0
0.233812,0,0,0,0
0.235189,0,0,0,0
0.236566,0,0,0,0
0.238002,0,0,0,0
0.239358,0,0,0,0
0.240712,0,0,0,0
0.242066,0,0,0,0
0.243420,0,0,0,0
0.244830,0,0,0,0
0.246184,0,0,0,0
0.247534,0,0,0,0
0.248923,0,0,0,0
0.250276,0,0,0,0
0.251630,0,0,0,0
0.253075,0,0,0,0
0.254452,0,0,0,0
0.255807,0,0,0,0
0.257148,0,0,0,0
0.258488,0,0,0,0
0.259836,0,0,0,0
0.261177,0,0,0,0
0.262518,0,0,0,0
0.263988,0,0,0,0
0.265328,0,0,0,0
0.266667,0,0,0,0
0.268007,0,0,0,0
0.269375,0,0,0,0
0.270792,0,0,0,0
0.272202,0,0,0,0
0.273504,0,0,0,0
0.274805,0,0,0,0
0.276214,0,0,0,0
0.277629,0,0,0,0
0.279045,0,0,0,0
0.280462,0,0,0,0
0.281783,0,0,0,0
0.283147,0,0,0,0
0.284557,0,0,0,0
0.285934,0,0,0,0
0.287296,0,0,0,0
0.288935,0,0,0,0
