elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.794296,0,0,0,0
0.795724,0,0,0,0
0.797153,0,0,0,0
0.798556,0,0,0,0
0.799909,0,0,0,0
0.801264,0,0,0,0
0.802618,0,0,0,0
0.803970,0,0,0,0
0.805325,0,0,0,0
0.806687,0,0,0,0
0.808041,0,0,0,0
0.809397,0,0,0,0
0.810794,0,0,0,0
0.812207,0,0,0,0
0.813508,0,0,0,0
0.814919,0,0,0,0
0.816330,0,0,0,0
0.817748,0,0,0,0
0.819157,0,0,0,0
0.820567,0,0,0,0
0.821977,0,0,0,0
0.823388,0,0,0,0
0.824799,0,0,0,0
0.826221,0,0,0,0
0.827507,0,0,0,0
0.828876,0,0,0,0
0.830263,0,0,0,0
0.831655,0,0,0,0
0.833056,0,0,0,0
0.834860,0,0,0,0
0.836399,0,0,0,0
0.838132,0,0,0,0
0.839530,0,0,0,0
0.840909,0,0,0,0
0.843034,0,0,0,0
0.844835,0,0,0,0
0.846338,0,0,0,0
0.847830,0,0,0,0
0.849102,0,0,0,0
0.850499,0,0,0,0
0.851884,0,0,0,0
0.853416,0,0,0,0
0.854849,0,0,0,0
0.856234,0,0,0,0
0.857618,0,0,0,0
0.859034,0,0,0,0
0.861729,0,0,0,0
0.863108,0,0,0,0
0.864488,0,0,0,0
0.868290,0,0,0,0
0.869802,0,0,0,0
0.872949,0,0,0,0
0.874895,0,0,0,0
0.876279,0,0,0,0
0.877659,0,0,0,0
0.879039,0,0,0,0
0.880418,0,0,0,0
0.881800,0,0,0,0
0.883203,0,0,0,0
0.884586,0,0,0,0
0.885972,0,0,0,0
0.887355,0,0,0,0
0.888739,0,0,0,0
0.890125,0,0,0,0
0.891548,0,0,0,0
0.892933,0,0,0,0
0.894333,0,0,0,0
0.895718,0,0,0,0
0.897104,0,0,0,0
0.898488,0,0,0,0
0.899871,0,0,0,0
0.901387,0,0,0,0
0.902938,0,0,0,0
0.904499,0,0,0,0
0.906049,0,0,0,0
0.907601,0,0,0,0
0.909153,0,0,0,0
0.910705,0,0,0,0
0.912253,0,0,0,0
0.913806,0,0,0,0
0.915371,0,0,0,0
0.916920,0,0,0,0
0.918475,0,0,0,0
0.920024,0,0,0,0
0.921578,0,0,0,0
0.923173,0,0,0,0
0.924723,0,0,0,0
0.926175,0,0,0,0
0.927899,0,0,0,0
0.929565,0,0,0,0
0.931000,0,0,0,0
0.932382,0,0,0,0
0.933764,0,0,0,0
0.935144,0,0,0,0
0.936540,0,0,0,0
0.939648,0,0,0,0
0.941036,0,0,0,0
0.942420,0,0,0,0
0.943803,0,0,0,0
0.945190,0,0,0,0
0.946585,0,0,0,0
0.947967,0,0,0,0
0.949484,0,0,0,0
0.951035,0,0,0,0
0.952582,0,0,0,0
0.954133,0,0,0,0
