elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.392470,0,0,0,0
0.393807,0,0,0,0
0.395139,0,0,0,0
0.396478,0,0,0,0
0.397806,0,0,0,0
0.399133,0,0,0,0
0.400647,0,0,0,0
0.402016,0,0,0,0
0.403356,0,0,0,0
0.404750,0,0,0,0
0.406063,0,0,0,0
0.407372,0,0,0,0
0.408681,0,0,0,0
0.409988,0,0,0,0
0.411297,0,0,0,0
0.412614,0,0,0,0
0.413923,0,0,0,0
0.415231,0,0,0,0
0.416541,0,0,0,0
0.417851,0,0,0,0
0.419160,0,0,0,0
0.420526,0,0,0,0
0.421855,0,0,0,0
0.423271,0,0,0,0
0.424631,0,0,0,0
0.425884,0,0,0,0
0.427244,0,0,0,0
0.428603,0,0,0,0
0.429962,0,0,0,0
0.431371,0,0,0,0
0.432734,0,0,0,0
0.434174,0,0,0,0
0.435479,0,0,0,0
0.436799,0,0,0,0
0.438208,0,0,0,0
0.440433,0,0,0,0
0.441817,0,0,0,0
0.443271,0,0,0,0
0.444874,0,0,0,0
0.446312,0,0,0,0
0.447942,0,0,0,0
0.449329,0,0,0,0
0.450710,0,0,0,0
0.452090,0,0,0,0
0.453520,0,0,0,0
0.454913,0,0,0,0
0.456431,0,0,0,0
0.457839,0,0,0,0
0.459250,0,0,0,0
0.460695,0,0,0,0
0.462081,0,0,0,0
0.463467,0,0,0,0
0.464852,0,0,0,0
0.466247,0,0,0,0
0.467634,0,0,0,0
0.469025,0,0,0,0
0.470408,0,0,0,0
0.471788,0,0,0,0
0.473174,0,0,0,0
0.474557,0,0,0,0
0.477011,0,0,0,0
0.478400,0,0,0,0
0.483255,0,0,0,0
0.484876,0,0,0,0
0.486261,0,0,0,0
0.487694,0,0,0,0
0.489082,0,0,0,0
0.490426,0,0,0,0
0.491764,0,0,0,0
0.493102,0,0,0,0
0.494438,0,0,0,0
0.495775,0,0,0,0
0.497112,0,0,0,0
0.498447,0,0,0,0
0.499796,0,0,0,0
0.501267,0,0,0,0
0.502830,0,0,0,0
0.504432,0,0,0,0
0.505981,0,0,0,0
